Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
be BEL,"MF,FW",Oostende,22,1999,22,13,"1,052",11.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,700000.0,Robbie D'Haese,1633,R. D'Haese,22,70,77,180,64,Right,71,FW,7,3200000,7000,297,67,62,38,66,64,297,72,44,46,64,71,369,79,77,77,63,73,284,63,71,70,42,38,263,37,50,68,60,48,162,58,50,54,48,6,10,7,11,14,3,Medium,Medium,1,BelgianProLeague
be BEL,"FW,MF",Club Brugge,20,2001,33,31,"2,725",30.3,14,6,20,14,0,0,4,0,0.46,0.2,0.66,0.46,0.66,,,,,,,,,,,,,30000000.0,Charles De Ketelaere,1377,C. De Ketelaere,20,77,87,192,79,Left,80,FW,10,23500000,22000,380,74,78,75,77,76,383,79,73,72,77,82,364,74,77,78,75,60,378,77,69,83,75,74,338,57,59,77,78,67,163,45,61,57,49,11,8,14,8,8,4,High,High,1,BelgianProLeague
be BEL,"MF,FW",Zulte Waregem,19,2002,17,7,740,8.2,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,,,,,,,,,,,,,650000.0,Dion De Neve,2909,D. De Neve,20,62,73,182,68,Left,63,FW,11,875000,2000,257,60,56,37,56,48,266,65,43,36,58,64,363,80,74,74,51,84,265,71,67,58,29,40,246,34,49,50,56,57,148,53,52,43,42,15,6,7,7,7,3,High,High,1,BelgianProLeague
ht HAI,FW,Zulte Waregem,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,100000.0,Rousseau De Poorter,3525,R. De Poorter,19,57,68,180,70,Right,59,FW,11,325000,1000,166,23,19,60,40,24,140,29,24,23,34,30,269,55,53,48,45,68,256,42,70,58,69,17,200,54,57,26,28,35,175,53,62,60,61,9,9,15,15,13,3,Medium,Medium,1,BelgianProLeague
be BEL,"FW,MF",Cercle Brugge,21,2000,32,24,"1,879",20.9,2,0,2,2,0,0,7,0,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,1300000.0,Olivier Deman,1872,O. Deman,21,68,78,181,70,Left,70,FW,10,2700000,5000,324,58,67,63,71,65,306,69,58,48,58,73,356,76,78,76,59,67,360,73,78,84,63,62,286,64,49,70,58,45,132,44,43,45,53,10,15,5,10,13,3,Medium,Medium,1,BelgianProLeague
tg TOG,FW,Cercle Brugge,20,2000,28,13,"1,283",14.3,6,0,6,6,0,0,2,0,0.42,0.0,0.42,0.42,0.42,,,,,,,,,,,,,900000.0,Kévin Denkey,2020,K. Denkey,20,67,76,181,81,Right,69,FW,9,2300000,4000,270,30,67,57,55,61,249,68,45,38,31,67,330,72,72,59,65,62,336,72,63,62,74,65,238,37,18,68,47,68,57,33,12,12,46,5,14,13,7,7,2,Medium,Medium,1,BelgianProLeague
be BEL,FW,Charleroi,17,2003,8,1,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Anthony Descotte,3521,A. Descotte,17,57,74,179,75,Right,58,FW,17,400000,500,243,49,58,43,50,43,260,69,45,47,38,61,335,72,74,70,42,77,221,45,45,51,39,41,199,35,23,42,45,54,82,21,33,28,47,5,6,13,11,12,4,Medium,Medium,1,BelgianProLeague
ro ROU,FW,Standard Liège,22,1999,28,12,"1,174",13.0,6,0,6,6,0,0,3,0,0.46,0.0,0.46,0.46,0.46,,,,,,,,,,,,,900000.0,Denis Drăguș,2199,D. Drăguș,21,66,73,185,79,Right,68,FW,7,1800000,4000,313,53,68,66,59,67,263,69,63,28,40,63,369,78,81,78,59,73,339,59,75,72,71,62,256,68,12,64,53,59,45,16,10,19,46,7,12,9,11,7,2,Medium,Low,1,BelgianProLeague
de GER,FW,Antwerp,23,1998,16,0,262,2.9,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34,,,,,,,,,,,,,1800000.0,Johannes Eggestein,1628,J. Eggestein,23,70,76,183,75,Right,74,FW,6,2500000,11000,346,69,69,67,71,70,344,74,73,52,69,76,358,74,69,74,70,71,338,71,71,67,64,65,280,37,37,69,71,66,88,44,24,20,54,14,10,8,7,15,4,High,High,1,BelgianProLeague
nl NED,FW,Antwerp,18,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,900000.0,Emanuel Emegha,2556,E. Emegha,18,64,77,195,63,Right,66,FW,13,1400000,2000,285,43,62,68,58,54,248,59,49,34,45,61,325,74,83,65,57,46,332,66,73,63,76,54,236,34,27,61,53,61,70,26,21,23,49,11,10,12,10,6,3,Medium,Medium,1,BelgianProLeague
gm GAM,"MF,FW",Zulte Waregem,19,2001,18,6,650,7.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Alieu Fadera,3201,A. Fadera,19,60,74,185,73,Right,64,FW,14,575000,1000,274,53,58,58,64,41,290,61,66,37,60,66,341,78,74,61,57,71,331,70,76,66,58,61,250,52,39,52,56,51,165,57,57,51,56,9,11,10,11,15,4,High,Medium,1,BelgianProLeague
sn SEN,FW,Oostende,23,1997,31,24,"2,188",24.3,12,1,13,10,2,2,10,0,0.49,0.04,0.53,0.41,0.45,,,,,,,,,,,,,2500000.0,Makhtar Gueye,1634,M. Gueye,23,70,74,195,91,Right,72,FW,4,2300000,7000,326,54,70,73,61,68,269,65,47,38,54,65,269,55,69,47,66,32,363,76,55,74,90,68,305,72,25,71,55,82,71,26,24,21,51,14,10,15,5,7,2,Medium,Low,1,BelgianProLeague
jp JPN,FW,Sint-Truiden,22,1999,28,20,"1,968",21.9,8,2,10,8,0,0,6,0,0.37,0.09,0.46,0.37,0.46,,,,,,,,,,,,,1300000.0,Taichi Hara,2204,T. Hara,22,66,74,191,84,Right,68,FW,8,1900000,7000,310,61,66,67,58,58,229,63,30,26,45,65,278,64,70,52,60,32,346,66,65,68,91,56,241,54,15,64,46,62,59,25,21,13,49,14,5,7,13,10,4,High,Low,1,BelgianProLeague
gm GAM,"FW,MF",R.F.C. Seraing,22,1998,23,22,"1,866",20.7,5,1,6,5,0,0,2,0,0.24,0.05,0.29,0.24,0.29,,,,,,,,,,,,,800000.0,Ablie Jallow,2215,A. Jallow,22,66,71,166,62,Left,68,FW,5,1300000,5000,257,56,61,30,65,45,329,69,64,63,66,67,390,78,76,85,60,91,268,65,45,66,29,63,248,54,23,60,61,50,67,28,19,20,54,13,13,8,6,14,3,High,Medium,1,BelgianProLeague
mr MTN,"MF,FW",Sint-Truiden,22,1998,24,12,"1,155",12.8,3,0,3,3,0,0,4,0,0.23,0.0,0.23,0.23,0.23,,,,,,,,,,,,,700000.0,Aboubakary Koita,1866,A. Koita,22,68,75,175,73,Right,69,FW,7,2500000,6000,280,65,66,32,63,54,346,72,72,76,59,67,397,87,84,88,62,76,376,84,80,63,71,78,263,52,45,61,59,46,143,47,47,49,50,14,8,8,14,6,4,Medium,Medium,1,BelgianProLeague
ci CIV,FW,Anderlecht,23,1997,25,24,"2,004",22.3,8,3,11,8,0,0,3,1,0.36,0.13,0.49,0.36,0.49,,,,,,,,,,,,,9000000.0,Christian Kouamé,1411,C. Kouamé,23,74,79,185,70,Right,76,FW,5,6500000,39000,341,58,74,74,69,66,303,75,52,45,58,73,380,78,87,76,71,68,371,73,85,76,71,66,312,71,36,76,68,61,104,34,38,32,55,15,13,6,7,14,4,High,High,1,BelgianProLeague
ua UKR,FW,OH Leuven,20,2001,6,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Mykola Kukharevych,2913,M. Kukharevych,20,62,70,193,79,Right,64,FW,8,875000,3000,269,34,67,69,49,50,246,63,46,41,38,58,272,59,63,52,54,44,304,60,61,55,70,58,234,33,20,61,49,71,52,17,18,17,49,13,9,10,10,7,4,Medium,Medium,1,BelgianProLeague
ch SUI,"MF,FW",Zulte Waregem,23,1997,29,19,"1,654",18.4,3,4,7,3,0,0,2,0,0.16,0.22,0.38,0.16,0.38,,,,,,,,,,,,,1200000.0,Dereck Kutesa,2023,D. Kutesa,23,67,73,176,67,Right,68,FW,6,1600000,8000,257,56,57,37,66,41,275,70,44,38,55,68,397,87,88,87,57,78,341,60,90,68,65,58,248,39,33,61,62,53,114,41,39,34,41,6,11,6,11,7,3,High,Medium,1,BelgianProLeague
nl NED,"FW,MF",Club Brugge,22,1999,31,27,"2,340",26.0,7,12,19,7,0,0,8,2,0.27,0.46,0.73,0.27,0.73,,,,,,,,,,,,,22000000.0,Noa Lang,1364,N. Lang,22,78,85,179,69,Right,80,FW,7,28500000,27000,345,66,74,48,77,80,358,84,69,57,67,81,419,86,82,86,79,86,345,72,67,74,63,69,347,70,57,74,75,71,141,47,51,43,57,13,7,13,12,12,3,High,Medium,1,BelgianProLeague
il ISR,"FW,MF",Gent,21,1999,19,5,543,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,500000.0,Yonas Malede,2386,Y. Malede,21,65,72,189,80,Right,67,FW,7,1500000,5000,305,56,65,60,62,62,298,72,57,55,47,67,324,73,75,71,57,48,331,68,72,62,72,57,257,52,16,62,60,67,46,13,18,15,43,7,12,10,7,7,3,Medium,Medium,1,BelgianProLeague
fr FRA,"DF,FW",Club Brugge,23,1998,7,4,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3000000.0,Faitout Maouassa,1412,F. Maouassa,22,74,77,170,73,Left,74,FW,3,5500000,17000,315,72,58,61,71,53,359,74,75,67,69,74,391,82,77,76,73,83,370,77,75,72,75,71,321,74,70,69,66,42,211,70,70,71,42,14,8,5,6,9,2,High,Medium,1,BelgianProLeague
wls WAL,"FW,MF",Cercle Brugge,20,2000,26,23,"2,024",22.5,9,2,11,9,0,0,6,1,0.4,0.09,0.49,0.4,0.49,,,,,,,,,,,,,4000000.0,Rabbi Matondo,1555,R. Matondo,20,71,84,175,66,Right,72,FW,13,4500000,7000,309,63,68,52,68,58,333,73,69,67,56,68,418,94,90,87,64,83,338,74,77,69,48,70,231,38,27,65,61,40,113,33,46,34,44,8,5,6,12,13,3,High,Low,1,BelgianProLeague
fr FRA,"FW,MF",R.F.C. Seraing,23,1998,33,33,"2,803",31.1,8,8,16,8,0,0,4,0,0.26,0.26,0.51,0.26,0.51,,,,,,,,,,,,,1800000.0,Youssef Maziz,1758,Y. Maziz,23,69,74,175,68,Right,71,FW,5,2100000,8000,298,57,70,40,67,64,359,72,72,74,68,73,338,67,65,72,60,74,324,71,60,71,56,66,295,64,34,67,72,58,98,28,39,31,50,7,9,14,10,10,3,High,Medium,1,BelgianProLeague
be BEL,"MF,FW",Kortrijk,19,2001,28,12,"1,260",14.0,2,1,3,2,0,0,6,0,0.14,0.07,0.21,0.14,0.21,,,,,,,,,,,,,700000.0,Dylan Mbayo,2394,D. Mbayo,19,65,76,175,65,Left,66,FW,11,1500000,2000,279,56,62,45,61,55,297,73,58,49,48,69,391,83,83,84,56,85,285,64,78,39,48,56,228,33,25,59,54,57,85,21,36,28,49,6,8,13,12,10,3,High,Medium,1,BelgianProLeague
dz ALG,FW,Kortrijk,23,1997,17,11,"1,014",11.3,1,1,2,1,0,1,0,0,0.09,0.09,0.18,0.09,0.18,,,,,,,,,,,,,600000.0,Billal Messaoudi,2210,B. Messaoudi,23,66,70,184,78,Right,68,FW,4,1200000,5000,289,58,71,37,56,67,323,73,72,70,38,70,368,84,80,74,62,68,340,74,72,62,68,64,257,37,27,64,64,65,76,21,34,21,59,7,14,10,13,15,3,Medium,Medium,1,BelgianProLeague
ge GEO,FW,R.F.C. Seraing,20,2000,28,26,"2,297",25.5,9,1,10,7,2,2,3,0,0.35,0.04,0.39,0.27,0.31,,,,,,,,,,,,,2200000.0,Georges Mikautadze,1759,G. Mikautadze,20,69,78,178,72,Right,71,FW,9,3100000,8000,318,67,74,43,64,70,332,75,64,70,53,70,392,81,79,83,73,76,356,73,73,71,67,72,265,48,25,68,52,72,129,45,36,48,42,12,9,9,5,7,3,High,Medium,1,BelgianProLeague
hu HUN,FW,Genk,18,2002,3,0,21,0.2,1,0,1,1,0,0,0,0,4.29,0.0,4.29,4.29,4.29,,,,,,,,,,,,,500000.0,András Németh,3195,A. Németh,18,60,77,187,78,Right,62,FW,17,625000,1000,267,34,64,58,54,57,228,62,51,24,32,59,345,74,77,68,58,68,300,61,64,61,59,55,214,49,13,53,48,51,47,14,16,17,42,6,12,7,6,11,3,Medium,Medium,1,BelgianProLeague
be BEL,"FW,MF",Eupen,23,1997,24,18,"1,473",16.4,4,2,6,4,0,0,2,0,0.24,0.12,0.37,0.24,0.37,,,,,,,,,,,,,900000.0,Julien Ngoy,1875,J. Ngoy,23,68,73,185,88,Right,70,FW,5,1800000,5000,297,58,66,63,63,47,285,72,45,43,53,72,370,80,85,69,66,70,348,72,58,77,81,60,235,33,17,62,59,64,67,27,18,22,52,14,5,12,11,10,3,Medium,Low,1,BelgianProLeague
be BEL,"MF,FW",Charleroi,19,2002,8,3,291,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,700000.0,Ken Nkuba,3194,K. Nkuba,19,60,72,173,70,Right,61,FW,12,575000,1000,239,56,58,28,58,39,257,71,37,40,43,66,356,78,73,76,50,79,238,38,77,40,42,41,193,32,26,51,41,43,70,27,25,18,55,7,12,14,12,10,3,High,Medium,1,BelgianProLeague
be BEL,FW,Antwerp,21,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Bruny Nsimba,3052,B. Nsimba,21,61,70,181,78,Right,64,FW,9,750000,3000,280,58,61,43,60,58,268,67,46,45,47,63,379,89,88,76,53,73,302,66,73,40,70,53,229,43,31,55,46,54,88,26,33,29,52,11,14,10,7,10,4,High,Medium,1,BelgianProLeague
gh GHA,"FW,MF",Eupen,19,2002,24,15,"1,486",16.5,2,2,4,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,,,,,,,,,,,,,800000.0,Isaac Nuhu,2565,I. Nuhu,19,64,78,171,60,Right,68,FW,14,1400000,2000,285,63,64,54,60,44,284,73,46,44,54,67,411,87,75,91,68,90,273,64,73,54,39,43,227,38,21,68,55,45,103,33,28,42,43,13,13,5,6,6,3,Medium,High,1,BelgianProLeague
no NOR,FW,Club Brugge,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2500000.0,Antonio Nusa,2747,A. Nusa,16,63,83,180,70,Right,63,FW,20,1300000,1000,256,54,58,40,56,48,326,75,66,58,58,69,375,81,76,89,44,85,241,68,33,38,43,59,213,37,27,46,49,54,137,37,47,53,59,12,14,14,9,10,3,Medium,Medium,1,BelgianProLeague
be BEL,"MF,FW",Genk,18,2003,20,6,643,7.1,2,3,5,2,0,0,0,0,0.28,0.42,0.7,0.28,0.7,,,,,,,,,,,,,4000000.0,Luca Oyen,2016,L. Oyen,18,67,85,173,64,Right,69,FW,18,2600000,2000,288,64,62,47,67,48,322,73,64,52,61,72,373,79,76,82,55,81,281,56,69,64,34,58,249,46,35,56,63,49,116,37,42,37,60,9,14,14,13,10,3,Medium,Medium,1,BelgianProLeague
gh GHA,"FW,MF",Genk,23,1998,22,10,870,9.7,2,0,2,2,0,0,2,0,0.21,0.0,0.21,0.21,0.21,,,,,,,,,,,,,2500000.0,Joseph Paintsil,1631,J. Paintsil,23,70,76,168,66,Right,71,FW,6,2500000,9000,281,58,66,39,65,53,301,73,65,38,55,70,413,89,79,92,67,86,357,65,91,77,55,69,271,47,31,69,60,64,97,32,28,37,53,15,10,8,6,14,3,High,Medium,1,BelgianProLeague
ch SUI,FW,Union SG,22,1998,7,1,110,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1700000.0,Cameron Puertas,1556,C. Puertas,22,71,76,178,77,Right,73,FW,5,2900000,10000,304,65,65,52,73,49,343,71,67,64,68,73,364,77,77,74,62,74,362,75,58,90,70,69,334,81,65,65,69,54,209,69,72,68,47,11,9,8,12,7,4,High,High,1,BelgianProLeague
be BEL,FW,Cercle Brugge,20,2001,6,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Aske Sampers,3061,A. Sampers,20,61,71,184,68,Right,63,FW,10,725000,2000,250,32,65,62,48,43,227,64,38,28,35,62,330,77,76,58,56,63,299,57,69,57,60,56,224,35,14,60,47,68,52,14,18,20,53,9,10,11,10,13,3,Medium,Medium,1,BelgianProLeague
be BEL,"MF,FW",Club Brugge,17,2003,7,2,221,2.5,1,0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,,,,,,,,,,,,,1500000.0,Cisse Sandra,2558,C. Sandra,17,64,83,183,76,Left,66,FW,19,1500000,700,291,59,62,47,66,57,312,68,58,59,58,69,345,69,69,74,56,77,311,66,64,58,62,61,256,55,29,51,61,60,98,32,34,32,51,15,12,12,6,6,4,Medium,Medium,1,BelgianProLeague
ci CIV,FW,R.F.C. Seraing,22,1998,3,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,100000.0,Ali Sanogo,3065,A. Sanogo,22,61,67,178,69,Right,62,FW,6,525000,2000,255,58,54,40,59,44,267,66,51,36,51,63,335,74,72,69,52,68,270,62,55,51,55,47,206,27,23,51,57,48,67,17,23,27,45,7,11,10,11,6,3,High,Medium,1,BelgianProLeague
gm GAM,"MF,FW",Beerschot,22,1999,11,3,403,4.5,1,0,1,1,0,0,0,0,0.22,0.0,0.22,0.22,0.22,,,,,,,,,,,,,900000.0,Abdoulie Sanyang,2279,A. Sanyang,22,66,74,173,69,Left,67,FW,8,1900000,2000,264,58,60,28,62,56,272,73,41,38,50,70,386,87,80,90,51,78,316,65,81,66,46,58,278,63,44,59,56,56,121,38,44,39,54,10,10,10,10,14,3,High,High,1,BelgianProLeague
be BEL,"MF,FW",Beerschot,19,2001,10,7,641,7.1,3,0,3,2,1,1,2,0,0.42,0.0,0.42,0.28,0.28,,,,,,,,,,,,,800000.0,Ilias Sebaoui,2905,I. Sebaoui,19,62,76,180,74,Right,64,FW,14,950000,1000,264,48,65,37,68,46,290,70,50,47,54,69,341,69,69,78,58,67,245,59,62,36,52,36,232,42,36,47,54,53,110,41,34,35,52,10,15,5,7,15,3,Medium,Medium,1,BelgianProLeague
be BEL,FW,R.F.C. Seraing,18,2003,2,0,23,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,50000.0,Zakaria Silini,3679,Z. Silini,17,54,71,184,81,Right,56,FW,17,275000,550,234,32,60,58,50,34,208,51,34,38,29,56,276,62,64,58,36,56,284,49,63,48,76,48,195,29,11,50,48,57,46,14,15,17,48,11,13,5,10,9,3,Medium,Medium,1,BelgianProLeague
be BEL,"FW,MF",Cercle Brugge,22,1999,24,17,"1,516",16.8,5,0,5,5,0,0,2,0,0.3,0.0,0.3,0.3,0.3,,,,,,,,,,,,,1000000.0,Thibo Somers,1873,T. Somers,22,68,75,178,77,Right,71,FW,7,2500000,5000,286,60,69,37,67,53,302,72,61,38,63,68,372,81,82,73,62,74,353,63,76,85,75,54,255,58,28,66,55,48,103,29,38,36,47,8,15,10,8,6,4,High,High,1,BelgianProLeague
sn SEN,"FW,MF",Beerschot,20,2000,10,7,632,7.0,1,0,1,1,0,0,3,0,0.14,0.0,0.14,0.14,0.14,,,,,,,,,,,,,900000.0,Issa Soumaré,3121,I. Soumaré,20,61,72,182,78,Right,62,FW,11,725000,2000,257,45,64,50,53,45,251,65,49,35,43,59,354,80,81,58,55,80,278,56,60,62,40,60,231,30,16,59,58,68,35,11,12,12,48,13,7,13,10,5,2,High,Low,1,BelgianProLeague
gh GHA,"FW,MF",Club Brugge,21,2000,9,5,433,4.8,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,,,,,,,,,,,,,3500000.0,Kamal Sowah,1573,K. Sowah,21,71,80,178,66,Left,73,FW,9,4200000,13000,322,66,68,48,69,71,336,73,64,64,59,76,376,78,83,75,65,75,357,73,72,82,59,71,280,40,46,68,67,59,129,38,46,45,49,10,13,10,9,7,3,High,High,1,BelgianProLeague
