Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
fr FRA,"MF,FW",Reading,18,2001,44,37,"3,243",36.0,7,12,19,5,2,2,3,0,0.19,0.33,0.53,0.14,0.47,5.4,3.8,7.7,11.6,121.0,212.0,174.0,0.15,0.21,0.36,0.11,0.32,15000000.0,Michael Olise,1554,M. Olise,18,72,85,183,68,Left,74,FW,13,5500000,4000,284,70,52,36,73,53,360,74,73,65,72,76,397,79,77,90,69,82,288,67,51,68,41,61,295,56,39,63,76,61,154,52,56,46,49,9,11,9,10,10,1,Medium,Medium,1,Championship
eng ENG,"MF,FW",Wycombe,23,1996,43,26,"2,476",27.5,3,2,5,3,0,0,2,0,0.11,0.07,0.18,0.11,0.18,3.7,3.7,2.1,5.8,60.0,36.0,114.0,0.14,0.08,0.21,0.14,0.21,600000.0,Fred Onyedinma,2098,F. Onyedinma,23,67,72,185,80,Right,69,FW,5,1500000,5000,287,63,63,58,62,41,288,70,52,40,60,66,374,85,87,79,58,65,326,64,63,70,68,61,287,57,45,64,61,60,120,40,42,38,49,13,13,6,8,9,3,Medium,Medium,1,Championship
jm JAM,"MF,FW",Bristol City,23,1996,23,16,"1,415",15.7,2,2,4,2,0,0,7,0,0.13,0.13,0.25,0.13,0.25,1.2,1.2,1.8,3.0,19.0,52.0,37.0,0.08,0.12,0.19,0.08,0.19,1800000.0,Kasey Palmer,1816,K. Palmer,23,69,74,175,68,Right,71,FW,5,2100000,17000,310,64,63,55,67,61,341,74,68,63,64,72,367,76,72,79,65,75,312,66,58,61,65,62,272,47,31,67,70,57,131,37,48,46,59,7,16,9,11,16,4,Medium,Medium,1,Championship
wls WAL,"FW,MF",Bristol City,18,2001,5,2,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,2.0,3.0,11.0,0.05,0.01,0.06,0.05,0.06,150000.0,Sam Pearson,3564,S. Pearson,18,56,71,168,65,Right,57,FW,15,325000,2000,238,50,55,38,48,47,248,63,48,40,38,59,340,77,77,75,41,70,245,58,50,49,50,38,201,35,18,43,50,55,67,17,26,24,55,5,14,8,15,13,3,Medium,Medium,1,Championship
sct SCO,FW,Brentford,19,2001,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100000.0,Aaron Pressley,3297,A. Pressley,18,59,73,189,75,Right,61,FW,14,525000,3000,251,31,68,59,49,44,199,49,36,30,31,53,294,64,65,54,54,57,308,57,68,59,74,50,252,66,18,59,53,56,58,17,21,20,42,9,12,8,7,6,4,Medium,Low,1,Championship
eng ENG,"MF,FW",Derby County,23,1997,15,7,678,7.5,1,1,2,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,0.9,0.9,0.5,1.4,29.0,29.0,35.0,0.12,0.07,0.19,0.12,0.19,2000000.0,Patrick Roberts,1632,P. Roberts,23,71,76,170,66,Left,74,FW,5,2800000,51000,298,65,64,44,73,52,333,78,66,49,63,77,398,79,75,92,62,90,259,65,43,53,33,65,258,38,21,64,73,62,74,37,18,19,46,12,7,8,7,12,3,Medium,Low,1,Championship
dk DEN,"DF,FW",Brentford,21,1999,17,10,868,9.6,0,2,2,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,0.1,0.1,1.3,1.4,18.0,19.0,57.0,0.01,0.14,0.15,0.01,0.15,1500000.0,Mads Roerslev,2591,M. Roerslev,21,64,75,184,67,Right,65,FW,11,1300000,6000,241,70,32,43,59,37,263,63,53,35,51,61,352,75,77,70,59,71,294,51,70,69,64,40,258,57,56,60,50,35,177,58,62,57,59,13,12,14,8,12,3,High,Medium,1,Championship
eng ENG,"DF,FW",Huddersfield,19,2000,20,10,987,11.0,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,0.8,0.8,0.8,1.6,38.0,25.0,57.0,0.07,0.07,0.14,0.07,0.14,200000.0,Aaron Rowe,2911,A. Rowe,19,62,74,180,70,Right,63,FW,12,950000,3000,258,62,50,37,61,48,287,68,58,47,48,66,339,73,74,72,54,66,242,62,38,43,49,50,218,40,20,53,53,52,76,25,29,22,56,9,15,7,12,13,3,High,Medium,1,Championship
sn SEN,"FW,MF",Watford,22,1998,39,39,"3,459",38.4,13,4,17,11,2,2,5,0,0.34,0.1,0.44,0.29,0.39,10.3,8.7,7.6,16.3,131.0,115.0,347.0,0.27,0.2,0.46,0.23,0.42,22000000.0,Ismaila Sarr,1387,I. Sarr,22,78,86,185,76,Right,78,FW,8,31500000,21000,332,68,75,44,69,76,353,82,78,55,59,79,417,95,94,78,76,74,351,82,48,73,70,78,269,53,17,73,68,58,62,25,16,21,49,14,13,7,6,9,2,High,Medium,1,Championship
gw GNB,"MF,FW",Reading,22,1997,39,24,"2,146",23.8,2,2,4,2,0,0,4,0,0.08,0.08,0.17,0.08,0.17,2.6,2.6,0.6,3.2,35.0,73.0,66.0,0.11,0.03,0.13,0.11,0.13,1800000.0,Alfa Semedo,1810,Alfa Semedo,22,69,75,190,82,Right,72,FW,6,2100000,5000,289,49,49,71,65,55,302,70,55,44,62,71,313,65,68,67,68,45,357,72,68,76,78,63,313,75,66,65,60,47,207,68,73,66,55,14,14,7,11,9,3,High,Medium,1,Championship
