Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
ar ARG,FW,Norwich City,23,1996,39,39,"3,316",36.8,15,15,30,14,1,1,8,2,0.41,0.41,0.81,0.38,0.79,11.7,10.9,13.2,24.1,98.0,288.0,224.0,0.32,0.36,0.68,0.3,0.65,35000000.0,Emi Buendía,1386,E. Buendía,23,78,83,172,65,Right,80,FW,5,21000000,13000,355,76,71,60,80,68,396,83,78,74,79,82,388,75,73,80,73,87,326,78,45,68,63,72,346,83,60,71,83,49,191,67,68,56,50,11,10,13,7,9,4,High,High,1,Championship
eng ENG,"FW,MF",Millwall,18,2001,13,0,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8.0,0.0,14.0,0.03,0.13,0.16,0.03,0.16,200000.0,Tyler Burey,3558,T. Burey,19,56,72,187,74,Right,57,FW,16,375000,2000,228,42,57,39,51,39,255,53,45,47,49,61,340,66,69,78,64,63,286,54,70,62,61,39,224,50,25,52,49,48,123,39,40,44,39,10,6,7,7,9,3,Medium,Low,1,Championship
eng ENG,FW,Blackburn,20,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,0.25,0.0,0.25,0.25,0.25,50000.0,Daniel Butterworth,2739,D. Butterworth,20,63,75,178,65,Right,64,FW,12,1200000,7000,250,39,64,51,54,42,238,61,39,36,39,63,379,83,78,73,70,75,278,55,62,59,48,54,272,63,30,65,54,60,106,32,35,39,46,7,13,9,9,8,3,Medium,Medium,1,Championship
eng ENG,"FW,MF",Stoke City,20,1999,16,13,"1,087",12.1,6,5,11,6,0,0,1,0,0.5,0.41,0.91,0.5,0.91,2.7,2.7,2.2,4.9,35.0,18.0,104.0,0.22,0.18,0.4,0.22,0.4,6000000.0,Tyrese Campbell,1721,T. Campbell,20,70,82,183,75,Left,72,FW,12,3900000,13000,323,59,71,63,66,64,296,71,56,54,46,69,369,84,80,69,69,67,338,67,73,59,74,65,288,58,28,68,61,73,86,31,31,24,58,6,13,13,12,14,4,High,Medium,1,Championship
es ESP,"FW,DF",Brentford,23,1997,46,33,"2,872",31.9,9,8,17,9,0,0,5,0,0.28,0.25,0.53,0.28,0.53,7.5,7.5,5.8,13.3,103.0,121.0,250.0,0.24,0.18,0.42,0.24,0.42,10000000.0,Sergi Canós,1555,Sergi Canós,23,72,77,175,66,Right,73,FW,5,3500000,29000,319,72,70,51,68,58,323,76,59,56,59,73,374,74,68,79,69,84,321,71,55,64,62,69,323,75,52,71,72,53,156,48,58,50,60,7,8,15,15,15,3,High,Medium,1,Championship
eng ENG,FW,Norwich City,22,1998,33,30,"2,611",29.0,6,6,12,6,0,0,4,0,0.21,0.21,0.41,0.21,0.41,4.9,4.9,5.5,10.4,75.0,178.0,180.0,0.17,0.19,0.36,0.17,0.36,22000000.0,Todd Cantwell,1430,T. Cantwell,22,75,82,177,70,Right,77,FW,7,11500000,11000,318,66,71,43,76,62,364,77,73,66,68,80,371,74,72,77,74,74,292,66,46,68,45,67,286,48,30,73,77,58,116,40,45,31,63,10,8,14,15,16,2,High,Medium,1,Championship
ma MAR,"MF,FW",QPR,22,1997,45,43,"3,497",38.9,8,4,12,8,0,0,6,0,0.21,0.1,0.31,0.21,0.31,8.4,8.4,6.3,14.8,130.0,185.0,264.0,0.22,0.16,0.38,0.22,0.38,4000000.0,Ilias Chair,1713,I. Chair,22,70,77,171,64,Right,72,FW,7,3200000,6000,290,62,64,40,70,54,330,71,64,61,64,70,383,76,74,83,68,82,294,70,45,70,41,68,229,33,22,64,71,39,90,34,34,22,55,11,15,10,6,13,2,High,Medium,1,Championship
eng ENG,"FW,MF",Barnsley,23,1997,34,31,"2,113",23.5,4,3,7,4,0,0,2,0,0.17,0.13,0.3,0.17,0.3,4.9,4.9,4.3,9.2,18.0,77.0,185.0,0.21,0.19,0.39,0.21,0.39,1000000.0,Conor Chaplin,1932,C. Chaplin,23,68,74,168,69,Left,70,FW,6,1900000,6000,308,52,70,55,64,67,316,69,60,68,51,68,392,80,77,82,69,84,341,72,75,72,58,64,265,45,30,67,64,59,106,33,33,40,65,13,16,10,14,12,3,High,Medium,1,Championship
eng ENG,"FW,DF",Stoke City,19,2000,14,6,588,6.5,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,0.7,0.7,1.2,1.9,18.0,15.0,38.0,0.11,0.18,0.29,0.11,0.29,5000000.0,Jack Clarke,2093,J. Clarke,19,67,81,181,74,Right,68,FW,14,2400000,13000,298,65,62,53,64,54,313,73,63,57,51,69,365,76,74,75,62,78,289,59,61,55,56,58,245,42,24,60,59,60,60,22,20,18,44,9,10,9,6,10,4,Medium,Low,1,Championship
sct SCO,"FW,MF",Bristol City,17,2002,5,3,269,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,0.9,0.9,0.0,0.9,3.0,2.0,12.0,0.32,0.0,0.32,0.32,0.32,50000.0,Tommy Conway,3565,T. Conway,17,56,72,178,68,Right,58,FW,16,350000,1000,234,28,59,58,45,44,208,55,37,30,32,54,319,72,67,55,53,72,275,52,66,50,53,54,212,31,15,56,50,60,44,16,16,12,49,9,9,8,12,11,3,Medium,Medium,1,Championship
wls WAL,FW,Swansea City,20,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,Brandon Cooper,2912,B. Cooper,20,62,75,185,84,Right,64,FW,13,900000,3000,206,34,29,63,43,37,179,34,35,28,41,41,263,52,49,45,58,59,253,41,63,50,70,29,242,61,62,33,38,48,196,63,67,66,43,8,9,9,9,8,3,Medium,Medium,1,Championship
wls WAL,FW,Swansea City,20,1999,3,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,1.0,3.0,0.1,0.0,0.1,0.1,0.1,150000.0,Oliver Cooper,3405,O. Cooper,20,58,70,174,68,Right,61,FW,12,500000,3000,264,54,51,45,66,48,281,58,51,50,62,60,309,66,67,57,53,66,264,55,62,60,51,36,245,42,36,55,56,56,144,45,48,51,52,11,14,9,11,7,3,Medium,Medium,1,Championship
eng ENG,FW,Birmingham City,23,1996,12,2,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,1.0,15.0,0.07,0.05,0.12,0.07,0.12,1500000.0,Sam Cosgrove,1806,S. Cosgrove,23,69,75,192,82,Right,71,FW,6,2200000,9000,291,31,70,78,57,55,259,62,42,38,54,63,314,61,67,63,62,61,390,75,90,73,90,62,298,84,14,72,53,75,80,21,30,29,63,8,15,15,15,10,3,High,Low,1,Championship
eng ENG,"FW,MF",Middlesbrough,22,1998,17,5,632,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.9,17.0,16.0,33.0,0.08,0.05,0.12,0.08,0.12,1200000.0,Hayden Coulson,2073,H. Coulson,22,67,75,172,70,Left,68,FW,8,2200000,5000,241,65,39,49,59,29,256,68,46,30,47,65,364,78,77,68,66,75,253,45,57,68,57,26,272,58,64,60,56,34,191,61,66,64,54,14,13,11,9,7,3,High,Medium,1,Championship
eng ENG,"FW,DF",Derby County,20,1999,1,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,200000.0,Cameron Cresswell,1070,C. Cresswell,17,60,79,191,80,Right,62,FW,19,575000,550,211,33,23,65,66,24,207,40,25,30,54,58,249,54,54,40,47,54,242,39,62,54,64,23,216,59,61,24,33,39,177,58,62,57,56,11,11,13,10,11,3,Medium,High,1,Championship
wls WAL,FW,Swansea City,21,1999,13,6,501,5.6,1,0,1,1,0,0,0,0,0.18,0.0,0.18,0.18,0.18,1.3,1.3,0.1,1.4,7.0,13.0,40.0,0.23,0.02,0.25,0.23,0.25,300000.0,Liam Cullen,2749,L. Cullen,21,63,74,173,66,Left,65,FW,11,1100000,5000,296,57,66,55,62,56,284,68,53,45,52,66,357,76,76,70,53,82,267,70,50,46,46,55,243,45,22,62,54,60,88,25,31,32,46,11,6,8,11,10,3,Medium,Medium,1,Championship
eng ENG,"FW,MF",Huddersfield,19,2001,5,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,6.0,0.11,0.0,0.11,0.11,0.11,250000.0,Matty Daly,3299,M. Daly,19,59,76,176,73,Right,63,FW,17,575000,3000,278,55,57,50,64,52,302,62,61,57,62,60,302,61,52,61,59,69,249,55,54,42,49,49,268,46,39,58,67,58,155,39,59,57,55,9,12,10,10,14,3,Medium,Medium,1,Championship
nl NED,FW,Bournemouth,23,1997,33,29,"2,489",27.7,15,7,22,15,0,0,1,0,0.54,0.25,0.8,0.54,0.8,7.5,7.5,6.5,14.0,111.0,88.0,256.0,0.27,0.24,0.51,0.27,0.51,15000000.0,Arnaut Danjuma,1408,A. Danjuma,23,76,80,178,80,Right,77,FW,4,11000000,13000,316,72,74,44,71,55,355,80,76,57,64,78,387,84,79,78,72,74,356,79,61,74,67,75,272,55,32,71,70,44,134,35,52,47,55,15,8,10,8,14,4,High,Medium,1,Championship
eng ENG,FW,Blackburn,18,2001,37,10,"1,265",14.1,3,1,4,3,0,0,0,0,0.21,0.07,0.28,0.21,0.28,2.7,2.7,1.3,4.1,46.0,36.0,132.0,0.19,0.09,0.29,0.19,0.29,2000000.0,Tyrhys Dolan,2072,T. Dolan,18,67,83,164,63,Right,68,FW,16,2600000,6000,273,68,57,36,64,48,294,72,61,42,54,65,389,84,76,89,57,83,249,60,43,55,40,51,265,50,42,64,64,45,120,40,42,38,31,5,9,6,6,5,3,Medium,Medium,1,Championship
eng ENG,"MF,FW",Norwich City,22,1997,24,12,932,10.4,5,1,6,5,0,0,1,0,0.48,0.1,0.58,0.48,0.58,2.4,2.4,3.2,5.6,21.0,60.0,68.0,0.23,0.31,0.54,0.23,0.54,3000000.0,Kieran Dowell,1633,K. Dowell,22,71,76,185,70,Left,73,FW,5,2900000,7000,316,64,68,53,73,58,353,73,68,71,68,73,333,62,66,69,66,70,296,68,48,56,51,73,286,48,33,68,73,64,143,45,46,52,50,8,13,7,14,8,3,Medium,Low,1,Championship
gy GUY,FW,QPR,19,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,Stephen Duke-McKenna,3395,S. Duke-McKenna,19,58,71,170,65,Right,59,FW,13,475000,1000,251,55,42,55,60,39,262,62,50,44,52,54,359,72,68,81,55,83,217,55,39,49,32,42,244,39,40,58,53,54,110,30,41,39,51,8,10,14,6,13,3,Medium,Medium,1,Championship
eng ENG,FW,Reading,22,1997,38,37,"3,145",34.9,3,5,8,3,0,0,2,0,0.09,0.14,0.23,0.09,0.23,2.4,2.4,6.6,8.9,84.0,137.0,205.0,0.07,0.19,0.26,0.07,0.26,4000000.0,Ovie Ejaria,1500,O. Ejaria,22,73,80,188,74,Right,75,FW,7,6000000,11000,314,63,63,59,74,55,349,83,68,49,69,80,381,75,67,90,66,83,314,63,42,77,67,65,321,57,70,64,73,57,203,67,68,68,59,15,9,11,14,10,4,Medium,High,1,Championship
eng ENG,"FW,MF",Blackburn,17,2003,41,31,"2,753",30.6,7,11,18,7,0,0,3,0,0.23,0.36,0.59,0.23,0.59,3.5,3.5,9.5,13.0,106.0,222.0,211.0,0.12,0.31,0.43,0.12,0.43,15000000.0,Harvey Elliott,1550,H. Elliott,17,72,87,170,64,Left,74,FW,15,5500000,11000,297,72,64,40,73,48,316,75,56,47,68,70,393,79,77,86,67,84,259,60,40,64,33,62,264,32,30,67,76,59,82,32,29,21,47,10,10,6,14,7,4,Medium,Medium,1,Championship
pt POR,"DF,FW",Reading,18,2002,29,12,"1,240",13.8,1,0,1,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,1.4,2.3,30.0,42.0,54.0,0.06,0.1,0.17,0.06,0.17,6000000.0,Tomás Esteves,2257,Tomás Esteves,18,66,83,180,72,Right,67,FW,17,2100000,1000,253,68,36,52,65,32,258,69,44,37,42,66,337,74,75,64,58,66,254,35,57,65,62,35,276,63,62,54,57,40,184,57,64,63,42,7,11,7,9,8,3,High,Medium,1,Championship
ng NGA,"FW,MF",Middlesbrough,19,2000,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,1.0,4.0,0.28,0.0,0.28,0.28,0.28,100000.0,Samuel Folarin,3637,S. Folarin,19,54,71,175,67,Right,56,FW,17,275000,2000,253,52,56,43,46,56,229,56,46,34,34,59,319,75,73,63,34,74,254,70,44,45,50,45,214,29,32,44,50,59,121,48,35,38,48,10,11,7,11,9,3,Medium,Medium,1,Championship
fi FIN,"FW,MF",Brentford,21,1999,39,9,"1,105",12.3,7,1,8,7,0,0,3,0,0.57,0.08,0.65,0.57,0.65,7.9,7.9,1.9,9.8,23.0,18.0,66.0,0.64,0.16,0.8,0.64,0.8,4500000.0,Marcus Forss,1931,M. Forss,21,68,76,182,76,Right,70,FW,8,2700000,14000,283,32,73,62,54,62,225,58,38,28,35,66,342,72,70,60,68,72,331,73,66,64,69,59,274,65,34,71,52,52,78,23,33,22,51,14,11,7,10,9,3,High,Medium,1,Championship
eng ENG,FW,Preston,19,2001,11,5,513,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.8,19.0,7.0,26.0,0.14,0.17,0.31,0.14,0.31,5000000.0,Anthony Gordon,2090,A. Gordon,19,67,83,185,70,Right,68,FW,16,2600000,13000,275,62,62,45,62,44,315,73,63,59,51,69,342,76,75,66,59,66,292,61,55,63,51,62,272,54,28,62,63,65,85,32,28,25,40,5,6,14,7,8,3,High,Medium,1,Championship
eng ENG,"FW,MF",Sheffield Weds,22,1998,11,3,305,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,10.0,5.0,21.0,0.04,0.32,0.36,0.04,0.36,800000.0,André Green,1928,A. Green,21,68,77,180,71,Right,69,FW,9,2700000,6000,302,66,65,55,66,50,306,71,56,45,64,70,361,78,79,75,57,72,298,66,50,67,60,55,245,34,27,61,62,61,109,37,34,38,49,7,11,9,10,12,3,Medium,Medium,1,Championship
se SWE,FW,Coventry City,22,1998,19,7,762,8.5,3,0,3,3,0,0,0,0,0.35,0.0,0.35,0.35,0.35,2.0,2.0,0.6,2.5,27.0,14.0,63.0,0.23,0.07,0.3,0.23,0.3,1000000.0,Viktor Gyökeres,2260,V. Gyökeres,22,66,77,187,86,Right,68,FW,11,1900000,14000,313,61,68,60,66,58,303,69,66,49,52,67,333,64,73,67,65,64,325,65,58,69,71,62,243,47,23,66,58,49,61,28,17,16,56,10,13,11,14,8,3,Medium,Medium,1,Championship
eng ENG,FW,Middlesbrough,18,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,Hayden Hackney,3665,H. Hackney,18,53,74,178,70,Right,57,FW,21,300000,950,243,48,44,39,63,49,246,47,46,39,58,56,306,70,69,49,43,75,255,45,56,70,47,37,221,38,25,44,61,53,126,34,40,52,63,14,14,14,12,9,3,Medium,Medium,1,Championship
wls WAL,"FW,MF",Cardiff City,21,1998,16,6,646,7.2,3,1,4,3,0,0,0,0,0.42,0.14,0.56,0.42,0.56,1.2,1.2,0.8,2.0,6.0,5.0,39.0,0.17,0.11,0.28,0.17,0.28,600000.0,Mark Harris,3172,M. Harris,21,60,69,182,75,Right,63,FW,9,550000,4000,267,46,62,46,64,49,272,58,49,45,57,63,326,67,68,60,58,73,300,57,59,66,67,51,241,44,24,61,60,52,130,40,42,48,50,8,9,13,8,12,4,High,High,1,Championship
eng ENG,FW,Brentford,18,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100000.0,Maxwell Haygarth,3401,M. Haygarth,18,58,74,176,64,Left,59,FW,16,525000,3000,241,48,56,37,53,47,273,62,57,52,41,61,358,76,72,78,52,80,240,51,45,44,49,51,225,46,25,51,51,52,81,31,27,23,48,12,6,8,10,12,5,Medium,Medium,1,Championship
eng ENG,FW,Rotherham Utd,21,1999,31,4,686,7.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.1,1.9,4.0,13.0,41.0,0.24,0.02,0.25,0.24,0.25,800000.0,George Hirst,2588,G. Hirst,21,64,74,191,81,Right,66,FW,10,1300000,13000,272,29,68,67,54,54,207,55,30,31,31,60,301,60,68,49,60,64,314,67,70,55,71,51,248,56,19,66,43,64,82,38,19,25,58,13,13,13,10,9,3,Medium,Medium,1,Championship
ie IRL,"FW,MF",Norwich City,19,2001,17,1,340,3.8,3,1,4,3,0,0,3,1,0.79,0.26,1.06,0.79,1.06,2.7,2.7,0.4,3.1,8.0,6.0,37.0,0.72,0.1,0.82,0.72,0.82,3000000.0,Adam Idah,2256,A. Idah,19,66,82,190,83,Right,68,FW,16,2200000,2000,281,38,67,65,49,62,242,62,49,30,37,64,334,77,73,67,63,54,333,73,66,59,74,61,239,53,17,65,41,63,46,18,17,11,50,12,13,9,10,6,3,High,Medium,1,Championship
pl POL,"FW,MF",Derby County,22,1998,41,30,"2,681",29.8,1,2,3,1,0,0,6,0,0.03,0.07,0.1,0.03,0.1,2.4,2.4,2.3,4.7,78.0,58.0,195.0,0.08,0.08,0.16,0.08,0.16,4000000.0,Kamil Jóźwiak,1716,K. Jóźwiak,22,70,78,176,70,Right,71,FW,8,3600000,14000,282,65,61,41,66,49,293,72,61,34,58,68,406,90,90,83,63,80,304,63,53,72,70,46,260,47,31,65,65,52,126,47,44,35,54,10,14,8,9,13,3,Medium,Low,1,Championship
us USA,"FW,MF",QPR,18,2001,11,1,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,2.0,0.0,9.0,0.15,0.04,0.19,0.15,0.19,200000.0,Charlie Kelman,3040,C. Kelman,18,61,77,175,70,Right,63,FW,16,825000,850,256,44,62,51,46,53,257,62,55,44,35,61,365,82,80,75,57,71,321,65,72,68,57,59,245,55,21,60,50,59,72,22,26,24,48,10,9,13,8,8,3,High,Medium,1,Championship
ie IRL,"MF,FW",Derby County,19,2001,43,41,"3,581",39.8,2,0,2,2,0,0,5,0,0.05,0.0,0.05,0.05,0.05,3.0,3.0,1.1,4.1,67.0,135.0,153.0,0.08,0.03,0.1,0.08,0.1,600000.0,Jason Knight,1933,J. Knight,22,68,75,185,78,Right,70,FW,7,2300000,21000,262,40,52,66,63,41,267,59,42,37,64,65,297,58,58,54,69,58,328,54,68,77,73,56,299,70,69,57,61,42,200,68,67,65,52,13,12,9,8,10,2,Medium,Medium,1,Championship
ie IRL,"MF,FW",Derby County,19,2001,43,41,"3,581",39.8,2,0,2,2,0,0,5,0,0.05,0.0,0.05,0.05,0.05,3.0,3.0,1.1,4.1,67.0,135.0,153.0,0.08,0.03,0.1,0.08,0.1,600000.0,Jason Knight,1933,J. Knight,22,68,75,185,78,Right,70,FW,7,2300000,21000,262,40,52,66,63,41,267,59,42,37,64,65,297,58,58,54,69,58,328,54,68,77,73,56,299,70,69,57,61,42,200,68,67,65,52,13,12,9,8,10,2,Medium,Medium,1,Championship
sl SLE,FW,Huddersfield,21,1998,20,19,"1,620",18.0,8,2,10,8,0,0,2,0,0.44,0.11,0.56,0.44,0.56,5.3,5.3,2.1,7.3,60.0,44.0,150.0,0.29,0.12,0.41,0.29,0.41,2000000.0,Josh Koroma,2099,J. Koroma,21,67,76,178,66,Right,68,FW,9,2300000,8000,282,55,66,43,65,53,258,71,36,32,51,68,362,78,76,72,63,73,305,63,57,66,57,62,233,33,25,62,61,52,100,23,38,39,51,8,7,14,10,12,3,High,Medium,1,Championship
eng ENG,"FW,MF",Birmingham City,21,1999,34,15,"1,599",17.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,41.0,23.0,105.0,0.11,0.06,0.17,0.11,0.17,1500000.0,Jonathan Leko,2254,J. Leko,21,66,72,182,64,Right,68,FW,6,1400000,5000,297,57,64,64,62,50,265,70,53,34,44,64,391,87,90,78,63,73,316,66,65,63,66,56,217,30,16,64,57,50,62,22,17,23,46,6,12,11,8,9,4,Medium,Medium,1,Championship
eng ENG,"MF,FW",Millwall,23,1997,14,4,568,6.3,1,1,2,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,0.5,0.5,2.3,2.8,20.0,10.0,37.0,0.08,0.36,0.44,0.08,0.44,800000.0,Connor Mahoney,1808,C. Mahoney,23,69,74,175,67,Left,69,FW,5,2100000,7000,280,73,65,35,59,48,321,75,64,59,53,70,368,77,76,77,63,75,279,64,42,63,44,66,250,37,40,56,68,49,112,34,40,38,49,10,12,10,7,10,4,Medium,Low,1,Championship
eng ENG,FW,Norwich City,18,2001,9,6,451,5.0,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,1.7,1.7,1.1,2.8,7.0,17.0,29.0,0.33,0.23,0.56,0.33,0.56,2500000.0,Josh Martin,2902,J. Martin,18,62,77,177,70,Right,63,FW,15,925000,800,254,60,50,30,61,53,284,65,56,48,55,60,347,76,73,72,48,78,264,64,47,51,47,55,225,34,23,59,61,48,85,26,31,28,50,12,7,14,10,7,4,High,Medium,1,Championship
cm CMR,FW,Brentford,20,1999,44,37,"3,072",34.1,8,10,18,8,0,0,3,0,0.23,0.29,0.53,0.23,0.53,9.0,9.0,7.8,16.8,73.0,79.0,240.0,0.26,0.23,0.49,0.26,0.49,16000000.0,Bryan Mbeumo,1455,B. Mbeumo,20,74,82,171,75,Left,75,FW,8,9500000,31000,340,72,70,52,69,77,344,73,69,66,64,72,401,84,82,89,71,75,339,76,59,76,59,69,278,45,25,73,72,63,103,28,38,37,63,7,14,15,13,14,2,Medium,Medium,1,Championship
eng ENG,FW,Nott'ham Forest,18,2002,24,13,"1,197",13.3,3,1,4,3,0,0,1,0,0.23,0.08,0.3,0.23,0.3,2.8,2.8,0.6,3.4,35.0,13.0,84.0,0.21,0.05,0.26,0.21,0.26,500000.0,Alex Mighten,2417,A. Mighten,18,65,80,172,70,Right,66,FW,15,1700000,4000,240,58,53,27,61,41,264,71,43,32,49,69,388,84,84,86,60,74,248,59,43,54,46,46,207,30,20,54,52,51,87,24,34,29,50,7,14,8,14,7,2,High,Medium,1,Championship
eng ENG,FW,Barnsley,21,1998,5,0,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,6.0,0.13,0.0,0.13,0.13,0.13,100000.0,George Miller,3168,G. Miller,22,60,67,178,64,Right,62,FW,7,500000,2000,255,29,60,60,53,53,243,58,59,32,34,60,355,74,76,76,54,75,311,61,71,57,64,58,265,68,40,57,45,55,69,18,32,19,58,10,9,13,13,13,3,High,Medium,1,Championship
eng ENG,FW,Derby County,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,Jayden Mitchell-Lawson,3041,J. Mitchell-Lawson,20,61,73,168,60,Right,62,FW,12,800000,4000,246,56,55,35,57,43,274,64,52,43,53,62,364,73,72,75,54,90,255,56,60,54,32,53,238,45,30,60,54,49,116,42,34,40,52,10,14,7,8,13,3,High,Medium,1,Championship
zw ZIM,"FW,MF",Wycombe,21,1998,17,13,"1,068",11.9,3,0,3,3,0,0,1,0,0.25,0.0,0.25,0.25,0.25,3.7,3.7,0.4,4.1,12.0,17.0,48.0,0.31,0.04,0.34,0.31,0.34,150000.0,Admiral Muskwe,2908,A. Muskwe,21,62,71,183,75,Right,64,FW,9,900000,10000,262,35,64,63,51,49,263,62,51,48,42,60,323,69,65,66,62,61,311,63,66,62,69,51,248,58,26,59,50,55,79,30,25,24,55,8,14,14,7,12,3,Medium,Medium,1,Championship
eng ENG,"FW,MF",Luton Town,21,1998,11,1,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.4,3.0,1.0,13.0,0.65,0.02,0.67,0.65,0.67,150000.0,Sam Nombe,3493,S. Nombe,21,57,67,180,75,Right,59,FW,10,375000,2000,265,53,59,53,50,50,236,56,46,27,48,59,330,71,78,72,49,60,313,55,75,66,72,45,217,52,15,53,49,48,70,40,13,17,52,8,11,9,13,11,3,Medium,Medium,1,Championship
wls WAL,FW,Stoke City,19,2001,6,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,2.0,18.0,0.02,0.02,0.05,0.02,0.05,100000.0,Christian Norton,3167,C. Norton,19,60,74,175,70,Right,62,FW,14,600000,3000,273,36,65,53,60,59,277,63,60,39,52,63,329,72,75,60,54,68,289,62,50,63,54,60,245,37,35,51,57,65,83,21,32,30,47,6,12,8,8,13,3,Medium,Medium,1,Championship
eng ENG,"MF,FW",Coventry City,22,1998,46,40,"3,587",39.9,3,8,11,3,0,0,5,0,0.08,0.2,0.28,0.08,0.28,7.8,7.8,5.1,12.9,109.0,170.0,288.0,0.2,0.13,0.32,0.2,0.32,1000000.0,Callum O'Hare,1636,C. O'Hare,22,71,78,173,65,Right,74,FW,7,3800000,23000,289,60,59,51,72,47,328,75,63,52,66,72,399,83,77,82,70,87,313,54,68,88,47,56,341,78,65,69,71,58,195,66,68,61,58,11,7,11,14,15,3,High,High,1,Championship
