Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Source_League,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation
nl NED,GK,Twente,23,1998,2,2,180,2.0,5,2.5,12,7,58.3,1.0,0.0,1.0,1,50.0,0,0,0,0,,Netherlands,200000.0,Jeffrey De Lange,2924,J. de Lange,23,62,70,188,78,Right,62,G,8,775000,1000,64,13,6,12,28,5,75,9,10,14,27,15,173,25,24,30,55,39,170,46,45,23,51,5,71,17,7,8,21,18,35,8,14,13,306,62,60,61,60,63,4,Medium,Medium,1
nl NED,GK,Willem II,20,2001,1,0,74,0.8,0,0.0,6,6,100.0,0.0,0.0,0.0,1,,0,0,0,0,,Netherlands,50000.0,Connor van den Berg,3336,C. van den Berg,20,59,69,185,74,Right,59,G,10,425000,800,55,12,7,11,20,5,62,6,14,10,21,11,161,28,18,28,55,32,164,41,46,18,51,8,82,25,13,5,24,15,32,9,10,13,289,59,59,55,58,58,2,Medium,Medium,1
nl NED,GK,Ajax,21,2000,1,1,90,1.0,2,2.0,6,4,66.7,0.0,1.0,0.0,0,0.0,0,0,0,0,,Netherlands,1500000.0,Jay Gorter,1765,J. Gorter,21,69,83,190,81,Right,69,G,14,3000000,4000,108,21,16,20,36,15,153,23,38,20,42,30,242,51,48,45,63,35,221,48,62,43,57,11,152,35,13,14,62,28,56,19,18,19,338,70,65,64,71,68,2,Medium,Medium,1
nl NED,GK,Utrecht,21,2000,14,14,"1,214",13.5,17,1.26,59,44,74.6,4.0,5.0,5.0,2,14.3,2,2,0,0,0.0,Netherlands,900000.0,Fabian de Keijzer,1884,F. de Keijzer,21,68,79,193,83,Right,68,G,11,2300000,3000,69,11,9,13,31,5,81,11,10,13,29,18,199,32,29,37,68,33,211,50,59,30,67,5,95,23,9,7,41,15,36,11,14,11,334,69,63,67,65,70,3,Medium,Medium,1
ma MAR,GK,RKC Waalwijk,21,2000,1,1,90,1.0,3,3.0,13,11,84.6,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,Netherlands,75000.0,Issam El Maach,3075,I. El Maach,21,61,69,187,96,Right,61,G,8,650000,700,66,13,8,10,28,7,90,17,10,11,22,30,214,42,39,35,58,40,214,48,59,27,70,10,97,23,9,8,35,22,34,8,13,13,305,58,56,64,62,65,3,Medium,Medium,1
ng NGA,GK,Sparta R'dam,21,1999,30,30,"2,633",29.3,40,1.37,132,97,72.7,8.0,9.0,13.0,6,20.0,5,4,1,0,20.0,Netherlands,3500000.0,Maduka Okoye,1508,M. Okoye,21,72,82,198,94,Right,72,G,10,4600000,17000,80,15,6,11,42,6,103,14,13,11,47,18,186,23,26,32,64,41,221,50,53,34,78,6,105,26,18,8,39,14,48,16,16,16,354,73,69,67,69,76,3,Medium,Medium,1
de GER,GK,Vitesse,23,1998,20,19,"1,755",19.5,27,1.38,68,44,64.7,8.0,4.0,7.0,6,31.6,3,3,0,0,0.0,Netherlands,600000.0,Markus Schubert,2044,M. Schubert,23,67,74,187,82,Right,67,G,7,1700000,4000,83,12,8,10,45,8,110,23,14,13,30,30,232,46,30,44,67,45,211,47,71,28,56,9,107,23,16,4,52,12,34,13,11,10,327,69,64,62,61,71,3,Medium,Medium,1
ie IRL,GK,Liverpool,22,1998,2,2,180,2.0,2,1.0,8,6,75.0,1.0,1.0,0.0,1,50.0,0,0,0,0,,PremierLeague,8000000.0,Caoimhín Kelleher,353,C. Kelleher,22,73,80,188,74,Right,73,G,7,5500000,40000,79,13,6,13,38,9,103,18,12,11,40,22,245,45,39,44,69,48,211,56,68,19,60,8,109,21,12,4,42,30,42,18,10,14,363,72,71,74,70,76,3,Medium,Medium,1
no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0.0,4,4,100.0,0.0,0.0,0.0,0,,0,0,0,0,,PremierLeague,2000000.0,Kristoffer Klaesson,878,K. Klaesson,20,63,76,189,76,Left,63,G,13,1000000,7000,77,11,10,13,33,10,101,19,12,13,29,28,221,35,33,52,59,42,200,46,61,24,57,12,105,30,11,5,42,17,37,10,14,13,313,63,58,61,63,68,2,Medium,Medium,1
fr FRA,GK,Leeds United,21,2000,38,38,"3,384",37.6,79,2.1,220,142,66.4,9.0,11.0,18.0,5,13.2,5,5,0,0,0.0,PremierLeague,20000000.0,Illan Meslier,132,I. Meslier,21,77,84,196,74,Left,77,G,7,18500000,34000,102,18,11,15,49,9,128,20,12,10,51,35,217,37,40,42,73,25,205,53,42,40,53,17,127,27,19,8,62,11,58,22,17,19,380,79,76,71,73,81,2,Medium,Medium,1
es ESP,GK,Brighton,23,1997,37,37,"3,329",37.0,42,1.14,141,99,72.3,12.0,15.0,10.0,11,29.7,4,3,0,1,0.0,PremierLeague,4000000.0,Robert Sánchez,751,Rubén Sánchez,20,66,78,185,73,Right,66,D,12,2000000,4000,282,64,55,55,62,46,274,63,54,43,50,64,367,82,79,76,65,65,330,66,62,79,66,57,278,63,56,58,56,45,174,57,59,58,63,14,13,15,8,13,3,High,High,1
br BRA,GK,Gil Vicente FC,20,2001,10,10,900,10.0,14,1.4,46,35,76.1,4.0,4.0,2.0,4,40.0,3,3,0,0,0.0,PrimeiraLigaPortugal,400000.0,Andrew,2506,Andrew,20,65,77,189,76,Right,65,G,12,1500000,1000,79,9,4,11,41,14,79,10,10,8,37,14,194,47,41,34,40,32,181,47,40,37,45,12,116,24,8,4,59,21,35,10,8,17,330,69,65,62,64,70,2,Medium,Medium,1
fr FRA,GK,Gil Vicente FC,21,2000,1,1,90,1.0,2,2.0,4,3,75.0,0.0,1.0,0.0,0,0.0,1,1,0,0,0.0,PrimeiraLigaPortugal,200000.0,Brian Araújo,2701,Brian Araújo,21,64,74,188,80,Right,64,G,10,1100000,1000,71,15,10,11,23,12,82,15,13,12,28,14,176,23,20,42,57,34,196,44,54,19,67,12,98,22,15,11,35,15,36,11,13,12,312,59,63,58,63,69,3,Medium,Medium,1
pt POR,GK,Porto,21,1999,33,33,"2,966",33.0,22,0.67,66,47,69.7,28.0,4.0,1.0,15,45.5,3,2,1,0,33.3,PrimeiraLigaPortugal,1800000.0,Diogo Costa,431,David Costa,20,72,81,168,64,Left,73,M,9,5000000,17000,288,63,67,34,69,55,338,80,69,49,62,78,389,77,73,86,68,85,259,56,45,47,41,70,250,43,32,62,65,48,101,36,30,35,43,6,8,9,10,10,3,High,Low,1
pt POR,GK,Estoril,23,1998,24,24,"2,160",24.0,24,1.0,89,68,76.4,7.0,10.0,7.0,9,37.5,3,3,0,0,0.0,PrimeiraLigaPortugal,1000000.0,Daniel Figueira,1846,Daniel Figueira,22,69,77,189,82,Right,69,G,8,2700000,2000,66,12,8,14,24,8,80,14,12,14,22,18,189,26,29,36,66,32,190,50,40,24,68,8,106,22,15,9,45,15,39,13,15,11,340,70,67,66,68,69,3,Medium,Medium,1
cm CMR,GK,Arouca,22,1999,3,3,270,3.0,7,2.33,10,4,40.0,1.0,0.0,2.0,0,0.0,1,1,0,0,0.0,PrimeiraLigaPortugal,200000.0,Norbert Haymamba,3580,N. Haymamba,22,57,64,205,88,Right,57,G,7,275000,800,65,13,6,14,24,8,66,9,14,10,21,12,131,18,18,22,48,25,164,41,30,15,69,9,78,14,13,7,26,18,29,5,11,13,284,59,57,54,55,59,2,Medium,Medium,1
br BRA,GK,Famalicão,20,2001,31,31,"2,790",31.0,46,1.48,127,89,68.5,8.0,11.0,12.0,8,25.8,8,6,2,0,25.0,PrimeiraLigaPortugal,1200000.0,Luiz Lúcio Reis Júnior,1723,Luiz Júnior,20,70,81,194,88,Right,70,G,11,3000000,3000,60,13,9,13,19,6,81,10,13,14,26,18,178,29,31,31,62,25,179,49,37,22,66,5,94,24,14,8,34,14,28,6,10,12,345,70,69,65,70,71,2,Medium,Medium,1
pt POR,GK,Porto,20,2001,1,0,2,0.0,0,0.0,0,0,,,,,1,,0,0,0,0,,PrimeiraLigaPortugal,450000.0,Francisco Meixedo,2694,Francisco Meixedo,20,64,79,184,73,Right,64,G,15,1200000,1000,56,12,5,14,16,9,82,13,14,14,25,16,200,32,30,36,59,43,193,44,69,20,53,7,75,16,9,4,35,11,31,5,14,12,311,61,63,58,64,65,2,Medium,Medium,1
cz CZE,GK,Vitória,22,1998,9,9,810,9.0,10,1.11,34,24,70.6,2.0,4.0,3.0,4,44.4,1,0,0,1,,PrimeiraLigaPortugal,2000000.0,Matouš Trmal,1613,M. Trmal,22,71,81,192,80,Right,71,G,10,3600000,5000,65,14,9,13,20,9,66,6,14,12,20,14,194,18,27,54,68,27,158,44,31,17,60,6,84,18,13,5,34,14,33,11,10,12,341,70,70,58,69,74,3,Medium,Medium,1
pt POR,GK,Sporting CP,21,1999,1,1,78,0.9,0,0.0,1,1,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,PrimeiraLigaPortugal,1000000.0,João Virgínia,2158,João Virgínia,21,67,79,192,84,Left,67,G,12,2200000,11000,73,14,8,10,32,9,77,9,11,13,29,15,228,54,50,30,61,33,171,49,40,16,57,9,102,29,10,10,41,12,33,12,10,11,333,69,66,65,63,70,3,Medium,Medium,1
it ITA,GK,Torino,21,2000,1,1,90,1.0,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,SerieA,300000.0,Luca Gemello,846,L. Gemello,20,64,74,190,80,Right,64,G,10,1100000,4000,58,14,7,11,19,7,81,9,11,20,23,18,156,31,31,28,44,22,165,50,31,18,61,5,98,23,14,7,35,19,26,5,11,10,326,64,64,66,65,67,2,Medium,Medium,1
hr CRO,GK,Hellas Verona,21,2000,3,3,270,3.0,6,2.0,15,9,66.7,1.0,0.0,2.0,0,0.0,1,1,0,0,0.0,SerieA,1000000.0,Ivor Pandur,460,I. Pandur,21,72,79,187,78,Right,72,G,7,4099999,9000,68,14,6,11,29,8,78,10,14,10,28,16,218,37,41,37,72,31,176,47,50,28,44,7,85,21,6,7,37,14,33,9,10,14,348,71,69,62,69,77,3,Medium,Medium,1
it ITA,GK,Sassuolo,22,1999,1,0,8,0.1,0,0.0,1,1,100.0,0.0,0.0,0.0,0,,0,0,0,0,,SerieA,200000.0,Giacomo Satalino,1327,G. Satalino,22,55,63,188,75,Right,55,G,8,250000,3000,68,14,6,11,28,9,70,7,13,11,22,17,155,24,16,28,55,32,159,36,48,19,51,5,85,25,13,8,21,18,29,9,10,10,266,51,55,48,56,56,2,Medium,Medium,1
ba BIH,GK,Spezia,19,2002,1,0,29,0.3,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,SerieA,100000.0,Petar Zovko,1263,P. Zovko,19,58,73,192,80,Left,58,G,15,425000,850,54,12,6,11,19,6,58,7,14,10,17,10,135,23,17,28,38,29,163,45,33,23,56,6,82,17,7,8,32,18,29,6,10,13,295,55,59,60,55,66,2,Medium,Medium,1
it ITA,GK,Lecce,21,2000,3,3,270,3.0,3,1.0,10,6,70.0,0.0,3.0,0.0,1,33.3,1,0,1,0,100.0,SerieB,800000.0,Alessandro Plizzari,2314,A. Plizzari,21,66,78,191,73,Right,66,G,12,1800000,700,91,13,5,20,36,17,104,21,15,19,26,23,219,45,37,57,47,33,205,44,63,25,54,19,85,16,13,6,35,15,49,16,20,13,329,68,68,59,62,72,3,Medium,Medium,1
it ITA,GK,Crotone,21,2000,7,7,630,7.0,12,1.71,34,22,70.6,0.0,4.0,3.0,1,14.3,2,2,0,0,0.0,SerieB,200000.0,Gianluca Saro,3737,G. Saro,21,52,60,190,86,Right,52,G,8,160000,500,62,11,6,13,26,6,59,8,13,11,15,12,119,18,26,22,31,22,172,44,36,27,58,7,81,28,7,6,22,18,29,6,10,13,273,52,61,58,49,53,3,Medium,Medium,1
