Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Source_League,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation
de GER,GK,Hertha BSC,19,2004,1,1,90,1.0,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,Bundesliga2,200000.0,Robert Kwasigroch,3445,R. Kwasigroch,19,59,74,192,80,Right,59,G,15,475000,750,57,10,8,11,23,5,63,9,11,9,22,12,130,17,26,26,38,23,168,41,44,24,53,6,64,15,7,6,25,11,28,10,9,9,296,63,62,54,57,60,3,Medium,Medium,1
de GER,GK,Nürnberg,22,2001,1,1,90,1.0,4,4.0,4,1,25.0,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,Bundesliga2,400000.0,Jan Reichert,3536,J. Reichert,22,58,66,191,86,Right,58,G,8,400000,1000,66,14,6,12,30,4,75,9,12,11,25,18,166,29,30,31,48,28,188,44,53,24,60,7,87,26,13,8,25,15,36,12,13,11,290,61,57,58,55,59,2,Medium,Medium,1
de GER,GK,Greuther Fürth,19,2003,33,33,"2,969",33.0,48,1.46,147,102,68.7,14.0,7.0,12.0,10,30.3,4,2,1,1,33.3,Bundesliga2,4000000.0,Jonas Urbig,1526,J. Urbig,19,71,84,189,83,Right,71,G,13,3900000,5000,59,10,5,13,23,8,70,6,12,12,28,12,187,31,33,30,57,36,182,50,52,24,51,5,100,27,14,8,36,15,32,8,14,10,352,71,71,66,71,73,4,Medium,Medium,1
de GER,GK,Karlsruher,19,2004,2,2,180,2.0,2,1.0,9,7,77.8,1.0,0.0,1.0,1,50.0,0,0,0,0,,Bundesliga2,400000.0,Max Weiß,3020,M. Weiß,19,62,77,190,84,Right,62,G,15,825000,850,68,10,6,11,33,8,78,8,11,14,29,16,194,31,33,31,59,40,194,48,55,23,62,6,89,17,11,9,39,13,32,9,13,10,310,64,60,64,52,70,2,Medium,Medium,1
ie IRL,GK,Southampton,21,2002,41,41,"3,690",41.0,54,1.32,143,89,63.6,24.0,9.0,8.0,11,26.8,3,2,0,1,0.0,Championship,15000000.0,Gavin Bazunu,1392,G. Bazunu,21,73,82,189,78,Right,73,G,9,6000000,16000,79,11,5,11,45,7,109,12,14,12,51,20,255,49,45,54,65,42,184,56,57,16,50,5,108,16,9,8,60,15,39,16,12,11,365,74,72,74,69,76,2,Medium,Medium,1
eng ENG,GK,Sheffield Weds,19,2004,19,19,"1,710",19.0,24,1.26,75,52,68.0,9.0,4.0,6.0,8,42.1,1,0,0,1,,Championship,5000000.0,James Beadle,2062,J. Beadle,18,67,82,198,85,Right,67,G,15,2100000,2000,98,12,6,15,55,10,111,10,15,11,50,25,251,47,45,55,59,45,229,50,64,40,67,8,105,25,11,6,50,13,33,6,15,12,334,67,65,67,68,67,3,Medium,Medium,1
eng ENG,GK,Sunderland,23,1999,1,1,90,1.0,2,2.0,2,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,Championship,300000.0,Nathan Bishop,2619,N. Bishop,23,64,70,185,72,Right,64,G,6,750000,5000,104,18,10,19,44,13,130,20,14,17,49,30,254,38,40,59,62,55,211,45,59,36,60,11,135,31,22,10,51,21,54,21,17,16,315,65,62,60,63,65,3,Medium,Medium,1
eng ENG,GK,Plymouth Argyle,23,1999,19,19,"1,710",19.0,24,1.26,84,61,72.6,6.0,4.0,9.0,6,31.6,2,1,1,0,50.0,Championship,1000000.0,Michael Cooper,1517,M. Cooper,23,71,79,185,75,Right,71,G,8,3600000,7000,92,10,8,14,54,6,115,13,12,11,56,23,204,30,36,28,67,43,182,50,49,28,46,9,112,24,12,7,58,11,40,14,14,12,347,70,69,67,69,72,3,Medium,Medium,1
dk DEN,GK,Leicester City,23,2000,44,44,"3,960",44.0,41,0.93,154,113,73.4,29.0,4.0,11.0,13,29.5,1,0,1,0,100.0,Championship,9000000.0,Mads Hermansen,1317,M. Hermansen,22,75,84,185,81,Right,75,G,9,11000000,24000,103,13,9,11,61,9,150,24,12,14,59,41,256,49,51,47,67,42,239,57,64,44,61,13,109,20,16,12,46,15,38,15,10,13,374,75,72,76,73,78,2,Medium,Medium,1
no NOR,GK,Leeds United,22,2000,1,1,90,1.0,0,0.0,1,1,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,Championship,1800000.0,Kristoffer Klaesson,2614,K. Klaesson,22,64,73,189,76,Left,64,G,9,1100000,6000,77,11,10,13,33,10,101,19,12,13,29,28,221,35,33,52,59,42,194,47,54,24,57,12,105,30,11,5,42,17,37,10,14,13,314,63,60,62,62,67,2,Medium,Medium,1
fr FRA,GK,Leeds United,23,2000,44,44,"3,922",43.6,40,0.92,121,83,67.8,26.0,9.0,9.0,18,40.9,1,1,0,0,0.0,Championship,18000000.0,Illan Meslier,1353,I. Meslier,23,74,81,196,74,Left,74,G,7,7000000,22000,103,18,11,15,50,9,127,20,12,10,50,35,216,37,40,42,72,25,219,53,56,40,53,17,126,27,19,8,61,11,58,22,17,19,364,75,73,70,70,76,3,Medium,Medium,1
eng ENG,GK,Sunderland,23,2000,45,45,"4,050",45.0,52,1.16,165,114,69.7,16.0,8.0,21.0,13,28.9,3,2,1,0,33.3,Championship,12000000.0,Anthony Patterson,1438,A. Patterson,23,72,80,189,87,Right,72,G,8,4500000,15000,80,13,3,8,48,8,95,6,10,13,57,9,196,19,32,40,68,37,188,54,51,21,58,4,114,28,8,4,62,12,32,5,14,13,355,71,69,72,68,75,3,Medium,Medium,1
eng ENG,GK,Swansea City,22,2001,46,46,"4,140",46.0,65,1.41,206,143,70.9,15.0,12.0,19.0,10,21.7,5,5,0,0,0.0,Championship,3000000.0,Carl Rushworth,1618,C. Rushworth,21,70,81,188,86,Left,70,G,11,3100000,18000,80,13,6,14,40,7,128,24,13,22,39,30,280,56,54,55,63,52,213,53,64,29,58,9,101,20,15,7,49,10,42,16,14,12,351,71,69,70,69,72,2,Medium,Medium,1
pl POL,GK,Leicester City,22,2000,2,2,180,2.0,0,0.0,4,4,100.0,2.0,0.0,0.0,2,100.0,0,0,0,0,,Championship,400000.0,Jakub Stolarczyk,2618,J. Stolarczyk,22,64,71,194,79,Right,64,G,7,1000000,6000,67,14,5,13,26,9,76,10,10,13,31,12,190,31,43,29,45,42,223,50,58,40,69,6,77,18,9,8,32,10,38,12,13,13,328,65,64,67,63,69,2,Medium,Medium,1
eng ENG,GK,QPR,21,2002,1,1,90,1.0,1,1.0,6,5,83.3,1.0,0.0,0.0,0,0.0,0,0,0,0,,Championship,150000.0,Joe Walsh,3509,J. Walsh,21,58,70,185,78,Right,58,G,12,450000,1000,83,15,9,12,36,11,105,17,12,14,32,30,272,53,65,64,41,49,201,45,55,40,53,8,90,21,14,9,38,8,42,15,15,12,297,60,60,60,57,60,5,Medium,Medium,1
ge GEO,GK,Valencia,22,2000,37,37,"3,284",36.5,41,1.12,145,103,73.8,13.0,10.0,14.0,13,35.1,6,3,3,0,50.0,Laliga,35000000.0,Giorgi Mamardashvili,39,G. Mamardashvili,22,82,85,199,88,Left,82,G,3,33500000,30000,63,13,9,14,20,7,74,11,11,10,20,22,236,48,48,40,74,26,251,54,71,45,74,7,86,25,8,8,34,11,27,5,12,10,403,82,82,72,83,84,3,Medium,Medium,2
es ESP,GK,Real Sociedad,21,2001,2,1,142,1.6,3,1.9,5,2,60.0,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,Laliga,300000.0,Unai Marrero,795,Unai Marrero,21,65,77,189,82,Right,65,G,12,1500000,4000,52,10,5,10,21,6,62,8,12,10,16,16,155,21,24,21,51,38,186,44,50,24,59,9,89,16,9,7,42,15,25,5,10,10,324,67,65,59,65,68,3,Medium,Medium,1
ad AND,GK,Villarreal B,22,2001,32,32,"2,880",32.0,43,1.34,128,91,71.1,11.0,6.0,15.0,8,25.0,8,6,1,1,14.3,Laliga2,800000.0,Iker Álvarez,2145,Iker Álvarez,21,67,75,190,78,Right,67,G,8,2000000,1000,75,20,7,10,28,10,78,8,12,12,26,20,226,41,33,48,59,45,223,50,58,35,60,20,112,18,18,6,57,13,30,6,14,10,336,67,66,67,68,68,3,Medium,Medium,1
es ESP,GK,Amorebieta,21,2002,26,26,"2,340",26.0,29,1.12,103,79,75.7,4.0,9.0,13.0,7,26.9,5,4,1,0,20.0,Laliga2,800000.0,Pablo Cuñat,2332,Pablo Cuñat,21,66,77,188,78,Left,66,G,11,1700000,2000,72,14,7,13,29,9,77,11,14,11,26,15,177,22,29,28,62,36,186,42,54,19,63,8,112,26,14,5,56,11,33,8,12,13,322,66,65,56,65,70,3,Medium,Medium,1
es ESP,GK,Espanyol,22,2001,14,14,"1,260",14.0,7,0.5,41,34,82.9,4.0,10.0,0.0,6,42.9,0,0,0,0,,Laliga2,25000.0,Joan García,1560,J. García,21,71,78,182,76,Right,72,D,7,3600000,7000,263,63,35,57,70,38,277,70,44,31,62,70,386,80,84,78,67,77,314,50,74,85,68,37,299,74,59,58,64,44,200,64,67,69,37,9,7,6,9,6,3,Medium,Medium,1
es ESP,GK,Villarreal B,21,2002,1,1,90,1.0,3,3.0,6,3,50.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,Laliga2,100000.0,Rubén Gómez,3065,Rubén Gómez,21,62,72,182,75,Right,62,G,10,775000,750,72,23,6,10,26,7,66,8,11,12,25,10,219,29,29,60,59,42,169,45,44,28,46,6,98,20,20,6,40,12,35,10,11,14,305,62,61,60,62,60,3,Medium,Medium,1
es ESP,GK,CD Mirandés,22,2001,7,7,630,7.0,11,1.57,29,18,62.1,2.0,1.0,4.0,2,28.6,0,0,0,0,,Laliga2,500000.0,Luis López,2895,Luis López,22,63,73,190,76,Right,63,G,10,925000,1000,51,11,7,11,15,7,65,10,13,12,15,15,174,31,29,33,60,21,165,44,46,18,49,8,87,23,12,4,35,13,30,7,13,10,307,66,62,58,58,63,3,Medium,Medium,1
es ESP,GK,Oviedo,23,2000,42,42,"3,780",42.0,39,0.93,147,115,78.2,17.0,13.0,12.0,11,26.2,7,7,0,0,0.0,Laliga2,300000.0,Leo Román,1399,Leo Román,22,73,81,189,83,Right,73,G,8,6000000,13000,76,14,12,12,28,10,85,16,14,12,25,18,276,52,50,54,72,48,241,52,67,44,68,10,116,23,14,11,53,15,41,12,14,15,357,71,72,69,70,75,3,Medium,Medium,1
ar ARG,GK,Lanús,21,1999,12,12,"1,080",12.0,24,2.0,52,32,61.5,3.0,5.0,4.0,1,8.3,4,4,0,0,0.0,LigaProfesionalArgentina,1200000.0,Lautaro Morales,1565,L. Morales,23,71,79,187,76,Right,71,G,8,3600000,6000,112,19,17,21,36,19,120,19,26,16,31,28,270,51,53,47,63,56,242,50,68,44,65,15,161,37,28,14,57,25,70,24,23,23,350,71,68,67,72,72,3,Medium,Medium,1
ma MAR,GK,Strasbourg,21,2002,15,15,"1,350",15.0,26,1.73,63,37,63.5,4.0,2.0,9.0,2,13.3,4,3,1,0,25.0,Ligue1,2000000.0,Alaa Bellaarouch,700,A. Bellaarouch,21,67,76,188,75,Right,67,G,9,2000000,4000,66,10,6,11,34,5,97,8,29,12,27,21,257,58,52,45,61,41,216,53,63,33,58,9,83,28,5,3,27,20,27,6,10,11,337,69,63,70,65,70,3,Medium,Medium,1
fr FRA,GK,Lille,21,2001,33,33,"2,969",33.0,32,0.97,123,91,76.4,16.0,10.0,7.0,15,45.5,5,3,2,0,40.0,Ligue1,25000000.0,Lucas Chevalier,76,L. Chevalier,21,79,85,189,78,Right,79,G,6,23000000,18000,67,12,9,12,25,9,82,14,15,14,22,17,245,47,43,38,79,38,214,54,60,39,53,8,103,23,10,7,47,16,31,10,10,11,385,79,76,72,78,80,3,Medium,Medium,1
fr FRA,GK,Metz,22,2001,1,0,73,0.8,1,1.23,3,2,66.7,0.0,0.0,0.0,0,,0,0,0,0,,Ligue1,600000.0,Guillaume Dietsch,696,G. Dietsch,22,67,74,184,73,Right,67,G,7,1800000,4000,65,10,8,11,30,6,71,8,13,10,22,18,173,20,17,29,65,42,153,47,40,18,41,7,81,28,7,6,30,10,35,9,14,12,330,69,64,63,63,71,2,Medium,Medium,1
fr FRA,GK,Reims,23,1999,34,34,"3,060",34.0,47,1.38,137,90,70.1,13.0,8.0,13.0,8,23.5,7,6,1,0,14.3,Ligue1,8000000.0,Yehvann Diouf,154,Y. Diouf,23,77,82,184,74,Right,77,G,5,13000000,15000,77,13,8,14,35,7,89,13,12,13,30,21,236,45,44,35,74,38,232,54,64,44,62,8,99,26,15,6,41,11,40,13,11,16,376,77,74,72,75,78,3,Medium,Medium,1
pl POL,GK,Monaco,23,1999,12,12,"1,080",12.0,10,0.83,54,45,81.5,9.0,2.0,1.0,7,58.3,0,0,0,0,,Ligue1,5000000.0,Radosław Majecki,239,R. Majecki,23,75,83,193,78,Right,75,G,8,11000000,25000,91,12,19,12,29,19,93,27,10,13,15,28,203,29,34,39,72,29,209,51,58,23,61,16,129,41,23,11,41,13,57,8,24,25,367,76,73,68,73,77,3,Medium,Medium,1
sn SEN,GK,Clermont Foot,21,2001,4,4,360,4.0,6,1.5,24,18,79.2,1.0,2.0,1.0,0,0.0,1,1,0,0,0.0,Ligue1,150000.0,Massamba Ndiaye,739,M. Ndiaye,21,66,76,202,80,Left,66,G,10,1700000,3000,54,11,7,11,17,8,65,7,12,11,16,19,152,19,33,23,54,23,209,49,58,23,73,6,95,25,12,6,33,19,29,6,11,12,330,68,65,65,63,69,2,Medium,Medium,1
fr FRA,GK,Toulouse,18,2005,34,34,"3,060",34.0,46,1.35,139,93,69.8,11.0,10.0,13.0,6,17.6,4,4,0,0,0.0,Ligue1,18000000.0,Guillaume Restes,249,G. Restes,18,75,87,188,82,Left,75,G,12,11500000,2000,80,17,9,12,35,7,82,8,13,13,31,17,210,35,38,31,67,39,219,56,59,36,61,7,94,22,13,9,35,15,41,11,16,14,374,76,72,75,73,78,3,Medium,Medium,1
es ESP,GK,Paris S-G,22,2001,6,5,529,5.9,7,1.19,25,18,72.0,2.0,2.0,1.0,1,20.0,0,0,0,0,,Ligue1,5000000.0,Arnau Tenas,306,Arnau Tenas,22,74,83,185,85,Right,74,G,9,8000000,33000,74,14,5,12,38,5,108,12,10,18,33,35,277,54,48,58,72,45,193,60,60,26,38,9,119,23,14,7,60,15,39,11,13,15,372,73,70,80,72,77,2,Medium,Medium,1
tr TUR,GK,Troyes,20,2002,35,35,"3,105",34.5,45,1.3,150,110,73.3,9.0,14.0,12.0,9,25.7,5,5,0,0,0.0,Ligue2,2500000.0,Doğan Alemdar,1521,D. Alemdar,20,71,77,189,73,Right,71,G,6,2400000,12000,57,14,7,12,16,8,73,13,10,10,24,16,221,38,39,35,67,42,216,52,61,33,65,5,88,19,6,8,45,10,33,8,11,14,353,72,70,69,72,70,2,Medium,Medium,1
fr FRA,GK,Quevilly-Rouen,22,2001,2,2,180,2.0,4,2.0,9,5,55.6,1.0,1.0,0.0,0,0.0,0,0,0,0,,Ligue2,150000.0,Kayne Bonnevie,3157,K. Bonnevie,21,61,71,191,76,Left,61,G,10,650000,550,51,12,6,10,17,6,69,8,11,10,25,15,148,22,17,28,58,23,183,44,52,20,62,5,103,35,9,7,36,16,28,5,10,13,299,62,57,58,59,63,3,Medium,Medium,1
fr FRA,GK,Rodez Aveyron,20,2003,2,1,116,1.3,3,2.33,8,5,62.5,0.0,0.0,1.0,0,0.0,0,0,0,0,,Ligue2,100000.0,Enzo Crombez,3528,E. Crombez,20,58,68,185,78,Right,58,G,10,375000,500,68,13,7,13,29,6,61,7,10,11,21,12,151,15,15,33,40,48,168,41,43,24,53,7,68,16,8,7,25,12,34,6,14,14,294,58,62,55,59,60,2,Medium,Medium,1
mq MTQ,GK,Auxerre,22,2001,1,1,90,1.0,1,1.0,3,2,66.7,1.0,0.0,0.0,0,0.0,0,0,0,0,,Ligue2,100000.0,Théo De Percin,3139,T. De Percin,22,61,70,185,81,Right,61,G,9,650000,950,68,11,9,13,29,6,73,11,10,14,22,16,163,25,18,39,37,44,197,47,54,27,63,6,78,16,11,4,30,17,30,5,11,14,312,65,62,63,60,62,3,Medium,Medium,1
ml MLI,GK,Valenciennes,19,2003,7,7,630,7.0,11,1.57,34,25,70.6,1.0,1.0,5.0,0,0.0,3,1,1,1,50.0,Ligue2,300000.0,Lassana Diabaté,3307,L. Diabaté,19,60,71,182,75,Right,60,G,11,450000,500,65,12,8,12,26,7,68,11,11,10,22,14,155,17,22,21,52,43,153,46,36,20,43,8,89,23,13,5,35,13,31,7,13,11,299,59,59,61,58,62,2,Medium,Medium,1
ci CIV,GK,Angers,22,2000,33,33,"2,970",33.0,35,1.06,149,114,76.5,18.0,8.0,7.0,13,39.4,0,0,0,0,,Ligue2,3500000.0,Yahia Fofana,1522,Y. Fofana,22,71,79,194,89,Right,71,G,8,3600000,4000,51,11,5,14,15,6,64,7,11,10,24,12,215,40,43,35,68,29,228,51,68,26,77,6,80,25,10,4,30,11,36,11,11,14,351,72,68,68,69,74,3,Medium,Medium,1
eng ENG,GK,Saint-Étienne,23,2000,6,6,540,6.0,11,1.83,22,12,54.5,1.0,0.0,5.0,1,16.7,1,1,0,0,0.0,Ligue2,700000.0,Etienne Green,1746,E. Green,22,69,75,192,78,Right,69,G,6,1800000,3000,64,14,6,12,27,5,74,15,12,13,17,17,178,28,22,38,61,29,231,54,61,34,72,10,77,23,7,4,31,12,33,9,13,11,349,70,68,72,68,71,3,Medium,Medium,1
fr FRA,GK,Rodez Aveyron,17,2005,6,6,540,6.0,5,0.83,25,20,80.0,4.0,1.0,1.0,1,16.7,0,0,0,0,,Ligue2,400000.0,Ewen Jaouen,2460,E. Jaouen,17,65,82,197,82,Right,65,G,17,1600000,500,66,12,9,11,26,8,64,9,12,13,18,12,184,28,38,37,56,25,220,48,61,28,75,8,103,28,13,8,42,12,34,9,14,11,323,69,59,64,64,67,2,Medium,Medium,1
ci CIV,GK,Dunkerque,21,2002,15,14,"1,329",14.8,17,1.15,63,47,74.6,6.0,4.0,4.0,3,21.4,2,1,1,0,50.0,Ligue2,500000.0,Mohamed Koné,2846,M. Koné,21,63,72,186,78,Right,63,G,9,925000,2000,60,13,7,14,21,5,66,14,10,12,17,13,169,27,37,25,59,21,192,44,54,28,60,6,70,17,13,7,22,11,30,5,11,14,307,63,62,58,58,66,3,Medium,Medium,1
fr FRA,GK,Paris FC,20,2003,30,30,"2,655",29.5,30,1.02,99,72,71.7,14.0,11.0,5.0,7,23.3,3,2,1,0,33.3,Ligue2,1500000.0,Obed Nkambadio,2266,O. Nkambadio,20,66,76,190,86,Right,66,G,10,1600000,1000,65,13,8,11,28,5,73,8,10,14,25,16,202,31,28,39,63,41,164,45,47,20,47,5,92,20,11,5,39,17,30,6,10,14,321,67,63,60,63,68,2,Medium,Medium,1
fr FRA,GK,Angers,21,2002,5,5,450,5.0,7,1.4,19,13,68.4,2.0,0.0,3.0,0,0.0,1,1,0,0,0.0,Ligue2,150000.0,Melvin Zinga,3001,M. Zinga,21,62,72,187,76,Left,62,G,10,775000,800,59,14,7,12,20,6,82,13,14,11,26,18,157,24,24,33,43,33,159,45,39,28,42,5,98,18,13,7,41,19,33,7,14,12,314,63,65,60,60,66,2,Medium,Medium,1
de GER,GK,Volendam,19,2004,33,32,"2,881",32.0,79,2.47,253,174,69.2,4.0,7.0,21.0,2,6.3,1,1,0,0,0.0,Netherlands,1000000.0,Mio Backhaus,2594,M. Backhaus,19,64,79,194,82,Right,64,G,15,1200000,2000,61,10,8,12,23,8,81,13,13,13,23,19,166,15,24,39,59,29,180,45,48,25,56,6,87,18,13,4,40,12,28,7,10,11,317,65,60,60,63,69,4,Medium,Medium,1
nl NED,GK,Ajax,23,2000,8,7,665,7.4,17,2.3,36,19,52.8,1.0,2.0,4.0,1,14.3,1,0,0,1,,Netherlands,1500000.0,Jay Gorter,1424,J. Gorter,23,72,80,190,83,Right,72,G,8,4500000,7000,108,21,16,20,36,15,153,23,38,20,42,30,245,51,48,45,66,35,224,50,64,42,57,11,142,35,13,14,52,28,56,19,18,19,353,73,65,67,72,76,2,Medium,Medium,1
