Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Hannes Delcroix,be BEL,DF,Anderlecht,21,1999,22.4,,23,,,,,,,,,,,44,,,,BelgianProLeague
Olivier Deman,be BEL,"FW,MF",Cercle Brugge,20,2000,6.4,,14,,,,,,,,,,,4,,,,BelgianProLeague
Kévin Denkey,tg TOG,FW,Cercle Brugge,19,2000,2.2,,2,,,,,,,,,,,2,,,,BelgianProLeague
Emmanuel Dennis,ng NGA,"FW,MF",Club Brugge,22,1997,4.8,,4,,,,,,,,,,,2,,,,BelgianProLeague
Anthony Descotte,be BEL,FW,Charleroi,16,2003,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Aldom Deuro,ml MLI,MF,Cercle Brugge,19,2000,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Krépin Diatta,sn SEN,"FW,MF",Club Brugge,21,1999,16.6,,19,,,,,,,,,,,15,,,,BelgianProLeague
Landry Dimata,be BEL,FW,Anderlecht,22,1997,4.1,,2,,,,,,,,,,,0,,,,BelgianProLeague
Jeremy Doku,be BEL,"MF,FW",Anderlecht,18,2002,6.7,,6,,,,,,,,,,,1,,,,BelgianProLeague
Niklas Dorsch,de GER,MF,Gent,22,1998,23.1,,65,,,,,,,,,,,33,,,,BelgianProLeague
Ferdy Druijf,nl NED,FW,Mechelen,22,1998,5.9,,4,,,,,,,,,,,2,,,,BelgianProLeague
Chris Durkin,us USA,MF,Sint-Truiden,20,2000,22.1,,34,,,,,,,,,,,41,,,,BelgianProLeague
Pierre Dwomoh,be BEL,MF,Genk,16,2004,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Joe Efford,us USA,"FW,MF",Waasland-Bev,23,1996,13.1,,6,,,,,,,,,,,3,,,,BelgianProLeague
Imad Faraj,ma MAR,"MF,FW",Excel Mouscron,21,1999,12.7,,23,,,,,,,,,,,13,,,,BelgianProLeague
