Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Ilyes Najim,fr FRA,MF,Caen,17,2002,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Logan Ndenbe,be BEL,DF,Guingamp,20,2000,15,10,938,10.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Abdourahmane Ndiaye,sn SEN,MF,Pau FC,23,1996,18,3,423,4.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
Rassoul Ndiaye,sn SEN,MF,Sochaux,18,2001,25,7,781,8.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Youssoupha Ndiaye,sn SEN,DF,Paris FC,22,1997,16,11,"1,133",12.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Jason Ngouabi,fr FRA,DF,Caen,17,2003,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kemehlo Nguena,fr FRA,FW,Troyes,20,2000,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aurélien Nguiamba,fr FRA,MF,Nancy,21,1999,21,14,"1,360",15.1,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07
Sikou Niakaté,ml MLI,DF,Guingamp,21,1999,31,29,"2,556",28.4,1,1,2,1,0,0,14,0,0.04,0.04,0.07,0.04,0.07
Tony Njiké,fr FRA,MF,Ajaccio,22,1998,18,4,510,5.7,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18
Natanael Ntolla,fr FRA,MF,Sochaux,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Stephen Odey,ng NGA,FW,Amiens,22,1998,28,16,"1,505",16.7,6,0,6,6,0,0,4,0,0.36,0.00,0.36,0.36,0.36
Christopher Operi,ci CIV,DF,Châteauroux,23,1997,26,24,"2,210",24.6,1,2,3,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12
Nicholas Opoku,gh GHA,DF,Amiens,22,1997,27,27,"2,383",26.5,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04
Abou Ouattara,bf BFA,"FW,MF",Amiens,20,1999,11,3,387,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ayoub Ouhafsa,fr FRA,FW,Rodez Aveyron,22,1997,33,11,"1,226",13.6,3,0,3,3,0,1,1,0,0.22,0.00,0.22,0.22,0.22
Mohamed Ouhatti,ma MAR,MF,Amiens,19,2001,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bryan Passi,cg CGO,DF,Niort,22,1997,28,27,"2,364",26.3,1,2,3,1,0,0,1,0,0.04,0.08,0.11,0.04,0.11
Sullivan Péan,fr FRA,GK,Caen,20,1999,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Andy Pembélé,fr FRA,FW,Paris FC,20,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nikola Petković,rs SRB,FW,Chambly Oise,23,1996,10,7,616,6.8,3,1,4,3,0,0,0,0,0.44,0.15,0.58,0.44,0.58
Isak Pettersson,se SWE,GK,Toulouse,23,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alexis Peyrelade,fr FRA,MF,Rodez Aveyron,23,1997,2,1,95,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Matthias Phaeton,gp GLP,"FW,MF",Guingamp,20,2000,27,5,792,8.8,3,0,3,3,0,0,0,0,0.34,0.00,0.34,0.34,0.34
Rayan Philippe,fr FRA,FW,Nancy,19,2000,15,9,746,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Charles Pickel,cd COD,MF,Grenoble,23,1997,35,34,"2,990",33.2,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09
Mathis Picouleau,fr FRA,MF,Valenciennes,20,2000,28,13,"1,381",15.3,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07
Leverton Pierre,ht HAI,"MF,FW",Dunkerque,22,1998,29,13,"1,271",14.1,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07
Adrien Pinot,fr FRA,DF,Chambly Oise,19,2001,3,3,222,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
