Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Joelinton,br BRA,"FW,MF",Newcastle Utd,23,1996,22.0,33.0,21,7.0,21.0,5.0,14.0,37.0,37.8,23.0,30.0,2.0,28.0,9,42.0,24.0,0.0,PremierLeague,2020-2021
Ben Johnson,eng ENG,"DF,FW",West Ham,20,2000,5.8,11.0,5,5.0,3.0,3.0,7.0,9.0,77.8,2.0,5.0,1.0,4.0,11,22.0,9.0,0.0,PremierLeague,2020-2021
Curtis Jones,eng ENG,MF,Liverpool,19,2001,13.1,16.0,6,6.0,7.0,3.0,12.0,25.0,48.0,13.0,13.0,0.0,13.0,19,35.0,11.0,1.0,PremierLeague,2020-2021
Diogo Jota,pt POR,FW,Liverpool,23,1996,12.4,12.0,6,4.0,7.0,1.0,2.0,29.0,6.9,27.0,9.0,0.0,9.0,5,17.0,3.0,0.0,PremierLeague,2020-2021
James Justin,eng ENG,DF,Leicester City,22,1998,23.0,61.0,37,38.0,18.0,5.0,20.0,41.0,48.8,21.0,36.0,10.0,26.0,30,91.0,58.0,1.0,PremierLeague,2020-2021
Ozan Kabak,tr TUR,DF,Liverpool,20,2000,8.9,19.0,10,11.0,4.0,4.0,6.0,9.0,66.7,3.0,2.0,2.0,0.0,12,31.0,28.0,1.0,PremierLeague,2020-2021
Moise Kean,it ITA,"FW,MF",Everton,20,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Caoimhín Kelleher,ie IRL,GK,Liverpool,21,1998,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,PremierLeague,2020-2021
Jonjoe Kenny,eng ENG,DF,Everton,23,1997,0.9,2.0,1,1.0,0.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1,3.0,3.0,0.0,PremierLeague,2020-2021
Reda Khadra,de GER,MF,Brighton,19,2001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Max Kilman,eng ENG,DF,Wolves,23,1997,14.6,21.0,14,13.0,4.0,4.0,8.0,14.0,57.1,6.0,17.0,8.0,9.0,19,40.0,46.0,0.0,PremierLeague,2020-2021
Ezri Konsa,eng ENG,DF,Aston Villa,22,1997,35.5,25.0,13,18.0,6.0,1.0,9.0,13.0,69.2,4.0,53.0,47.0,6.0,29,54.0,162.0,1.0,PremierLeague,2020-2021
Tariq Lamptey,gh GHA,"DF,MF",Brighton,19,2000,9.8,17.0,9,7.0,6.0,4.0,6.0,13.0,46.2,7.0,8.0,1.0,7.0,19,36.0,12.0,1.0,PremierLeague,2020-2021
Khanya Leshabela,za RSA,MF,Leicester City,20,1999,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Jamal Lewis,nir NIR,DF,Newcastle Utd,22,1998,20.4,37.0,20,23.0,13.0,1.0,16.0,38.0,42.1,22.0,21.0,7.0,14.0,11,48.0,44.0,1.0,PremierLeague,2020-2021
Matthew Longstaff,eng ENG,MF,Newcastle Utd,20,2000,4.2,3.0,2,2.0,1.0,0.0,2.0,8.0,25.0,6.0,7.0,0.0,7.0,7,10.0,2.0,0.0,PremierLeague,2020-2021
Sean Longstaff,eng ENG,MF,Newcastle Utd,22,1997,15.7,31.0,14,13.0,15.0,3.0,18.0,42.0,42.9,24.0,26.0,5.0,21.0,19,50.0,14.0,2.0,PremierLeague,2020-2021
Ademola Lookman,ng NGA,"FW,MF",Fulham,22,1997,30.5,35.0,11,18.0,9.0,8.0,13.0,44.0,29.5,31.0,31.0,1.0,30.0,20,55.0,9.0,0.0,PremierLeague,2020-2021
Max Lowe,eng ENG,DF,Sheffield Utd,23,1997,6.1,26.0,11,18.0,6.0,2.0,9.0,21.0,42.9,12.0,12.0,4.0,8.0,5,31.0,11.0,0.0,PremierLeague,2020-2021
Douglas Luiz,br BRA,MF,Aston Villa,22,1998,30.9,49.0,18,22.0,26.0,1.0,20.0,58.0,34.5,38.0,52.0,17.0,35.0,43,92.0,44.0,2.0,PremierLeague,2020-2021
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,21,1998,12.4,26.0,12,6.0,16.0,4.0,11.0,38.0,28.9,27.0,25.0,4.0,21.0,9,35.0,4.0,0.0,PremierLeague,2020-2021
James Maddison,eng ENG,MF,Leicester City,23,1996,23.3,32.0,16,5.0,16.0,11.0,14.0,41.0,34.1,27.0,14.0,1.0,13.0,9,41.0,5.0,0.0,PremierLeague,2020-2021
Gabriel Magalhães,br BRA,DF,Arsenal,22,1997,22.2,25.0,15,19.0,5.0,1.0,13.0,19.0,68.4,6.0,27.0,19.0,8.0,26,51.0,74.0,2.0,PremierLeague,2020-2021
Ainsley Maitland-Niles,eng ENG,"MF,DF",Arsenal,22,1997,5.4,11.0,7,6.0,5.0,0.0,8.0,12.0,66.7,4.0,12.0,2.0,10.0,14,25.0,7.0,1.0,PremierLeague,2020-2021
Ainsley Maitland-Niles,eng ENG,MF,West Brom,22,1997,13.7,22.0,10,7.0,8.0,7.0,9.0,28.0,32.1,19.0,12.0,1.0,11.0,17,39.0,24.0,0.0,PremierLeague,2020-2021
Josh Maja,ng NGA,FW,Fulham,21,1998,9.0,7.0,4,0.0,3.0,4.0,4.0,10.0,40.0,6.0,3.0,1.0,2.0,4,11.0,1.0,0.0,PremierLeague,2020-2021
Gabriel Martinelli,br BRA,FW,Arsenal,19,2001,6.5,7.0,1,2.0,3.0,2.0,4.0,10.0,40.0,6.0,6.0,0.0,6.0,8,15.0,4.0,0.0,PremierLeague,2020-2021
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23,1997,2.5,1.0,1,0.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0,1.0,2.0,0.0,PremierLeague,2020-2021
Neal Maupay,fr FRA,"FW,MF",Brighton,23,1996,27.9,20.0,8,9.0,7.0,4.0,4.0,24.0,16.7,20.0,20.0,0.0,20.0,13,33.0,6.0,0.0,PremierLeague,2020-2021
Dwight McNeil,eng ENG,MF,Burnley,20,1999,34.1,47.0,24,24.0,18.0,5.0,18.0,56.0,32.1,38.0,44.0,6.0,38.0,32,79.0,32.0,1.0,PremierLeague,2020-2021
Scott McTominay,sct SCO,MF,Manchester Utd,23,1996,23.7,51.0,24,23.0,25.0,3.0,23.0,36.0,63.9,13.0,35.0,10.0,25.0,29,80.0,46.0,0.0,PremierLeague,2020-2021
Hannibal Mejbri,tn TUN,MF,Manchester Utd,17,2003,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Illan Meslier,fr FRA,GK,Leeds United,20,2000,35.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,17.0,8.0,PremierLeague,2020-2021
Tyrick Mitchell,eng ENG,DF,Crystal Palace,20,1999,19.0,64.0,35,48.0,9.0,7.0,23.0,40.0,57.5,17.0,29.0,10.0,19.0,21,85.0,62.0,1.0,PremierLeague,2020-2021
Jakub Moder,pl POL,"DF,MF",Brighton,21,1999,7.2,15.0,7,5.0,7.0,3.0,7.0,20.0,35.0,13.0,12.0,1.0,11.0,3,18.0,9.0,0.0,PremierLeague,2020-2021
Jayson Molumby,ie IRL,MF,Brighton,20,1999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Wesley Moraes,br BRA,FW,Aston Villa,23,1996,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Mason Mount,eng ENG,MF,Chelsea,21,1999,32.1,75.0,35,22.0,38.0,15.0,25.0,69.0,36.2,44.0,40.0,2.0,38.0,31,106.0,14.0,0.0,PremierLeague,2020-2021
Joel Mumbongo,se SWE,FW,Burnley,21,1999,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Iliman Ndiaye,sn SEN,MF,Sheffield Utd,20,2000,0.1,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,PremierLeague,2020-2021
Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,23,1996,24.2,96.0,63,45.0,44.0,7.0,26.0,66.0,39.4,40.0,38.0,11.0,27.0,61,157.0,55.0,0.0,PremierLeague,2020-2021
Tanguy Ndombele,fr FRA,MF,Tottenham,23,1996,23.2,41.0,20,11.0,21.0,9.0,18.0,44.0,40.9,26.0,28.0,4.0,24.0,19,60.0,15.0,0.0,PremierLeague,2020-2021
Reiss Nelson,eng ENG,"FW,MF",Arsenal,20,1999,0.8,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,2.0,1.0,0.0,PremierLeague,2020-2021
Pedro Neto,pt POR,"FW,MF",Wolves,20,2000,28.3,16.0,9,4.0,6.0,6.0,6.0,28.0,21.4,22.0,18.0,2.0,16.0,31,47.0,8.0,0.0,PremierLeague,2020-2021
Rúben Neves,pt POR,MF,Wolves,23,1997,29.7,86.0,46,42.0,38.0,6.0,36.0,88.0,40.9,52.0,55.0,11.0,44.0,65,151.0,46.0,2.0,PremierLeague,2020-2021
Eddie Nketiah,eng ENG,FW,Arsenal,21,1999,4.7,3.0,1,0.0,2.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,6.0,0,3.0,5.0,0.0,PremierLeague,2020-2021
Niels Nkounkou,fr FRA,"DF,FW",Everton,19,2000,0.9,4.0,3,1.0,2.0,1.0,3.0,8.0,37.5,5.0,4.0,0.0,4.0,0,4.0,4.0,0.0,PremierLeague,2020-2021
Dan Nlundulu,eng ENG,"FW,MF",Southampton,21,1999,1.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,2.0,0.0,PremierLeague,2020-2021
Dara O'Shea,ie IRL,DF,West Brom,21,1999,23.4,45.0,25,30.0,13.0,2.0,21.0,45.0,46.7,24.0,32.0,17.0,15.0,45,90.0,108.0,0.0,PremierLeague,2020-2021
Michael Obafemi,ie IRL,FW,Southampton,20,2000,0.7,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,PremierLeague,2020-2021
Josh Onomah,eng ENG,MF,Fulham,23,1997,4.2,11.0,8,1.0,6.0,4.0,0.0,5.0,0.0,5.0,4.0,2.0,2.0,2,13.0,1.0,0.0,PremierLeague,2020-2021
Owen Otasowie,us USA,"MF,FW",Wolves,19,2001,2.1,5.0,5,3.0,2.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,3,8.0,4.0,0.0,PremierLeague,2020-2021
Bailey Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Nathaniel Phillips,eng ENG,DF,Liverpool,23,1997,16.2,22.0,14,15.0,7.0,0.0,11.0,24.0,45.8,13.0,17.0,14.0,3.0,20,42.0,81.0,0.0,PremierLeague,2020-2021
Jaden Philogene Bidace,eng ENG,FW,Aston Villa,18,2002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Ian Poveda,eng ENG,MF,Leeds United,20,2000,3.9,5.0,4,3.0,0.0,2.0,1.0,7.0,14.3,6.0,5.0,1.0,4.0,1,6.0,2.0,0.0,PremierLeague,2020-2021
Christian Pulisic,us USA,"FW,MF",Chelsea,21,1998,19.3,19.0,11,8.0,10.0,1.0,8.0,21.0,38.1,13.0,25.0,2.0,23.0,12,31.0,9.0,0.0,PremierLeague,2020-2021
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2,3.0,22.0,6.0,PremierLeague,2020-2021
Jacob Ramsey,eng ENG,MF,Aston Villa,19,2001,7.0,10.0,5,3.0,4.0,3.0,2.0,12.0,16.7,10.0,13.0,6.0,7.0,4,14.0,5.0,0.0,PremierLeague,2020-2021
Kayne Ramsey,eng ENG,DF,Southampton,19,2000,1.0,5.0,2,4.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0,5.0,3.0,0.0,PremierLeague,2020-2021
Raphinha,br BRA,"MF,FW",Leeds United,23,1996,26.2,34.0,17,13.0,16.0,5.0,12.0,58.0,20.7,46.0,31.0,1.0,30.0,29,63.0,27.0,0.0,PremierLeague,2020-2021
Marcus Rashford,eng ENG,FW,Manchester Utd,22,1997,32.4,18.0,9,2.0,8.0,8.0,7.0,27.0,25.9,20.0,22.0,2.0,20.0,8,26.0,10.0,0.0,PremierLeague,2020-2021
Sergio Reguilón,es ESP,DF,Tottenham,23,1996,24.9,47.0,25,30.0,13.0,4.0,23.0,48.0,47.9,25.0,39.0,7.0,32.0,32,79.0,50.0,1.0,PremierLeague,2020-2021
Declan Rice,eng ENG,MF,West Ham,21,1999,32.0,59.0,35,33.0,25.0,1.0,21.0,51.0,41.2,30.0,39.0,11.0,28.0,59,118.0,41.0,0.0,PremierLeague,2020-2021
Lewis Richardson,eng ENG,"FW,MF",Burnley,17,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Richarlison,br BRA,FW,Everton,23,1997,31.8,50.0,32,21.0,22.0,7.0,16.0,51.0,31.4,35.0,28.0,3.0,25.0,14,64.0,36.0,1.0,PremierLeague,2020-2021
Jaïro Riedewald,nl NED,MF,Crystal Palace,23,1996,20.2,34.0,15,13.0,17.0,4.0,16.0,36.0,44.4,20.0,39.0,7.0,32.0,29,63.0,25.0,0.0,PremierLeague,2020-2021
Tyler Roberts,wls WAL,"MF,FW",Leeds United,21,1999,14.9,15.0,13,1.0,11.0,3.0,5.0,22.0,22.7,17.0,17.0,2.0,15.0,9,24.0,12.0,0.0,PremierLeague,2020-2021
Antonee Robinson,us USA,DF,Fulham,22,1997,24.0,45.0,28,24.0,16.0,5.0,27.0,44.0,61.4,17.0,21.0,4.0,17.0,37,82.0,68.0,0.0,PremierLeague,2020-2021
Marek Rodák,sk SVK,GK,Fulham,23,1996,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Joe Rodon,wls WAL,DF,Tottenham,22,1997,8.1,14.0,9,11.0,2.0,1.0,3.0,4.0,75.0,1.0,10.0,8.0,2.0,21,35.0,36.0,2.0,PremierLeague,2020-2021
Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23,1997,17.3,16.0,9,6.0,9.0,1.0,4.0,9.0,44.4,5.0,10.0,0.0,10.0,4,20.0,2.0,0.0,PremierLeague,2020-2021
Bukayo Saka,eng ENG,"FW,MF",Arsenal,18,2001,28.4,25.0,16,10.0,13.0,2.0,11.0,40.0,27.5,29.0,21.0,2.0,19.0,25,50.0,24.0,0.0,PremierLeague,2020-2021
Mohammed Salisu,gh GHA,DF,Southampton,21,1999,9.4,38.0,21,20.0,16.0,2.0,25.0,34.0,73.5,9.0,22.0,5.0,17.0,17,55.0,30.0,0.0,PremierLeague,2020-2021
Robert Sánchez,es ESP,GK,Brighton,22,1997,27.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1,2.0,11.0,2.0,PremierLeague,2020-2021
Dane Scarlett,eng ENG,FW,Tottenham,16,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Femi Seriki,eng ENG,MF,Sheffield Utd,18,2002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Jamie Shackleton,eng ENG,"MF,DF",Leeds United,20,1999,5.1,10.0,6,6.0,4.0,0.0,4.0,11.0,36.4,7.0,3.0,1.0,2.0,9,19.0,3.0,0.0,PremierLeague,2020-2021
Shola Shoretire,eng ENG,FW,Manchester Utd,16,2004,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Fábio Silva,pt POR,FW,Wolves,18,2002,15.2,6.0,4,1.0,4.0,1.0,4.0,12.0,33.3,8.0,12.0,1.0,11.0,4,10.0,5.0,1.0,PremierLeague,2020-2021
William Smallbone,ie IRL,MF,Southampton,20,2000,1.9,6.0,3,2.0,4.0,0.0,1.0,3.0,33.3,2.0,5.0,0.0,5.0,2,8.0,1.0,0.0,PremierLeague,2020-2021
Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,20,2000,16.0,14.0,7,5.0,5.0,4.0,6.0,17.0,35.3,11.0,15.0,1.0,14.0,10,24.0,12.0,0.0,PremierLeague,2020-2021
Pascal Struijk,nl NED,"DF,MF",Leeds United,20,1999,23.1,49.0,30,28.0,19.0,2.0,17.0,28.0,60.7,11.0,35.0,21.0,14.0,47,96.0,92.0,0.0,PremierLeague,2020-2021
Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,5.4,5.0,4,3.0,2.0,0.0,1.0,3.0,33.3,2.0,6.0,5.0,1.0,3,8.0,15.0,0.0,PremierLeague,2020-2021
Sidnei Tavares,pt POR,MF,Leicester City,18,2001,0.9,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0,PremierLeague,2020-2021
Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Nathan Tella,ng NGA,"FW,MF",Southampton,21,1999,8.3,8.0,5,1.0,4.0,3.0,6.0,15.0,40.0,9.0,13.0,0.0,13.0,3,11.0,2.0,0.0,PremierLeague,2020-2021
Luke Thomas,eng ENG,DF,Leicester City,19,2001,10.8,23.0,14,11.0,5.0,7.0,14.0,21.0,66.7,7.0,15.0,2.0,13.0,17,40.0,21.0,0.0,PremierLeague,2020-2021
Youri Tielemans,be BEL,MF,Leicester City,23,1997,37.3,86.0,45,32.0,38.0,16.0,45.0,108.0,41.7,63.0,35.0,8.0,27.0,46,132.0,20.0,1.0,PremierLeague,2020-2021
Kieran Tierney,sct SCO,DF,Arsenal,23,1997,25.5,27.0,15,5.0,14.0,8.0,11.0,31.0,35.5,20.0,31.0,10.0,21.0,16,43.0,63.0,0.0,PremierLeague,2020-2021
Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,0.5,2.0,1,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,2,4.0,8.0,0.0,PremierLeague,2020-2021
Ferrán Torres,es ESP,"FW,MF",Manchester City,20,2000,14.5,12.0,5,4.0,6.0,2.0,5.0,16.0,31.3,11.0,16.0,0.0,16.0,3,15.0,8.0,0.0,PremierLeague,2020-2021
Axel Tuanzebe,cd COD,DF,Manchester Utd,22,1997,4.5,13.0,7,5.0,7.0,1.0,8.0,9.0,88.9,1.0,7.0,5.0,2.0,3,16.0,18.0,0.0,PremierLeague,2020-2021
Cengiz Ünder,tr TUR,"FW,MF",Leicester City,23,1997,3.1,4.0,1,0.0,3.0,1.0,3.0,5.0,60.0,2.0,3.0,0.0,3.0,2,6.0,0.0,0.0,PremierLeague,2020-2021
Yan Valery,tn TUN,"DF,MF",Southampton,21,1999,1.1,5.0,3,2.0,3.0,0.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,2,7.0,5.0,0.0,PremierLeague,2020-2021
Rúben Vinagre,pt POR,"MF,DF",Wolves,21,1999,1.9,7.0,5,5.0,2.0,0.0,3.0,4.0,75.0,1.0,3.0,0.0,3.0,2,9.0,4.0,0.0,PremierLeague,2020-2021
João Virgínia,pt POR,GK,Everton,20,1999,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Vitinha,pt POR,MF,Wolves,20,2000,5.8,7.0,3,2.0,5.0,0.0,3.0,8.0,37.5,5.0,3.0,0.0,3.0,3,10.0,1.0,0.0,PremierLeague,2020-2021
Jake Vokins,eng ENG,DF,Southampton,20,2000,0.7,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PremierLeague,2020-2021
Kyle Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,83.0,53,56.0,25.0,2.0,34.0,57.0,59.6,23.0,41.0,10.0,31.0,38,121.0,66.0,2.0,PremierLeague,2020-2021
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34.0,88.0,54,53.0,29.0,6.0,32.0,45.0,71.1,13.0,65.0,17.0,48.0,62,150.0,84.0,2.0,PremierLeague,2020-2021
Caleb Watts,au AUS,MF,Southampton,18,2002,0.4,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,PremierLeague,2020-2021
Ben White,eng ENG,"DF,MF",Brighton,22,1997,35.5,49.0,26,21.0,24.0,4.0,24.0,57.0,42.1,33.0,46.0,22.0,24.0,62,111.0,56.0,0.0,PremierLeague,2020-2021
Brandon Williams,eng ENG,DF,Manchester Utd,19,2000,2.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,7.0,0.0,PremierLeague,2020-2021
Neco Williams,wls WAL,DF,Liverpool,19,2001,2.8,6.0,5,4.0,2.0,0.0,5.0,9.0,55.6,4.0,3.0,1.0,2.0,6,12.0,6.0,0.0,PremierLeague,2020-2021
Rhys Williams,eng ENG,DF,Liverpool,19,2001,7.3,6.0,4,3.0,3.0,0.0,3.0,3.0,100.0,0.0,4.0,3.0,1.0,6,12.0,27.0,1.0,PremierLeague,2020-2021
Joe Willock,eng ENG,MF,Arsenal,20,1999,2.6,6.0,3,1.0,4.0,1.0,3.0,7.0,42.9,4.0,6.0,1.0,5.0,3,9.0,0.0,0.0,PremierLeague,2020-2021
Joe Willock,eng ENG,MF,Newcastle Utd,20,1999,10.9,26.0,13,16.0,7.0,3.0,9.0,42.0,21.4,33.0,21.0,3.0,18.0,17,43.0,15.0,1.0,PremierLeague,2020-2021
Andi Zeqiri,ch SUI,"FW,DF",Brighton,21,1999,1.9,3.0,2,0.0,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0,3.0,2.0,0.0,PremierLeague,2020-2021
Oleksandr Zinchenko,ua UKR,DF,Manchester City,23,1996,16.4,25.0,15,12.0,9.0,4.0,14.0,24.0,58.3,10.0,17.0,4.0,13.0,23,48.0,28.0,0.0,PremierLeague,2020-2021
Martin Ødegaard,no NOR,MF,Arsenal,21,1998,9.6,9.0,3,2.0,6.0,1.0,4.0,14.0,28.6,10.0,2.0,0.0,2.0,2,11.0,5.0,0.0,PremierLeague,2020-2021
Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021
Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,18.0,10,11.0,7.0,0.0,6.0,19.0,31.6,13.0,10.0,5.0,5.0,15,33.0,10.0,0.0,SerieA,2020-2021
Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,39.0,28,9.0,15.0,15.0,12.0,34.0,35.3,22.0,30.0,0.0,30.0,10,49.0,2.0,0.0,SerieA,2020-2021
Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021
Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,39.0,22,11.0,24.0,4.0,18.0,48.0,37.5,30.0,30.0,5.0,25.0,23,62.0,12.0,0.0,SerieA,2020-2021
Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,SerieA,2020-2021
Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,SerieA,2020-2021
Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,4.0,2,3.0,1.0,0.0,3.0,10.0,30.0,7.0,6.0,5.0,1.0,4,8.0,13.0,0.0,SerieA,2020-2021
Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021
Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,3,3.0,3.0,0.0,SerieA,2020-2021
Emil Audero,it ITA,GK,Sampdoria,23,1997,37.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,2.0,16.0,0.0,SerieA,2020-2021
Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,9.0,7,9.0,0.0,0.0,2.0,5.0,40.0,3.0,4.0,3.0,1.0,2,11.0,8.0,0.0,SerieA,2020-2021
Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,58.0,31,23.0,29.0,6.0,23.0,72.0,31.9,49.0,29.0,4.0,25.0,26,84.0,14.0,0.0,SerieA,2020-2021
Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,32.5,26.0,10,8.0,10.0,8.0,10.0,25.0,40.0,15.0,37.0,2.0,35.0,11,37.0,15.0,0.0,SerieA,2020-2021
Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,36.0,22,13.0,21.0,2.0,17.0,27.0,63.0,10.0,34.0,16.0,18.0,40,76.0,75.0,0.0,SerieA,2020-2021
Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,50.0,29,26.0,22.0,2.0,27.0,52.0,51.9,25.0,19.0,1.0,18.0,16,66.0,31.0,0.0,SerieA,2020-2021
Ismaël Bennacer,dz ALG,MF,Milan,22,1997,14.7,39.0,18,17.0,21.0,1.0,15.0,32.0,46.9,17.0,10.0,1.0,9.0,20,59.0,12.0,0.0,SerieA,2020-2021
Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,63.0,33,21.0,37.0,5.0,20.0,59.0,33.9,39.0,35.0,12.0,23.0,47,110.0,46.0,1.0,SerieA,2020-2021
Marco Bertini,it ITA,MF,Lazio,17,2002,0.1,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2020-2021
