Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Yannik Keitel,de GER,MF,Freiburg,22,2000,7.6,11.0,7,4.0,6.0,1.0,3.0,5.0,60.0,2.0,6.0,3.0,3.0,13,24.0,8.0,0.0,Bundesliga,2022-2023
Luca Kilian,de GER,DF,Köln,22,1999,12.5,22.0,16,14.0,7.0,1.0,12.0,21.0,57.1,9.0,16.0,8.0,8.0,11,33.0,48.0,0.0,Bundesliga,2022-2023
Pascal Klemens,de GER,DF,Hertha BSC,17,2005,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,3.0,0.0,Bundesliga,2022-2023
Ansgar Knauff,de GER,DF,Eint Frankfurt,20,2002,14.3,36.0,25,22.0,11.0,3.0,15.0,34.0,44.1,19.0,19.0,1.0,18.0,15,51.0,26.0,0.0,Bundesliga,2022-2023
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,23,1998,29.2,14.0,10,3.0,3.0,8.0,1.0,9.0,11.1,8.0,19.0,2.0,17.0,3,17.0,13.0,0.0,Bundesliga,2022-2023
Manu Koné,fr FRA,MF,Gladbach,21,2001,29.0,74.0,39,37.0,33.0,4.0,24.0,47.0,51.1,23.0,44.0,12.0,32.0,32,106.0,21.0,0.0,Bundesliga,2022-2023
Odilon Kossounou,ci CIV,DF,Leverkusen,21,2001,16.9,21.0,14,12.0,7.0,2.0,8.0,16.0,50.0,8.0,26.0,11.0,15.0,24,45.0,58.0,1.0,Bundesliga,2022-2023
Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,21,2000,4.2,6.0,4,3.0,3.0,0.0,4.0,6.0,66.7,2.0,5.0,0.0,5.0,3,9.0,3.0,0.0,Bundesliga,2022-2023
Tom Krauß,de GER,MF,Schalke 04,21,2001,27.9,112.0,68,39.0,62.0,11.0,51.0,100.0,51.0,49.0,39.0,6.0,33.0,36,148.0,35.0,0.0,Bundesliga,2022-2023
Alou Kuol,au AUS,FW,Stuttgart,21,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Maxence Lacroix,fr FRA,DF,Wolfsburg,22,2000,18.1,22.0,13,15.0,7.0,0.0,8.0,16.0,50.0,8.0,22.0,11.0,11.0,26,48.0,85.0,0.0,Bundesliga,2022-2023
Diogo Leite,pt POR,DF,Union Berlin,23,1999,25.0,35.0,20,21.0,14.0,0.0,21.0,34.0,61.8,13.0,23.0,14.0,9.0,26,61.0,99.0,1.0,Bundesliga,2022-2023
Tim Lemperle,de GER,"FW,MF",Köln,20,2002,1.5,6.0,4,3.0,1.0,2.0,3.0,5.0,60.0,2.0,5.0,0.0,5.0,1,7.0,4.0,0.0,Bundesliga,2022-2023
Jamie Leweling,de GER,"FW,MF",Union Berlin,21,2001,2.9,5.0,3,2.0,2.0,1.0,3.0,5.0,60.0,2.0,3.0,0.0,3.0,1,6.0,0.0,0.0,Bundesliga,2022-2023
Matthijs de Ligt,nl NED,DF,Bayern Munich,22,1999,26.7,32.0,23,15.0,16.0,1.0,15.0,24.0,62.5,9.0,31.0,20.0,11.0,23,55.0,85.0,0.0,Bundesliga,2022-2023
Jesper Lindstrøm,dk DEN,"MF,FW",Eint Frankfurt,22,2000,18.7,26.0,11,15.0,7.0,4.0,7.0,22.0,31.8,15.0,25.0,3.0,22.0,9,35.0,9.0,0.0,Bundesliga,2022-2023
Arne Maier,de GER,MF,Augsburg,23,1999,21.8,31.0,22,17.0,11.0,3.0,10.0,18.0,55.6,8.0,21.0,0.0,21.0,15,46.0,22.0,0.0,Bundesliga,2022-2023
Linton Maina,de GER,"FW,MF",Köln,23,1999,24.9,18.0,12,5.0,11.0,2.0,7.0,30.0,23.3,23.0,19.0,0.0,19.0,5,23.0,9.0,0.0,Bundesliga,2022-2023
Donyell Malen,nl NED,FW,Dortmund,23,1999,19.0,13.0,5,3.0,4.0,6.0,5.0,12.0,41.7,7.0,14.0,1.0,13.0,4,17.0,11.0,0.0,Bundesliga,2022-2023
Myziane Maolida,km COM,"FW,MF",Hertha BSC,23,1999,1.1,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Bundesliga,2022-2023
Omar Marmoush,eg EGY,FW,Wolfsburg,23,1999,16.4,16.0,10,8.0,2.0,6.0,4.0,16.0,25.0,12.0,21.0,1.0,20.0,7,23.0,4.0,0.0,Bundesliga,2022-2023
Eric Martel,de GER,MF,Köln,20,2002,22.4,66.0,41,29.0,30.0,7.0,30.0,60.0,50.0,30.0,29.0,9.0,20.0,33,99.0,49.0,0.0,Bundesliga,2022-2023
Erhan Mašović,rs SRB,"DF,MF",Bochum,23,1998,24.2,50.0,31,28.0,21.0,1.0,30.0,51.0,58.8,21.0,30.0,14.0,16.0,27,77.0,79.0,0.0,Bundesliga,2022-2023
Henning Matriciani,de GER,DF,Schalke 04,22,2000,20.7,43.0,23,28.0,12.0,3.0,26.0,60.0,43.3,34.0,28.0,11.0,17.0,23,66.0,57.0,1.0,Bundesliga,2022-2023
Keke Maximilian Topp,de GER,FW,Schalke 04,18,2004,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Bundesliga,2022-2023
Ibrahim Maza,dz ALG,"MF,FW",Hertha BSC,16,2005,0.8,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,1.0,0.0,Bundesliga,2022-2023
Noah Mbamba,be BEL,MF,Leverkusen,17,2005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Jean-Manuel Mbom,de GER,MF,Werder Bremen,22,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Nathanael Mbuku,cd COD,"MF,FW",Augsburg,20,2002,0.4,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Bundesliga,2022-2023
Enzo Millot,fr FRA,MF,Stuttgart,20,2002,9.9,23.0,16,9.0,10.0,4.0,12.0,19.0,63.2,7.0,20.0,3.0,17.0,12,35.0,7.0,0.0,Bundesliga,2022-2023
Clinton Mola,eng ENG,DF,Stuttgart,21,2001,0.2,3.0,1,2.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,1,4.0,2.0,0.0,Bundesliga,2022-2023
Youssoufa Moukoko,de GER,FW,Dortmund,17,2004,12.7,13.0,7,3.0,6.0,4.0,3.0,6.0,50.0,3.0,9.0,0.0,9.0,2,15.0,1.0,0.0,Bundesliga,2022-2023
Jamal Musiala,de GER,"MF,FW",Bayern Munich,19,2003,24.4,34.0,23,9.0,16.0,9.0,13.0,35.0,37.1,22.0,30.0,3.0,27.0,19,53.0,3.0,0.0,Bundesliga,2022-2023
Marlon Mustapha,at AUT,"FW,MF",Mainz 05,21,2001,0.8,2.0,2,0.0,2.0,0.0,0.0,0.0,,0.0,4.0,0.0,4.0,0,2.0,0.0,0.0,Bundesliga,2022-2023
Obite N'Dicka,ci CIV,DF,Eint Frankfurt,22,1999,29.9,25.0,18,10.0,11.0,4.0,18.0,32.0,56.3,14.0,47.0,19.0,28.0,31,56.0,150.0,0.0,Bundesliga,2022-2023
Nathan N'Goumou,fr FRA,FW,Gladbach,22,2000,7.7,11.0,5,5.0,5.0,1.0,7.0,13.0,53.8,6.0,9.0,0.0,9.0,1,12.0,4.0,0.0,Bundesliga,2022-2023
Stanley N'Soki,fr FRA,DF,Hoffenheim,23,1999,14.3,22.0,13,14.0,7.0,1.0,12.0,22.0,54.5,10.0,22.0,5.0,17.0,24,46.0,34.0,0.0,Bundesliga,2022-2023
Nikolas Nartey,dk DEN,"DF,MF",Stuttgart,22,2000,5.3,11.0,6,7.0,3.0,1.0,5.0,9.0,55.6,4.0,9.0,0.0,9.0,4,15.0,12.0,0.0,Bundesliga,2022-2023
Luca Netz,de GER,DF,Gladbach,19,2003,7.8,25.0,13,19.0,3.0,3.0,19.0,32.0,59.4,13.0,5.0,1.0,4.0,6,31.0,27.0,0.0,Bundesliga,2022-2023
Jessic Ngankam,de GER,"FW,MF",Hertha BSC,22,2000,9.2,14.0,9,7.0,4.0,3.0,6.0,14.0,42.9,8.0,6.0,1.0,5.0,1,15.0,4.0,0.0,Bundesliga,2022-2023
Justin Njinmah,de GER,FW,Dortmund,21,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Felix Nmecha,de GER,MF,Wolfsburg,21,2000,20.4,41.0,24,11.0,23.0,7.0,16.0,34.0,47.1,18.0,26.0,10.0,16.0,25,66.0,31.0,0.0,Bundesliga,2022-2023
Lukas Nmecha,de GER,FW,Wolfsburg,23,1998,10.0,5.0,3,0.0,2.0,3.0,3.0,3.0,100.0,0.0,5.0,1.0,4.0,3,8.0,4.0,0.0,Bundesliga,2022-2023
Hugo Novoa,es ESP,"DF,FW",RB Leipzig,19,2003,2.0,8.0,2,1.0,3.0,4.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,1,9.0,0.0,0.0,Bundesliga,2022-2023
Tim Oermann,de GER,DF,Bochum,18,2003,2.2,2.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,2.0,1.0,1,3.0,8.0,1.0,Bundesliga,2022-2023
Finn Ole Becker,de GER,MF,Hoffenheim,22,2000,5.7,10.0,2,4.0,6.0,0.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,5,15.0,8.0,0.0,Bundesliga,2022-2023
