Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season,Tackles %,keeper_GA,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl%,defense_Tkl,defense_Int,Team_Def_Score,Team_Def_Score_Norm,Tackles_Contribution,Tackles Won_Contribution,Interceptions_Contribution,Blocks_Contribution,Clearances_Contribution,Tackles (Def 3rd)_Contribution,Tackles (Mid 3rd)_Contribution,Tackles %_Contribution,Total_Player_Contribution,Role_Adjustment,Final_Contribution_Index
László Bénes,sk SVK,MF,Augsburg,22,1997,7.3,8.0,6,4.0,4.0,0.0,2.0,8.0,25.0,6.0,6.0,2.0,4.0,7,15.0,1.0,1.0,Bundesliga,2020-2021,133.33333333333331,54,963,395,308,251,211,47,852,40.0,509,454,0.018518518518518517,0.22045855379188706,0.015717092337917484,0.01948051948051948,0.015418502202643172,0.015189873417721518,0.0011737089201877935,0.01593625498007968,0.018957345971563982,3.333333333333333,3.4352066306439664,0.6,0.45439241146084197
László Bénes,sk SVK,MF,Gladbach,22,1997,1.7,6.0,2,5.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,2,8.0,1.0,0.0,Bundesliga,2020-2021,300.0,56,939,424,307,221,221,61,616,40.5,503,436,0.017857142857142856,0.20408163265306117,0.011928429423459244,0.006514657980456026,0.0045871559633027525,0.0,0.0016233766233766235,0.02262443438914027,0.004524886877828055,7.407407407407407,7.45921034866497,0.6,0.913372695754894
Jordan Beyer,de GER,DF,Gladbach,20,2000,2.1,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,4.0,1.0,5,7.0,5.0,0.0,Bundesliga,2020-2021,200.0,56,939,424,307,221,221,61,616,40.5,503,436,0.017857142857142856,0.20408163265306117,0.003976143141153081,0.003257328990228013,0.011467889908256881,0.01179245283018868,0.008116883116883116,0.00904977375565611,0.0,4.938271604938271,4.985932076680637,1.0,1.0175371585062523
Bartosz Białek,pl POL,"FW,MF",Wolfsburg,18,2001,3.0,6.0,5,1.0,4.0,1.0,4.0,4.0,100.0,0.0,5.0,1.0,4.0,3,9.0,4.0,0.0,Bundesliga,2020-2021,120.0,37,1071,465,363,271,256,67,700,45.2,594,477,0.02702702702702703,0.4311454311454311,0.010101010101010102,0.013774104683195593,0.006289308176100629,0.010752688172043012,0.005714285714285714,0.0036900369003690036,0.015625,2.654867256637168,2.7208136903841718,0.44999999999999996,0.5278798762231838
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,3.1,7.0,3,3.0,3.0,1.0,5.0,9.0,55.6,4.0,0.0,0.0,0.0,5,12.0,1.0,0.0,Bundesliga,2020-2021,233.33333333333334,54,939,370,296,229,204,75,619,42.5,508,431,0.018518518518518517,0.22045855379188706,0.013779527559055118,0.010135135135135136,0.01160092807424594,0.0,0.0016155088852988692,0.013100436681222707,0.014705882352941176,5.490196078431373,5.555133497119272,0.8,0.979741357516626
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2,3.0,1.0,0.0,Bundesliga,2020-2021,inf,53,1022,371,352,273,245,76,594,44.1,594,428,0.018867924528301886,0.22911051212938,0.0016835016835016834,0.0,0.004672897196261682,0.0,0.0016835016835016834,0.003663003663003663,0.0,0.0,0.011702904226268712,0.5,0.0013406291903407552
Dennis Borkowski,de GER,"MF,FW",RB Leipzig,18,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Bundesliga,2020-2021,,32,813,336,305,167,229,64,504,41.3,460,353,0.03125,0.5357142857142856,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.002976190476190476,0.44999999999999996,0.0007174744897959181
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,23.1,29.0,20,25.0,4.0,0.0,14.0,25.0,56.0,11.0,33.0,26.0,7.0,40,69.0,104.0,0.0,Bundesliga,2020-2021,145.0,60,1015,382,328,299,234,53,670,45.4,586,429,0.016666666666666666,0.17460317460317454,0.04948805460750853,0.06097560975609756,0.09324009324009325,0.08638743455497382,0.15522388059701492,0.08361204013377926,0.017094017094017096,3.193832599118943,3.7398537291024274,1.0,0.6529903336528046
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,6.7,13.0,9,2.0,10.0,1.0,2.0,12.0,16.7,10.0,10.0,3.0,7.0,7,20.0,9.0,0.0,Bundesliga,2020-2021,144.44444444444443,86,963,437,337,283,224,45,693,37.2,552,411,0.011627906976744186,0.04983388704318936,0.02355072463768116,0.026706231454005934,0.0170316301703163,0.02288329519450801,0.012987012987012988,0.007067137809187279,0.044642857142857144,3.882915173237753,4.037784062633322,0.44999999999999996,0.09054831369692663
Can Bozdogan,de GER,"MF,FW",Schalke 04,19,2001,7.2,13.0,5,6.0,6.0,1.0,4.0,15.0,26.7,11.0,10.0,2.0,8.0,7,20.0,5.0,0.0,Bundesliga,2020-2021,260.0,86,963,437,337,283,224,45,693,37.2,552,411,0.011627906976744186,0.04983388704318936,0.02355072463768116,0.01483679525222552,0.0170316301703163,0.02288329519450801,0.007215007215007215,0.02120141342756184,0.026785714285714284,6.989247311827956,7.12275189201097,0.44999999999999996,0.1597294859504121
