Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Pierre Dwomoh,be BEL,MF,Oostende,18,2004,3.4,,4,,,,,,,,,,,6,,,,BelgianProLeague
Nikolas Dyhr,dk DEN,"DF,MF",Kortrijk,21,2001,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Jurgen Ekkelenkamp,nl NED,MF,Antwerp,22,2000,20.8,,20,,,,,,,,,,,12,,,,BelgianProLeague
Simon Elisor,fr FRA,FW,R.F.C. Seraing,23,1999,6.6,,1,,,,,,,,,,,3,,,,BelgianProLeague
Sebastiano Esposito,it ITA,FW,Anderlecht,20,2002,5.7,,4,,,,,,,,,,,2,,,,BelgianProLeague
Alieu Fadera,gm GAM,"MF,FW",Zulte Waregem,20,2001,30.2,,78,,,,,,,,,,,22,,,,BelgianProLeague
Matias Fernandez-Pardo,be BEL,FW,Gent,17,2005,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Malick Fofana,be BEL,"MF,FW",Gent,17,2005,8.5,,10,,,,,,,,,,,4,,,,BelgianProLeague
Marlon Fossey,us USA,"MF,DF",Standard Liège,23,1998,18.7,,20,,,,,,,,,,,34,,,,BelgianProLeague
Lyle Foster,za RSA,FW,Westerlo,21,2000,17.2,,5,,,,,,,,,,,2,,,,BelgianProLeague
Matías Galarza,ar ARG,MF,Genk,20,2002,0.9,,2,,,,,,,,,,,0,,,,BelgianProLeague
Timothy Galje,be BEL,GK,R.F.C. Seraing,21,2001,7.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Djeidi Gassama,fr FRA,FW,Eupen,18,2003,8.0,,14,,,,,,,,,,,3,,,,BelgianProLeague
Yann Gboho,fr FRA,"FW,MF",Cercle Brugge,21,2001,7.7,,6,,,,,,,,,,,4,,,,BelgianProLeague
Jay-Dee Geusens,be BEL,MF,Genk,20,2002,0.0,,0,,,,,,,,,,,1,,,,BelgianProLeague
Jo Gilis,be BEL,MF,OH Leuven,22,2000,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Sergio Gómez,es ESP,"DF,MF",Anderlecht,21,2000,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Jan Gorenc,si SVN,DF,Eupen,23,1999,2.0,,2,,,,,,,,,,,7,,,,BelgianProLeague
Fernand Gouré,ci CIV,FW,Westerlo,20,2002,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Milan Govaers,be BEL,DF,Oostende,18,2004,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Valentin Guillaume,be BEL,"MF,FW",R.F.C. Seraing,21,2001,5.3,,2,,,,,,,,,,,7,,,,BelgianProLeague
Muhammed Gümüskaya,tr TUR,MF,Westerlo,21,2001,2.1,,4,,,,,,,,,,,1,,,,BelgianProLeague
Pape Habib Guèye,sn SEN,FW,Kortrijk,22,1999,13.4,,8,,,,,,,,,,,7,,,,BelgianProLeague
Anouar Ait El Hadj,be BEL,MF,Anderlecht,20,2002,1.1,,2,,,,,,,,,,,0,,,,BelgianProLeague
Anouar Ait El Hadj,be BEL,MF,Genk,20,2002,1.4,,2,,,,,,,,,,,0,,,,BelgianProLeague
Luqman Hakim,my MAS,FW,Kortrijk,20,2002,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Lennert Hallaert,be BEL,FW,Zulte Waregem,19,2003,1.8,,3,,,,,,,,,,,0,,,,BelgianProLeague
Taichi Hara,jp JPN,FW,Sint-Truiden,23,1999,5.6,,1,,,,,,,,,,,2,,,,BelgianProLeague
Arthur Harinck,be BEL,MF,Zulte Waregem,17,2004,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Daiki Hashioka,jp JPN,"MF,DF",Sint-Truiden,23,1999,30.6,,36,,,,,,,,,,,49,,,,BelgianProLeague
Ibe Hautekiet,be BEL,DF,Standard Liège,20,2002,0.1,,1,,,,,,,,,,,0,,,,BelgianProLeague
Heitor,br BRA,DF,Cercle Brugge,21,2000,1.6,,3,,,,,,,,,,,2,,,,BelgianProLeague
Jorge Hernandez,us USA,MF,Mechelen,21,2000,1.4,,2,,,,,,,,,,,2,,,,BelgianProLeague
Daan Heymans,be BEL,"MF,FW",Charleroi,23,1999,19.1,,19,,,,,,,,,,,8,,,,BelgianProLeague
Fraser Hornby,sct SCO,FW,Oostende,22,1999,17.9,,5,,,,,,,,,,,7,,,,BelgianProLeague
Amirhossein Hosseinzadeh,ir IRN,"MF,FW",Charleroi,21,2000,12.2,,19,,,,,,,,,,,11,,,,BelgianProLeague
Hong Hyunseok,kr KOR,"MF,FW",Gent,23,1999,26.5,,46,,,,,,,,,,,26,,,,BelgianProLeague
Franck Idumbo,be BEL,FW,OH Leuven,20,2002,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Ejaita Ifoni,ng NGA,FW,R.F.C. Seraing,22,2000,2.0,,0,,,,,,,,,,,1,,,,BelgianProLeague
Abdulrazaq Ishaq,ng NGA,MF,Anderlecht,20,2002,1.5,,1,,,,,,,,,,,2,,,,BelgianProLeague
Ferran Jutglà,es ESP,FW,Club Brugge,23,1999,21.7,,4,,,,,,,,,,,9,,,,BelgianProLeague
Abdelkahar Kadri,dz ALG,"MF,FW",Kortrijk,22,2000,13.6,,32,,,,,,,,,,,20,,,,BelgianProLeague
Marco Kana,be BEL,MF,Anderlecht,19,2002,3.9,,4,,,,,,,,,,,9,,,,BelgianProLeague
Fatih Kaya,,FW,Sint-Truiden,22,1999,1.9,,3,,,,,,,,,,,1,,,,BelgianProLeague
Emilio Kehrer,de GER,FW,Cercle Brugge,20,2002,1.8,,2,,,,,,,,,,,1,,,,BelgianProLeague
Habib Keita,ml MLI,MF,Kortrijk,20,2002,12.7,,28,,,,,,,,,,,26,,,,BelgianProLeague
Mandela Keita,be BEL,MF,OH Leuven,20,2002,2.6,,4,,,,,,,,,,,2,,,,BelgianProLeague
Mandela Keita,be BEL,MF,Antwerp,20,2002,9.4,,19,,,,,,,,,,,18,,,,BelgianProLeague
Sibiry Keita,ml MLI,MF,Eupen,21,2001,0.1,,0,,,,,,,,,,,1,,,,BelgianProLeague
Bilal El Khannouss,ma MAR,MF,Genk,18,2004,24.5,,27,,,,,,,,,,,7,,,,BelgianProLeague
Aboubakary Koita,mr MTN,MF,Sint-Truiden,23,1998,15.1,,21,,,,,,,,,,,29,,,,BelgianProLeague
Jan Král,cz CZE,DF,Eupen,23,1999,5.1,,3,,,,,,,,,,,6,,,,BelgianProLeague
Léandre Kuavita,be BEL,MF,Standard Liège,18,2004,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Mykola Kukharevych,ua UKR,FW,OH Leuven,21,2001,0.6,,2,,,,,,,,,,,0,,,,BelgianProLeague
Sami Lahssaini,be BEL,MF,R.F.C. Seraing,23,1998,16.7,,24,,,,,,,,,,,28,,,,BelgianProLeague
Boris lambert,be BEL,"DF,MF",Eupen,22,2000,28.7,,44,,,,,,,,,,,78,,,,BelgianProLeague
Noa Lang,nl NED,"FW,MF",Club Brugge,23,1999,20.7,,16,,,,,,,,,,,5,,,,BelgianProLeague
Theo Leoni,be BEL,MF,Anderlecht,22,2000,1.0,,3,,,,,,,,,,,4,,,,BelgianProLeague
Andrea Librici,be BEL,FW,Sint-Truiden,17,2004,0.1,,1,,,,,,,,,,,0,,,,BelgianProLeague
Lucas Lissens,be BEL,DF,Anderlecht,21,2001,0.2,,2,,,,,,,,,,,0,,,,BelgianProLeague
Senne Lynen,be BEL,MF,Union SG,23,1999,29.6,,45,,,,,,,,,,,69,,,,BelgianProLeague
Nicolas Madsen,dk DEN,MF,Westerlo,22,2000,25.7,,17,,,,,,,,,,,33,,,,BelgianProLeague
Tyreek Magee,jm JAM,MF,Eupen,22,1999,1.0,,1,,,,,,,,,,,0,,,,BelgianProLeague
Gary Magnée,be BEL,MF,Eupen,22,1999,24.4,,44,,,,,,,,,,,37,,,,BelgianProLeague
Radosław Majecki,pl POL,GK,Cercle Brugge,22,1999,27.5,,0,,,,,,,,,,,0,,,,BelgianProLeague
Yonas Malede,il ISR,"FW,MF",Mechelen,22,1999,12.8,,8,,,,,,,,,,,4,,,,BelgianProLeague
Jean Marcelin,fr FRA,DF,Cercle Brugge,22,2000,8.3,,12,,,,,,,,,,,15,,,,BelgianProLeague
Timothy Martin,lu LUX,GK,R.F.C. Seraing,21,2001,4.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Nekadio Mayanga,,DF,R.F.C. Seraing,20,2002,1.0,,0,,,,,,,,,,,5,,,,BelgianProLeague
Noah Mbamba,be BEL,MF,Club Brugge,17,2005,0.8,,2,,,,,,,,,,,0,,,,BelgianProLeague
Dylan Mbayo,be BEL,"FW,MF",Kortrijk,20,2001,7.6,,5,,,,,,,,,,,1,,,,BelgianProLeague
Moustapha Mbow,sn SEN,DF,R.F.C. Seraing,22,2000,24.6,,15,,,,,,,,,,,40,,,,BelgianProLeague
Mark McKenzie,us USA,DF,Genk,23,1999,30.0,,21,,,,,,,,,,,53,,,,BelgianProLeague
Dapo Mebude,sct SCO,FW,Oostende,21,2001,2.5,,3,,,,,,,,,,,4,,,,BelgianProLeague
Zech Medley,eng ENG,DF,Oostende,22,2000,10.3,,14,,,,,,,,,,,24,,,,BelgianProLeague
Nayel Mehssatou,cl CHI,"MF,DF",Kortrijk,20,2002,20.6,,27,,,,,,,,,,,28,,,,BelgianProLeague
Bjorn Meijer,nl NED,"DF,MF",Club Brugge,19,2003,26.3,,22,,,,,,,,,,,36,,,,BelgianProLeague
Filippo Melegoni,it ITA,MF,Standard Liège,23,1999,8.2,,14,,,,,,,,,,,12,,,,BelgianProLeague
Lennart Moser,de GER,GK,Eupen,22,1999,30.5,,0,,,,,,,,,,,0,,,,BelgianProLeague
Arbnor Muja,al ALB,MF,Antwerp,23,1998,15.3,,20,,,,,,,,,,,7,,,,BelgianProLeague
Ngal'Ayel Mukau,cd COD,MF,Mechelen,17,2004,1.1,,4,,,,,,,,,,,3,,,,BelgianProLeague
Andy Musayev,be BEL,"MF,FW",Oostende,19,2003,2.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Steve Mvoué,cm CMR,MF,R.F.C. Seraing,20,2002,12.8,,18,,,,,,,,,,,8,,,,BelgianProLeague
Moussa N'Diaye,sn SEN,"DF,MF",Anderlecht,20,2002,9.6,,23,,,,,,,,,,,9,,,,BelgianProLeague
Konan N'dri,ci CIV,"FW,MF",Eupen,21,2000,23.3,,24,,,,,,,,,,,4,,,,BelgianProLeague
Stanley N'Soki,fr FRA,DF,Club Brugge,23,1999,1.7,,1,,,,,,,,,,,4,,,,BelgianProLeague
Théo Ndicka,fr FRA,MF,Oostende,22,2000,13.6,,13,,,,,,,,,,,10,,,,BelgianProLeague
András Németh,hu HUN,FW,Genk,19,2002,4.1,,0,,,,,,,,,,,1,,,,BelgianProLeague
Nathan Ngoy,be BEL,DF,Standard Liège,19,2003,3.4,,5,,,,,,,,,,,6,,,,BelgianProLeague
Ken Nkuba,be BEL,MF,Charleroi,20,2002,23.2,,44,,,,,,,,,,,33,,,,BelgianProLeague
Lucas Noubi,be BEL,DF,Standard Liège,17,2005,3.8,,9,,,,,,,,,,,4,,,,BelgianProLeague
Bruny Nsimba,be BEL,FW,Antwerp,22,2000,1.4,,2,,,,,,,,,,,0,,,,BelgianProLeague
Nachon Nsingi,be BEL,FW,OH Leuven,21,2001,12.7,,6,,,,,,,,,,,1,,,,BelgianProLeague
Isaac Nuhu,gh GHA,"FW,MF",Eupen,20,2002,11.9,,11,,,,,,,,,,,6,,,,BelgianProLeague
Manaf Nurudeen,gh GHA,GK,Eupen,23,1999,3.5,,0,,,,,,,,,,,0,,,,BelgianProLeague
Antonio Nusa,no NOR,"FW,MF",Club Brugge,17,2005,6.2,,4,,,,,,,,,,,3,,,,BelgianProLeague
Lorenzo Offermann,be BEL,FW,Eupen,20,2002,0.1,,1,,,,,,,,,,,0,,,,BelgianProLeague
Chinonso Offor,ng NGA,"FW,MF",Zulte Waregem,22,2000,5.2,,2,,,,,,,,,,,2,,,,BelgianProLeague
Noah Ohio,nl NED,FW,Standard Liège,19,2003,10.2,,4,,,,,,,,,,,0,,,,BelgianProLeague
Raphael Onyedika,ng NGA,MF,Club Brugge,21,2001,21.8,,40,,,,,,,,,,,35,,,,BelgianProLeague
Nathan Opoku,gh GHA,FW,OH Leuven,21,2001,3.7,,1,,,,,,,,,,,4,,,,BelgianProLeague
Gift Orban,ng NGA,FW,Gent,20,2002,8.7,,3,,,,,,,,,,,1,,,,BelgianProLeague
Manuel Osifo,be BEL,MF,Oostende,19,2003,2.5,,4,,,,,,,,,,,8,,,,BelgianProLeague
Owen Otasowie,us USA,DF,Club Brugge,21,2001,0.7,,3,,,,,,,,,,,2,,,,BelgianProLeague
Aziz Ouattara,ci CIV,"MF,DF",Genk,21,2001,4.6,,10,,,,,,,,,,,3,,,,BelgianProLeague
Luca Oyen,be BEL,"MF,FW",Genk,19,2003,0.6,,0,,,,,,,,,,,0,,,,BelgianProLeague
Valentine Ozornwafor,ng NGA,DF,Charleroi,23,1999,0.6,,0,,,,,,,,,,,0,,,,BelgianProLeague
Willian Pacho,ec ECU,DF,Antwerp,20,2001,32.2,,36,,,,,,,,,,,57,,,,BelgianProLeague
Rune Paeshuyse,be BEL,DF,Eupen,20,2002,24.1,,19,,,,,,,,,,,39,,,,BelgianProLeague
Kevor Palumets,ee EST,DF,Zulte Waregem,19,2002,0.5,,0,,,,,,,,,,,3,,,,BelgianProLeague
Louis Patris,be BEL,DF,OH Leuven,21,2001,30.9,,79,,,,,,,,,,,76,,,,BelgianProLeague
Damjan Pavlovic,rs SRB,MF,Standard Liège,21,2001,0.1,,1,,,,,,,,,,,2,,,,BelgianProLeague
Jens Petter Hauge,no NOR,MF,Gent,22,1999,3.8,,3,,,,,,,,,,,3,,,,BelgianProLeague
Kamil Piątkowski,pl POL,"DF,MF",Gent,22,2000,8.8,,14,,,,,,,,,,,30,,,,BelgianProLeague
Ewoud Pletinckx,be BEL,DF,OH Leuven,21,2000,31.2,,39,,,,,,,,,,,40,,,,BelgianProLeague
Boris Popović,rs SRB,DF,Cercle Brugge,22,2000,32.2,,19,,,,,,,,,,,67,,,,BelgianProLeague
Cameron Puertas,ch SUI,MF,Union SG,23,1998,9.0,,21,,,,,,,,,,,10,,,,BelgianProLeague
Toon Raemaekers,be BEL,DF,Mechelen,21,2000,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Nicolas Raskin,be BEL,MF,Standard Liège,21,2001,15.2,,31,,,,,,,,,,,9,,,,BelgianProLeague
Christiaan Ravych,be BEL,DF,Cercle Brugge,20,2002,19.3,,27,,,,,,,,,,,29,,,,BelgianProLeague
Rocco Reitz,de GER,"MF,FW",Sint-Truiden,20,2002,9.0,,23,,,,,,,,,,,26,,,,BelgianProLeague
Bryan Reynolds,us USA,DF,Westerlo,21,2001,23.1,,32,,,,,,,,,,,34,,,,BelgianProLeague
Milan Robberechts,be BEL,MF,Mechelen,18,2004,0.6,,4,,,,,,,,,,,0,,,,BelgianProLeague
Kenny Rocha Santos,cv CPV,MF,Oostende,22,2000,13.9,,19,,,,,,,,,,,12,,,,BelgianProLeague
Kyriani Sabbe,be BEL,DF,Club Brugge,17,2005,0.5,,1,,,,,,,,,,,1,,,,BelgianProLeague
Mujaid Sadick,es ESP,DF,Genk,22,2000,5.6,,11,,,,,,,,,,,8,,,,BelgianProLeague
Noah Sadiki,cd COD,"MF,DF",Anderlecht,17,2004,4.5,,7,,,,,,,,,,,6,,,,BelgianProLeague
Richie Sagrado,be BEL,DF,OH Leuven,18,2004,0.8,,2,,,,,,,,,,,2,,,,BelgianProLeague
Ibrahim Salah,ma MAR,"FW,MF",Gent,20,2001,9.0,,7,,,,,,,,,,,2,,,,BelgianProLeague
Mo Salah,be BEL,MF,Union SG,18,2004,0.4,,0,,,,,,,,,,,0,,,,BelgianProLeague
Matisse Samoise,be BEL,MF,Gent,20,2001,21.8,,34,,,,,,,,,,,35,,,,BelgianProLeague
Aske Sampers,be BEL,FW,Cercle Brugge,21,2001,0.2,,1,,,,,,,,,,,0,,,,BelgianProLeague
Cisse Sandra,be BEL,MF,Club Brugge,18,2003,0.5,,1,,,,,,,,,,,0,,,,BelgianProLeague
Mamadou Sangare,ml MLI,"MF,FW",Zulte Waregem,20,2002,4.3,,4,,,,,,,,,,,4,,,,BelgianProLeague
Killian Sardella,be BEL,DF,Anderlecht,20,2002,12.5,,18,,,,,,,,,,,17,,,,BelgianProLeague
Joël Schingtienne,be BEL,DF,OH Leuven,19,2002,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Christopher Scott,de GER,MF,Antwerp,20,2002,3.1,,2,,,,,,,,,,,2,,,,BelgianProLeague
Noah Serwy,be BEL,FW,R.F.C. Seraing,19,2003,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Fábio Silva,pt POR,FW,Anderlecht,20,2002,16.9,,13,,,,,,,,,,,0,,,,BelgianProLeague
João Silva,pt POR,DF,Kortrijk,23,1999,17.4,,24,,,,,,,,,,,36,,,,BelgianProLeague
Leonardo da Silva Lopes,pt POR,MF,Cercle Brugge,23,1998,21.9,,36,,,,,,,,,,,32,,,,BelgianProLeague
Hugo Siquet,be BEL,MF,Cercle Brugge,20,2002,12.0,,26,,,,,,,,,,,19,,,,BelgianProLeague
