Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Dirk Proper,nl NED,MF,NEC Nijmegen,20,2002,32,32,"2,755",30.6,1,1,2,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07
Stipe Radić,hr CRO,DF,Fortuna Sittard,22,2000,7,3,280,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Christian Rasmussen,dk DEN,FW,Ajax,19,2003,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Givairo Read,nl NED,DF,Volendam,16,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daishawn Redan,nl NED,"FW,MF",Utrecht,21,2001,14,10,732,8.1,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12
Youri Regeer,nl NED,"DF,MF",Ajax,18,2003,3,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gyan de Regt,nl NED,FW,Vitesse,19,2002,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daan Reiziger,nl NED,GK,Vitesse,21,2001,8,6,576,6.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Omar Rekik,tn TUN,DF,Sparta R'dam,20,2001,6,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Devyne Rensch,nl NED,DF,Ajax,19,2003,26,26,"2,029",22.5,3,1,4,3,0,0,2,1,0.13,0.04,0.18,0.13,0.18
Rocco Robert Shein,ee EST,MF,Utrecht,19,2003,5,0,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ole Romeny,nl NED,"MF,FW",Emmen,22,2000,33,29,"2,497",27.7,11,1,12,11,0,0,2,0,0.40,0.04,0.43,0.40,0.43
Bart van Rooij,nl NED,DF,NEC Nijmegen,21,2001,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Rayvien Rosario,cw CUW,MF,Sparta R'dam,18,2004,1,0,1,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Daan Rots,nl NED,"MF,FW",Twente,21,2001,22,5,675,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pim Saathof,nl NED,MF,Go Ahead Eag,18,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michal Sadílek,cz CZE,MF,Twente,23,1999,14,12,"1,006",11.2,2,2,4,2,0,0,2,0,0.18,0.18,0.36,0.18,0.36
Modibo Sagnan,ml MLI,DF,Utrecht,23,1999,23,22,"1,809",20.1,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05
Osame Sahraoui,ma MAR,"MF,FW",Heerenveen,21,2001,15,12,"1,114",12.4,1,5,6,1,0,0,1,0,0.08,0.40,0.48,0.08,0.48
Ismael Saibari,ma MAR,"FW,MF",PSV Eindhoven,21,2001,17,5,417,4.6,0,2,2,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43
Koki Saito,jp JPN,"FW,MF",Sparta R'dam,20,2001,26,19,"1,622",18.0,7,5,12,7,0,0,0,0,0.39,0.28,0.67,0.39,0.67
Anass Salah-Eddine,nl NED,"MF,DF",Twente,20,2002,14,7,641,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Shurandy Sambo,nl NED,DF,Sparta R'dam,20,2001,30,28,"2,307",25.6,2,1,3,2,0,0,4,2,0.08,0.04,0.12,0.08,0.12
Mohamed Sankoh,nl NED,FW,Vitesse,18,2003,21,6,762,8.5,2,2,4,2,0,0,1,0,0.24,0.24,0.47,0.24,0.47
Amin Sarr,se SWE,"FW,MF",Heerenveen,21,2001,19,18,"1,634",18.2,5,4,9,5,0,2,1,0,0.28,0.22,0.50,0.28,0.50
Sávio,br BRA,"FW,MF",PSV Eindhoven,18,2004,6,0,100,1.1,0,2,2,0,0,0,0,0,0.00,1.80,1.80,0.00,1.80
Kjell Scherpen,nl NED,GK,Vitesse,22,2000,26,26,"2,290",25.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Ben Scholte,nl NED,MF,Emmen,20,2001,7,1,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Youri Schoonderwaldt,nl NED,GK,Sparta R'dam,22,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jorg Schreuders,nl NED,DF,Groningen,17,2004,5,4,338,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Perr Schuurs,nl NED,DF,Ajax,22,1999,2,1,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Darío Serra,es ESP,FW,Go Ahead Eag,19,2003,3,0,41,0.5,1,0,1,1,0,0,0,0,2.20,0.00,2.20,2.20,2.20
Serano Seymor,nl NED,DF,Excelsior,20,2002,21,10,"1,123",12.5,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08
Aimar Sher,se SWE,MF,Groningen,19,2002,6,0,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Fábio Silva,pt POR,"FW,MF",PSV Eindhoven,20,2002,14,5,607,6.7,4,1,5,3,1,1,3,0,0.59,0.15,0.74,0.44,0.59
Florent da Silva,fr FRA,MF,Volendam,19,2003,13,8,720,8.0,1,1,2,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25
Xavi Simons,nl NED,"MF,FW",PSV Eindhoven,19,2003,34,34,"2,803",31.1,19,8,27,17,2,2,2,0,0.61,0.26,0.87,0.55,0.80
Floris Smand,nl NED,DF,Cambuur,19,2003,23,22,"1,753",19.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Milan Smit,nl NED,FW,Cambuur,19,2003,13,3,398,4.4,1,1,2,1,0,0,0,0,0.23,0.23,0.45,0.23,0.45
Vasileios Sourlis,gr GRE,DF,Fortuna Sittard,19,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Filip Stankovic,rs SRB,GK,Volendam,20,2002,33,33,"2,970",33.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Casper Staring,nl NED,MF,Twente,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sem Steijn,nl NED,MF,Twente,20,2001,27,12,"1,207",13.4,6,1,7,6,0,0,1,0,0.45,0.07,0.52,0.45,0.52
Jørgen Strand Larsen,no NOR,FW,Groningen,22,2000,4,4,360,4.0,1,1,2,1,0,0,0,0,0.25,0.25,0.50,0.25,0.50
Yukinari Sugawara,jp JPN,"DF,FW",AZ Alkmaar,22,2000,31,26,"2,398",26.6,3,8,11,3,0,0,5,0,0.11,0.30,0.41,0.11,0.41
Tomáš Suslov,sk SVK,MF,Groningen,20,2002,30,26,"2,123",23.6,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08
Sander Sybrandy,nl NED,FW,Twente,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Moussa Sylla,ml MLI,"MF,FW",Utrecht,22,1999,10,5,531,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34
Sebastian Szymański,pl POL,"MF,FW",Feyenoord,23,1999,29,24,"1,966",21.8,9,4,13,9,0,0,3,0,0.41,0.18,0.60,0.41,0.60
Mohamed Taabouni,nl NED,"FW,MF",Feyenoord,20,2002,5,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mohammed Tahiri,nl NED,FW,Sparta R'dam,21,2001,5,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Elayis Tavsan,nl NED,"MF,FW",NEC Nijmegen,21,2001,32,30,"2,539",28.2,3,3,6,3,0,0,2,0,0.11,0.11,0.21,0.11,0.21
Kenneth Taylor,nl NED,MF,Ajax,20,2002,32,29,"2,497",27.7,8,3,11,8,0,0,4,0,0.29,0.11,0.40,0.29,0.40
Jasper Ter Heide,nl NED,MF,Cambuur,23,1999,4,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00
