Squad,Season,standard_Gls,shooting_Sh,shooting_SoT,shooting_xG,shooting_G-xG,Team_Att_Score,passing_xAG,passing_Ast,passing_KP,passing_PPA,passing_PrgP,Team_Mid_Score,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl,defense_Int,Team_Def_Score
Cádiz,2023-2024,100.00000000000001,87.86813186813185,92.91139240506328,92.06956521739133,92.05298013245033,98.99013883168172,94.85057471264369,93.22033898305085,87.25274725274726,86.46464646464645,91.32137030995105,90.11210112203067,46.480186480186475,51.515151515151544,47.93650793650798,51.181102362204726,48.77697841726621,75.30864197530866,55.00854700854701,48.36363636363636,65.17647058823535,80.87804878048792
Darmstadt 98,2023-2024,96.5217391304348,86.28571428571428,97.97468354430379,97.21739130434784,74.3046357615894,100.0,99.26436781609196,87.79661016949154,85.05494505494505,85.05050505050505,87.01468189233279,89.27760125801805,63.63636363636365,66.40692640692644,79.6825396825397,62.204724409448815,87.3381294964029,84.19753086419755,65.81196581196582,75.27272727272727,56.2352941176471,95.50765740215557
Dortmund,2023-2024,50.144927536231904,68.35164835164835,60.506329113924025,53.808695652173924,50.993377483443695,51.80578101906815,57.33333333333333,49.83050847457628,65.93406593406594,69.8989898989899,62.93637846655791,63.04244495762443,78.18181818181819,55.670995670995694,65.71428571428575,64.09448818897637,85.0359712230216,94.07407407407409,76.61538461538461,78.18181818181816,87.29411764705885,69.55190017016459
Eint Frankfurt,2023-2024,73.33333333333334,86.63736263736264,83.29113924050631,77.87826086956522,58.14569536423839,77.2044678118867,78.48275862068965,67.45762711864408,87.25274725274726,74.94949494949495,72.52854812398041,78.08543411440348,58.601398601398614,58.095238095238116,64.44444444444447,68.81889763779526,62.589928057553976,64.44444444444446,66.22222222222223,65.09090909090908,63.29411764705884,76.81951219512189
Empoli,2023-2024,98.84057971014494,84.7032967032967,96.96202531645568,91.7913043478261,89.93377483443707,98.22935090737286,93.74712643678161,90.5084745762712,86.15384615384616,89.0909090909091,88.77650897226754,89.66885632061663,62.890442890442905,44.93506493506496,56.40211640211645,59.68503937007874,70.07194244604318,64.44444444444446,47.62393162393164,61.212121212121204,81.64705882352945,80.12646793134596
Everton,2023-2024,82.60869565217392,68.7032967032967,76.70886075949366,67.02608695652175,100.0,76.0938143580549,71.12643678160919,93.22033898305085,76.92307692307693,73.33333333333333,84.01305057096248,75.59371317778033,21.864801864801876,39.04761904761908,29.312169312169345,40.787401574803155,50.50359712230217,33.827160493827165,41.880341880341874,30.909090909090892,36.941176470588275,77.69488283118119
Fiorentina,2023-2024,59.42028985507247,66.76923076923077,67.0886075949367,70.22608695652175,40.92715231788077,65.70154822765488,76.27586206896552,60.67796610169493,64.61538461538461,55.151515151515156,49.6247960848287,60.40402767903666,77.99533799533802,70.5627705627706,80.95238095238096,81.41732283464569,67.76978417266187,53.58024691358027,92.88888888888889,74.30303030303028,94.35294117647061,72.93743372216326
Freiburg,2023-2024,79.1304347826087,88.39560439560438,87.34177215189871,73.42608695652174,79.86754966887416,77.7927458629128,81.60919540229885,72.8813559322034,86.37362637362637,81.01010101010101,78.85807504078304,81.88435818099046,74.63869463869466,53.939393939393966,81.37566137566141,62.204724409448815,100.00000000000001,76.2962962962963,63.35042735042735,78.66666666666666,77.41176470588239,82.97729184188394
Frosinone,2023-2024,77.97101449275362,76.43956043956044,79.24050632911391,78.43478260869567,67.682119205298,79.94136602621569,85.65517241379311,76.9491525423729,74.50549450549451,74.34343434343434,71.15823817292005,76.06055080368145,80.60606060606061,52.90043290043293,80.10582010582013,80.78740157480314,71.22302158273382,68.39506172839506,54.59829059829059,78.9090909090909,92.00000000000003,89.11276069282428
Fulham,2023-2024,66.3768115942029,69.58241758241758,65.0632911392405,71.47826086956525,54.43708609271522,70.03658566132822,72.04597701149426,62.033898305084755,68.13186813186813,58.98989898989899,61.95758564437193,64.21732516060426,31.375291375291383,53.59307359307361,53.8624338624339,50.86614173228347,51.0791366906475,64.44444444444446,60.75213675213675,46.42424242424241,30.823529411764724,84.87005197920831
Genoa,2023-2024,79.1304347826087,87.51648351648352,93.41772151898734,92.48695652173913,43.576158940397335,88.28192765246044,99.26436781609196,79.66101694915255,85.49450549450549,85.65656565656565,87.27569331158237,89.62914867367572,48.71794871794873,44.93506493506496,67.40740740740743,58.425196850393704,58.56115107913671,81.23456790123458,53.64102564102565,59.515151515151516,49.17647058823533,71.85907859078588
Getafe,2023-2024,80.28985507246378,78.9010989010989,77.72151898734177,78.57391304347827,72.71523178807945,81.23325176265354,89.88505747126437,79.66101694915255,80.21978021978022,86.26262626262627,83.2300163132137,84.93931899740176,56.550116550116556,86.49350649350652,62.32804232804237,72.91338582677167,56.25899280575541,56.543209876543216,62.66666666666667,63.636363636363626,60.941176470588275,80.12646793134596
Girona,2023-2024,31.594202898550733,73.62637362637362,63.544303797468345,43.652173913043484,27.947019867549656,36.49407603033458,41.885057471264375,29.49152542372883,68.57142857142858,57.575757575757564,47.732463295269156,52.58546312268042,77.80885780885782,74.02597402597405,72.48677248677251,74.48818897637796,72.9496402877698,86.17283950617285,72.1025641025641,79.15151515151514,84.47058823529414,72.93743372216326
Gladbach,2023-2024,65.21739130434783,78.02197802197801,80.75949367088606,77.46086956521741,40.39735099337747,72.72114941971748,75.9080459770115,57.96610169491526,69.23076923076924,77.97979797979798,77.61827079934747,74.6028068324394,56.550116550116556,43.89610389610394,73.75661375661379,65.98425196850394,58.56115107913671,100.00000000000001,44.888888888888886,69.93939393939394,48.7058823529412,88.14706953039688
Granada,2023-2024,88.40579710144928,88.04395604395604,91.39240506329112,82.88695652173914,83.04635761589404,87.86034453516827,84.0,79.66101694915255,89.23076923076923,77.57575757575756,89.5595432300163,84.83240784939073,56.17715617715619,65.02164502164504,58.09523809523813,51.81102362204726,64.31654676258995,80.24691358024693,55.96581196581198,56.60606060606061,73.64705882352945,93.20778017906773
Heidenheim,2023-2024,75.65217391304348,88.39560439560438,95.94936708860757,87.33913043478262,45.430463576158914,83.62609938700845,90.62068965517241,70.16949152542374,90.10989010989012,90.1010101010101,93.5399673735726,91.3116008840474,58.78787878787878,44.5887445887446,67.40740740740743,59.68503937007874,71.22302158273382,79.25925925925927,55.41880341880341,65.33333333333333,63.29411764705884,80.87804878048792
Hellas Verona,2023-2024,84.92753623188406,80.83516483516483,79.74683544303795,89.28695652173914,62.9139072847682,89.55927604002616,91.17241379310344,76.9491525423729,77.80219780219781,87.07070707070707,84.46982055464926,85.15022575697144,55.05827505827507,61.55844155844159,52.59259259259264,62.519685039370074,59.71223021582736,70.37037037037038,55.2820512820513,60.484848484848484,63.29411764705884,77.69488283118119
Hoffenheim,2023-2024,53.62318840579711,76.96703296703296,72.65822784810126,67.58260869565217,32.71523178807945,61.208538269570894,67.816091954023,52.542372881355945,75.38461538461539,71.71717171717171,69.00489396411092,70.31280908692673,64.19580419580419,61.90476190476194,87.72486772486775,67.55905511811024,94.24460431654677,98.0246913580247,54.46153846153848,85.69696969696969,37.41176470588236,87.6422764227643
Inter,2023-2024,28.115942028985515,55.34065934065933,54.43037974683543,33.356521739130415,39.6026490066225,29.005403047997476,38.942528735632195,34.91525423728815,54.725274725274744,42.42424242424242,51.97389885807503,44.77860179465428,74.26573426573428,78.52813852813854,80.52910052910056,78.26771653543307,74.67625899280577,75.30864197530866,83.72649572649573,80.12121212121211,73.64705882352945,20.0
Juventus,2023-2024,68.69565217391306,63.956043956043956,79.74683544303795,66.1913043478261,69.80132450331124,68.34249993942771,68.36781609195403,66.10169491525424,59.780219780219795,70.9090909090909,61.56606851549756,64.27668485427202,72.40093240093242,75.0649350649351,60.211640211640244,72.59842519685039,66.61870503597123,70.37037037037038,63.35042735042735,71.15151515151516,86.35294117647062,49.45712037765537
Köln,2023-2024,96.5217391304348,79.78021978021977,81.77215189873417,87.47826086956525,92.84768211920529,94.64056404913624,91.17241379310346,93.22033898305085,81.31868131868131,86.86868686868686,86.81892332789559,86.5928604194187,55.24475524475524,29.69696969696973,57.671957671957685,53.7007874015748,66.04316546762591,91.11111111111111,57.74358974358974,61.45454545454545,61.88235294117649,84.2601626016261
Las Palmas,2023-2024,90.72463768115944,89.45054945054946,92.91139240506328,95.96521739130436,63.44370860927151,96.27262374918229,98.34482758620692,85.08474576271188,86.5934065934066,75.95959595959596,53.53996737357258,78.99854060725198,51.32867132867135,60.86580086580089,48.35978835978841,54.33070866141733,49.35251798561153,73.33333333333334,58.42735042735042,50.54545454545455,73.17647058823533,73.96990140114173
Lazio,2023-2024,75.65217391304348,80.65934065934067,85.31645569620252,77.46086956521741,64.23841059602647,78.19010006541805,80.68965517241381,75.59322033898306,78.68131868131869,66.86868686868686,57.977161500815654,70.64949449928443,63.82284382284382,56.01731601731605,69.10052910052913,76.06299212598425,54.53237410071944,76.2962962962963,74.97435897435898,70.18181818181817,66.58823529411768,64.22764227642278
