Squad,Season,standard_Gls,shooting_Sh,shooting_SoT,shooting_xG,shooting_G-xG,Team_Att_Score,passing_xAG,passing_Ast,passing_KP,passing_PPA,passing_PrgP,Team_Mid_Score,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl,defense_Int,Team_Def_Score
Burnley,2023-2024,41.265822784810126,45.58139534883721,44.48087431693989,38.24561403508771,52.95336787564767,37.2343485072865,40.20202020202021,42.85714285714286,46.66666666666666,37.061611374407576,36.975857687420586,38.9915710116252,48.52173913043478,81.36200716845879,52.61802575107296,54.07407407407408,52.78048780487805,52.98969072164948,74.53416149068323,54.42542787286064,33.06590257879656,26.349206349206334
Cagliari,2023-2024,42.27848101265823,47.44186046511627,40.10928961748634,41.180223285486434,50.25906735751295,39.33251776017856,39.23232323232324,42.85714285714286,47.45098039215686,45.402843601895725,33.31639135959339,40.22427393082936,37.11304347826086,51.54121863799283,43.34763948497853,51.1111111111111,35.609756097560975,42.268041237113394,71.92546583850933,41.320293398533,29.627507163323784,30.084033613445254
Celta Vigo,2023-2024,46.32911392405063,51.31782945736433,50.60109289617486,51.13237639553429,42.383419689119165,46.77569591998798,53.93939393939395,49.2063492063492,54.70588235294117,51.65876777251185,45.3113087674714,51.24879237361786,53.669565217391295,69.03225806451613,66.3519313304721,60.0,51.21951219512195,56.28865979381443,73.91304347826087,58.33740831295843,36.96275071633239,35.70593149540519
Chelsea,2023-2024,77.72151898734178,62.17054263565891,69.39890710382514,81.49920255183412,57.30569948186528,79.60380314639538,75.27272727272728,69.52380952380952,64.90196078431373,62.843601895734594,59.034307496823374,66.72130917713565,58.81739130434781,73.04659498207884,64.29184549356222,66.81481481481481,48.09756097560975,73.6082474226804,68.07453416149067,65.37897310513448,37.19197707736389,32.39606953892656
Clermont Foot,2023-2024,27.088607594936708,38.13953488372093,37.04918032786885,32.37639553429027,33.471502590673566,26.57867061575773,29.53535353535354,27.619047619047617,38.03921568627451,35.54502369668246,40.33036848792885,34.20587913503008,54.226086956521726,54.12186379928315,58.11158798283262,53.185185185185176,50.829268292682926,38.14432989690721,53.41614906832299,49.339853300733495,48.42406876790832,33.96825396825386
Crystal Palace,2023-2024,57.46835443037975,48.9922480620155,55.40983606557377,48.45295055821372,69.53367875647668,51.27250874594896,54.74747474747476,59.36507936507937,51.96078431372549,47.867298578199055,36.72172808132147,47.32343181641134,79.68695652173912,75.3405017921147,94.50643776824036,81.03703703703704,73.85365853658537,82.68041237113401,85.71428571428572,89.82885085574573,42.922636103151866,35.10673234811163
Cádiz,2023-2024,26.075949367088604,40.15503875968992,37.04918032786885,32.37639553429027,31.398963730569942,26.040392333612346,32.92929292929293,26.349206349206348,40.0,37.6303317535545,28.640406607369755,33.04074225459147,59.9304347826087,71.61290322580645,71.84549356223175,70.66666666666666,59.41463414634147,45.567010309278345,68.19875776397515,66.94376528117358,37.19197707736389,36.969696969696834
Darmstadt 98,2023-2024,29.11392405063291,41.55038759689922,32.6775956284153,27.655502392344488,45.28497409326424,25.145837357542973,29.050505050505052,31.428571428571427,41.96078431372548,38.95734597156398,31.994917407878013,33.79837371614545,47.13043478260869,59.28315412186379,46.09442060085837,60.29629629629629,33.26829268292683,38.14432989690721,58.38509316770186,45.2322738386308,41.54727793696275,23.986710963455007
Dortmund,2023-2024,69.62025316455696,57.36434108527131,65.02732240437159,67.46411483253587,63.52331606217616,67.83722876826991,65.89898989898991,66.98412698412699,59.01960784313725,53.17535545023696,50.74968233799237,57.61692740216975,36.278260869565216,68.17204301075269,57.42489270386265,58.51851851851852,34.829268292682926,29.89690721649484,48.57142857142858,42.88508557457213,26.418338108882523,47.02104097452922
Eint Frankfurt,2023-2024,49.36708860759494,41.240310077519375,45.3551912568306,45.39074960127592,57.927461139896366,45.33857017148499,47.31313131313132,50.47619047619047,40.0,48.436018957345965,43.27827191867853,43.95959520538587,50.88695652173912,66.16487455197132,58.45493562231759,54.07407407407408,50.04878048780488,54.63917525773195,58.01242236024844,53.447432762836186,38.10888252148998,40.57142857142859
