Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
be BEL,"MF,FW",R.F.C. Seraing,23,1997,29,23,"1,869",20.8,1,2,3,1,0,0,3,0,0.05,0.1,0.14,0.05,0.14,,,,,,,,,,,,,600000.0,Antoine Bernier,2216,A. Bernier,23,66,71,170,68,Right,67,MF,5,1300000,4000,278,61,60,49,61,47,319,72,64,63,56,64,388,85,80,82,60,81,333,63,80,71,58,61,228,32,26,60,55,55,79,24,29,26,46,11,6,8,11,10,3,High,Medium,1,,23.0,,,,,,,,,,,13.0,,,,BelgianProLeague,26.0
be BEL,MF,Oostende,22,1999,5,3,248,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,450000.0,Indy Boonen,2388,I. Boonen,22,65,72,177,67,Left,67,MF,7,1500000,3000,309,63,68,53,66,59,292,66,50,48,60,68,347,68,69,71,64,75,307,66,66,61,54,60,296,61,48,60,60,67,137,50,48,39,53,12,7,15,5,14,4,High,Medium,1,,5.0,,,,,,,,,,,1.0,,,,BelgianProLeague,48.0
ca CAN,MF,Club Brugge,22,1999,9,8,729,8.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,9500000.0,Tajon Buchanan,1492,T. Buchanan,22,72,78,183,69,Right,73,MF,6,3800000,15000,300,60,66,60,64,50,276,75,49,25,54,73,402,93,91,79,70,69,326,66,71,72,62,55,295,59,49,65,67,55,164,52,62,50,44,13,9,7,8,7,3,High,Medium,1,,11.0,,,,,,,,,,,5.0,,,,BelgianProLeague,49.0
nz NZL,MF,Sint-Truiden,20,2000,23,16,"1,483",16.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2500000.0,Liberato Cacace,461,L. Cacace,20,72,82,184,81,Left,72,MF,10,4900000,8000,297,62,61,56,67,51,327,69,65,62,63,68,368,79,83,65,65,76,368,67,77,85,77,62,336,69,70,71,65,61,198,65,68,65,54,12,11,10,9,12,4,High,Medium,1,,31.0,,,,,,,,,,,17.0,,,,BelgianProLeague,70.0
be BEL,MF,R.F.C. Seraing,20,2001,15,9,713,7.9,0,1,1,0,0,0,1,1,0.0,0.13,0.13,0.0,0.13,,,,,,,,,,,,,300000.0,Mathieu Cachbach,3066,M. Cachbach,20,61,71,181,72,Right,64,MF,10,725000,2000,283,59,50,55,70,49,309,63,59,49,74,64,307,60,69,52,51,75,251,59,54,48,47,43,260,48,35,60,63,54,163,49,58,56,43,14,6,8,7,8,3,Medium,Medium,1,,15.0,,,,,,,,,,,5.0,,,,BelgianProLeague,35.0
ec ECU,MF,Beerschot,19,2001,12,10,752,8.4,1,1,2,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,,,,,,,,,,,,,6000000.0,Moisés Caicedo,671,M. Caicedo,19,67,79,178,71,Right,71,MF,12,2400000,10000,255,44,57,40,74,40,273,64,35,40,68,66,348,75,72,68,63,70,331,61,72,71,62,65,300,65,71,57,67,40,206,68,70,68,56,15,6,13,9,13,3,High,High,1,,12.0,,,,,,,,,,,8.0,,,,BelgianProLeague,71.0
be BEL,"DF,MF",Standard Liège,18,2003,8,8,668,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,500000.0,Alexandro Calut,3054,A. Calut,18,61,74,180,66,Left,62,MF,13,725000,750,203,54,22,48,59,20,251,60,48,30,55,58,348,76,70,75,55,72,269,41,74,74,50,30,231,64,54,32,44,37,170,51,59,60,54,13,8,11,10,12,3,Medium,Medium,1,,9.0,,,,,,,,,,,12.0,,,,BelgianProLeague,54.0
ge GEO,"MF,FW",Gent,21,1999,8,4,286,3.2,0,2,2,0,0,0,0,1,0.0,0.63,0.63,0.0,0.63,,,,,,,,,,,,,2000000.0,Giorgi Chakvetadze,1802,G. Chakvetadze,21,69,75,183,78,Right,71,MF,6,2200000,8000,305,69,62,39,71,64,348,73,76,59,67,73,347,72,70,74,60,71,310,75,71,34,63,67,263,38,30,67,70,58,102,29,41,32,52,10,8,13,8,13,3,Medium,Medium,1,,5.0,,,,,,,,,,,4.0,,,,BelgianProLeague,30.0
ml MLI,MF,Beerschot,20,2000,20,12,"1,064",11.8,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,2000000.0,Ismaila Cheick Coulibaly,1864,I. Coulibaly,20,68,79,183,68,Right,71,MF,11,2600000,9000,284,51,62,44,70,57,312,72,59,48,64,69,370,75,81,79,67,68,336,70,62,80,61,63,328,68,69,67,66,58,191,59,67,65,53,6,15,14,9,9,4,High,High,1,,28.0,,,,,,,,,,,15.0,,,,BelgianProLeague,69.0
be BEL,"MF,FW",Oostende,22,1999,22,13,"1,052",11.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,700000.0,Robbie D'Haese,1633,R. D'Haese,22,70,77,180,64,Right,71,MF,7,3200000,7000,297,67,62,38,66,64,297,72,44,46,64,71,369,79,77,77,63,73,284,63,71,70,42,38,263,37,50,68,60,48,162,58,50,54,48,6,10,7,11,14,3,Medium,Medium,1,,13.0,,,,,,,,,,,14.0,,,,BelgianProLeague,50.0
be BEL,"FW,MF",Club Brugge,20,2001,33,31,"2,725",30.3,14,6,20,14,0,0,4,0,0.46,0.2,0.66,0.46,0.66,,,,,,,,,,,,,30000000.0,Charles De Ketelaere,1377,C. De Ketelaere,20,77,87,192,79,Left,80,MF,10,23500000,22000,380,74,78,75,77,76,383,79,73,72,77,82,364,74,77,78,75,60,378,77,69,83,75,74,338,57,59,77,78,67,163,45,61,57,49,11,8,14,8,8,4,High,High,1,,23.0,,,,,,,,,,,15.0,,,,BelgianProLeague,59.0
be BEL,"MF,FW",Zulte Waregem,19,2002,17,7,740,8.2,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,,,,,,,,,,,,,650000.0,Dion De Neve,2909,D. De Neve,20,62,73,182,68,Left,63,MF,11,875000,2000,257,60,56,37,56,48,266,65,43,36,58,64,363,80,74,74,51,84,265,71,67,58,29,40,246,34,49,50,56,57,148,53,52,43,42,15,6,7,7,7,3,High,High,1,,19.0,,,,,,,,,,,8.0,,,,BelgianProLeague,49.0
be BEL,"MF,DF",Beerschot,23,1998,23,18,"1,490",16.6,0,1,1,0,0,0,8,3,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,450000.0,Thibault De Smet,2017,T. De Smet,23,67,74,182,65,Left,67,MF,7,1900000,7000,257,70,36,64,61,26,266,56,59,25,62,64,329,67,72,61,60,69,335,68,69,72,68,58,276,69,65,51,54,37,191,62,67,62,45,6,6,12,8,13,3,Medium,Medium,1,,25.0,,,,,,,,,,,27.0,,,,BelgianProLeague,65.0
be BEL,"DF,MF",Cercle Brugge,23,1998,20,15,"1,233",13.7,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,600000.0,Robbe Decostere,1870,R. Decostere,23,68,75,180,68,Left,69,MF,7,2300000,4000,258,63,36,56,64,39,277,65,51,37,59,65,352,69,80,69,63,71,305,62,58,78,65,42,289,68,62,51,58,50,195,63,66,66,47,9,13,6,12,7,4,High,High,1,,20.0,,,,,,,,,,,17.0,,,,BelgianProLeague,62.0
be BEL,MF,Sint-Truiden,17,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,50000.0,Mathias Delorge,3636,M. Delorge,16,55,75,189,79,Left,57,MF,20,350000,500,233,52,48,38,58,37,283,65,52,51,51,64,270,62,65,53,46,44,234,49,52,34,57,42,185,28,21,40,51,45,83,23,32,28,59,15,15,13,10,6,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,21.0
be BEL,"FW,MF",Cercle Brugge,21,2000,32,24,"1,879",20.9,2,0,2,2,0,0,7,0,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,1300000.0,Olivier Deman,1872,O. Deman,21,68,78,181,70,Left,70,MF,10,2700000,5000,324,58,67,63,71,65,306,69,58,48,58,73,356,76,78,76,59,67,360,73,78,84,63,62,286,64,49,70,58,45,132,44,43,45,53,10,15,5,10,13,3,Medium,Medium,1,,32.0,,,,,,,,,,,17.0,,,,BelgianProLeague,49.0
be BEL,MF,Mechelen,19,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Bas van den Eynden,3639,B. Van Den Eynden,19,55,69,186,83,Left,57,MF,14,300000,1000,236,47,32,52,62,43,265,54,45,50,57,59,267,67,55,52,42,51,310,55,65,60,83,47,255,60,47,47,57,44,148,45,52,51,53,12,12,15,8,6,4,High,Medium,1,,1.0,,,,,,,,,,,0.0,,,,BelgianProLeague,47.0
be BEL,"MF,DF",Sint-Truiden,17,2004,3,3,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Arnaud Dony,3324,A. Dony,17,59,82,177,70,Left,60,MF,23,675000,500,197,58,28,41,58,12,227,59,43,22,45,58,337,76,72,71,54,64,242,32,70,55,54,31,237,60,56,49,39,33,164,51,57,56,57,10,7,12,13,15,3,Medium,Medium,1,,2.0,,,,,,,,,,,1.0,,,,BelgianProLeague,56.0
fr FRA,MF,R.F.C. Seraing,18,2002,6,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,50000.0,Maidine Douane,3724,M. Douane,18,52,68,175,72,Right,55,MF,16,200000,850,210,46,45,34,46,39,258,62,47,39,50,60,297,61,63,55,49,69,244,55,54,49,44,42,212,46,22,39,54,51,101,35,29,37,59,15,7,14,10,13,3,Medium,Medium,1,,1.0,,,,,,,,,,,0.0,,,,BelgianProLeague,22.0
ci CIV,MF,Zulte Waregem,23,1998,19,12,"1,190",13.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1700000.0,Idrissa Doumbia,1497,I. Doumbia,23,72,77,187,80,Right,76,MF,5,3500000,9000,290,63,58,62,72,35,305,68,56,41,71,69,327,64,67,65,76,55,359,64,70,77,87,61,347,80,77,73,75,42,211,70,74,67,52,8,11,14,12,7,3,Low,High,1,,12.0,,,,,,,,,,,15.0,,,,BelgianProLeague,77.0
be BEL,MF,Standard Liège,19,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,100000.0,Olivier Dumont,3519,O. Dumont,19,57,67,182,70,Right,59,MF,10,350000,1000,258,44,42,50,64,58,269,58,55,36,62,58,295,61,68,55,50,61,223,58,48,41,38,38,237,42,32,50,62,51,132,44,48,40,39,6,6,14,8,5,5,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,32.0
us USA,MF,Oostende,23,1997,7,7,528,5.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1500000.0,Kyle Duncan,1554,K. Duncan,23,71,77,177,68,Right,71,MF,6,2800000,7000,270,66,46,63,62,33,275,69,56,31,54,65,390,90,89,84,52,75,328,52,89,78,68,41,275,70,69,54,45,37,199,66,68,65,56,15,14,9,13,5,3,High,Medium,1,,12.0,,,,,,,,,,,16.0,,,,BelgianProLeague,69.0
be BEL,MF,Antwerp,17,2004,5,2,205,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Pierre Dwomoh,2900,P. Dwomoh,17,62,85,185,69,Right,64,MF,23,1200000,500,266,56,53,46,65,46,306,73,50,50,64,69,327,74,72,75,43,63,288,48,69,53,67,51,265,71,40,48,57,49,136,31,55,50,60,7,12,14,12,15,3,High,Medium,1,,4.0,,,,,,,,,,,3.0,,,,BelgianProLeague,40.0
nl NED,"MF,DF",Genk,23,1998,12,10,775,8.6,0,1,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,,,,,,,,,,,,,2800000.0,Carel Eiting,1594,C. Eiting,23,71,78,178,72,Left,73,MF,7,3700000,7000,293,77,49,49,78,40,355,69,68,64,80,74,313,55,51,68,72,67,284,68,39,67,50,60,317,62,68,56,75,56,184,71,58,55,44,10,6,11,12,5,4,Medium,Medium,1,,15.0,,,,,,,,,,,6.0,,,,BelgianProLeague,68.0
gm GAM,"MF,FW",Zulte Waregem,19,2001,18,6,650,7.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Alieu Fadera,3201,A. Fadera,19,60,74,185,73,Right,64,MF,14,575000,1000,274,53,58,58,64,41,290,61,66,37,60,66,341,78,74,61,57,71,331,70,76,66,58,61,250,52,39,52,56,51,165,57,57,51,56,9,11,10,11,15,4,High,Medium,1,,18.0,,,,,,,,,,,7.0,,,,BelgianProLeague,39.0
be BEL,MF,Genk,19,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250000.0,Jay-Dee Geusens,3056,J. Geusens,19,61,75,185,72,Right,63,MF,14,775000,2000,269,66,41,52,67,43,342,63,71,70,69,69,297,65,55,58,55,64,313,68,63,53,59,70,252,59,40,50,62,41,126,42,43,41,59,9,13,13,12,12,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,40.0
ci CIV,"DF,MF",Eupen,22,1998,18,11,"1,054",11.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,500000.0,Silas Gnaka,2390,S. Gnaka,22,65,72,179,64,Left,65,MF,7,1400000,3000,240,64,26,56,63,31,250,65,27,26,67,65,363,70,80,79,59,75,285,60,71,67,56,31,285,65,58,59,67,36,179,58,61,60,60,10,8,13,15,14,3,Medium,High,1,,4.0,,,,,,,,,,,32.0,,,,BelgianProLeague,58.0
be BEL,MF,Anderlecht,19,2002,23,8,867,9.6,2,0,2,2,0,0,1,0,0.21,0.0,0.21,0.21,0.21,,,,,,,,,,,,,4000000.0,Anouar Ait El Hadj,1744,A. Ait El Hadj,19,69,83,168,70,Right,72,MF,14,3300000,6000,283,63,57,32,73,58,348,76,65,63,68,76,387,78,69,83,65,92,332,66,74,83,53,56,267,62,44,57,68,36,132,46,48,38,50,6,14,9,13,8,3,Medium,Medium,1,,10.0,,,,,,,,,,,5.0,,,,BelgianProLeague,44.0
jp JPN,MF,Sint-Truiden,22,1999,30,28,"2,311",25.7,0,4,4,0,0,0,4,0,0.0,0.16,0.16,0.0,0.16,,,,,,,,,,,,,1000000.0,Daiki Hashioka,1750,D. Hashioka,22,69,76,182,73,Right,69,MF,7,2700000,6000,299,66,58,56,66,53,307,64,64,53,60,66,332,73,74,58,68,59,354,62,72,86,74,60,300,66,57,64,63,50,193,66,65,62,40,11,6,10,7,6,3,Medium,High,1,,24.0,,,,,,,,,,,29.0,,,,BelgianProLeague,57.0
be BEL,MF,Charleroi,22,1999,10,8,610,6.8,2,1,3,2,0,0,0,0,0.3,0.15,0.44,0.3,0.44,,,,,,,,,,,,,1200000.0,Daan Heymans,2013,D. Heymans,22,67,72,193,79,Right,70,MF,5,1600000,6000,328,57,69,66,68,68,330,66,67,62,67,68,307,54,65,62,67,59,339,72,60,72,68,67,314,65,62,71,64,52,153,42,59,52,50,5,13,14,12,6,3,Medium,High,1,,7.0,,,,,,,,,,,7.0,,,,BelgianProLeague,62.0
gm GAM,"FW,MF",R.F.C. Seraing,22,1998,23,22,"1,866",20.7,5,1,6,5,0,0,2,0,0.24,0.05,0.29,0.24,0.29,,,,,,,,,,,,,800000.0,Ablie Jallow,2215,A. Jallow,22,66,71,166,62,Left,68,MF,5,1300000,5000,257,56,61,30,65,45,329,69,64,63,66,67,390,78,76,85,60,91,268,65,45,66,29,63,248,54,23,60,61,50,67,28,19,20,54,13,13,8,6,14,3,High,Medium,1,,20.0,,,,,,,,,,,11.0,,,,BelgianProLeague,23.0
tz TAN,MF,Genk,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Kelvin John,810,K. John,20,64,76,176,68,Right,64,MF,12,1300000,10000,248,62,45,50,57,34,259,61,54,35,47,62,360,73,67,79,56,85,267,39,69,64,53,42,265,62,58,58,52,35,189,63,64,62,48,6,11,9,13,9,2,High,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,58.0
dz ALG,MF,Kortrijk,21,2000,22,19,"1,441",16.0,1,6,7,1,0,0,2,1,0.06,0.37,0.44,0.06,0.44,,,,,,,,,,,,,2000000.0,Abdelkahar Kadri,1879,A. Kadri,21,68,77,170,62,Right,70,MF,9,2700000,5000,289,63,61,38,71,56,343,74,68,63,68,70,375,77,72,79,62,85,305,71,69,58,39,68,310,69,61,60,66,54,176,58,62,56,49,7,9,8,13,12,4,Medium,Medium,1,,23.0,,,,,,,,,,,17.0,,,,BelgianProLeague,61.0
be BEL,"MF,DF",Anderlecht,18,2002,4,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4000000.0,Marco Kana,2196,M. Kana,18,66,80,180,67,Right,68,MF,14,1900000,2000,247,57,23,64,70,33,290,64,41,46,67,72,351,69,69,76,63,74,282,38,74,61,66,43,264,63,64,45,61,31,195,63,67,65,46,9,6,9,14,8,3,High,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,64.0
sn SEN,MF,Cercle Brugge,22,1998,6,3,234,2.6,1,0,1,1,0,0,2,0,0.38,0.0,0.38,0.38,0.38,,,,,,,,,,,,,600000.0,Franck Kanouté,2207,F. Kanouté,22,66,74,186,78,Right,68,MF,8,1800000,3000,266,45,51,65,67,38,320,69,54,62,66,69,321,61,65,67,61,67,359,75,73,64,77,70,278,69,67,39,61,42,183,58,65,60,65,13,13,13,14,12,3,High,Medium,1,,3.0,,,,,,,,,,,4.0,,,,BelgianProLeague,67.0
cd COD,MF,Eupen,23,1998,17,17,"1,471",16.3,4,1,5,4,0,0,3,0,0.24,0.06,0.31,0.24,0.31,,,,,,,,,,,,,3000000.0,Edo Kayembe,520,E. Kayembe,23,70,78,181,80,Left,71,MF,8,3300000,21000,298,53,52,64,73,56,314,65,57,55,68,69,342,70,74,63,66,69,385,78,80,79,79,69,316,71,68,55,69,53,196,64,67,65,46,10,9,12,10,5,3,High,Medium,1,,15.0,,,,,,,,,,,15.0,,,,BelgianProLeague,68.0
be BEL,MF,OH Leuven,19,2002,25,18,"1,585",17.6,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,2000000.0,Mandela Keita,2912,M. Keita,19,62,76,180,70,Right,63,MF,14,900000,1000,208,41,22,51,66,28,261,56,39,41,61,64,338,71,72,73,52,70,267,50,72,57,58,30,251,65,64,32,58,32,180,54,64,62,52,11,11,11,6,13,3,Medium,Medium,1,,33.0,,,,,,,,,,,16.0,,,,BelgianProLeague,64.0
ml MLI,MF,Eupen,20,2001,10,3,288,3.2,1,0,1,1,0,0,1,0,0.31,0.0,0.31,0.31,0.31,,,,,,,,,,,,,300000.0,Sibiry Keita,2563,S. Keita,20,64,75,173,67,Left,66,MF,11,1300000,2000,291,60,58,47,66,60,281,69,53,31,61,67,344,81,69,67,47,80,309,76,60,55,63,55,255,40,29,65,63,58,93,30,33,30,48,12,8,5,8,15,3,Medium,Medium,1,,4.0,,,,,,,,,,,1.0,,,,BelgianProLeague,29.0
