Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
fr FRA,MF,Gladbach,21,2001,30,30,"2,608",29.0,1,1,2,1,0,0,12,0,0.03,0.03,0.07,0.03,0.07,1.2,1.2,1.3,2.5,59.0,166.0,55.0,0.04,0.05,0.09,0.04,0.09,40000000.0,Manu Koné,3643,M. Koné,20,56,68,186,78,Right,56,MF,12,300000,650,60,13,7,14,21,5,66,14,10,12,17,13,143,17,28,22,55,21,157,41,33,17,60,6,70,17,13,7,22,11,30,5,11,14,275,56,53,54,54,58,3,Medium,Medium,1,74.0,39.0,37.0,33.0,4.0,24.0,47.0,51.1,23.0,44.0,12.0,32.0,32.0,106.0,21.0,0.0,Bundesliga,13.0
jp JPN,"FW,MF",Schalke 04,21,2000,5,5,379,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,1.1,1.1,0.3,1.4,15.0,10.0,37.0,0.26,0.08,0.33,0.26,0.33,600000.0,Soichiro Kozuki,762,S. Kozuki,21,65,75,180,73,Right,66,MF,10,1600000,5000,262,59,51,43,64,45,298,74,48,46,59,71,327,69,67,77,55,59,252,53,49,63,46,41,266,50,41,57,63,55,129,45,45,39,52,8,11,10,13,10,3,High,Medium,1,6.0,4.0,3.0,3.0,0.0,4.0,6.0,66.7,2.0,5.0,0.0,5.0,3.0,9.0,3.0,0.0,Bundesliga,41.0
de GER,MF,Schalke 04,21,2001,32,31,"2,514",27.9,2,0,2,2,0,0,8,0,0.07,0.0,0.07,0.07,0.07,2.2,2.2,0.9,3.1,35.0,86.0,38.0,0.08,0.03,0.11,0.08,0.11,7000000.0,Tom Krauß,360,T. Krauß,21,73,81,182,72,Right,75,MF,8,7000000,26000,313,51,61,64,75,62,312,72,50,47,69,74,357,74,74,69,72,68,368,73,74,83,67,71,354,87,70,70,72,55,215,69,75,71,43,7,11,5,12,8,3,High,High,1,112.0,68.0,39.0,62.0,11.0,51.0,100.0,51.0,49.0,39.0,6.0,33.0,36.0,148.0,35.0,0.0,Bundesliga,70.0
de GER,"FW,MF",Köln,20,2002,12,0,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.2,1.0,5.0,16.0,0.08,0.71,0.79,0.08,0.79,1500000.0,Tim Lemperle,703,T. Lemperle,20,66,79,187,78,Right,67,MF,13,2100000,6000,293,64,68,43,63,55,298,73,53,45,55,72,316,70,72,67,48,59,271,66,34,55,65,51,249,49,27,65,53,55,93,30,33,30,41,9,10,8,7,7,3,Medium,Medium,1,6.0,4.0,3.0,1.0,2.0,3.0,5.0,60.0,2.0,5.0,0.0,5.0,1.0,7.0,4.0,0.0,Bundesliga,27.0
de GER,"FW,MF",Union Berlin,21,2001,16,0,265,2.9,1,1,2,1,0,0,1,0,0.34,0.34,0.68,0.34,0.68,0.7,0.7,0.3,0.9,8.0,4.0,24.0,0.22,0.09,0.32,0.22,0.32,3000000.0,Jamie Leweling,363,J. Leweling,21,73,82,184,86,Right,75,MF,9,7000000,20000,329,64,73,58,69,65,303,80,55,43,49,76,394,85,82,79,71,77,341,73,55,71,75,67,270,57,26,73,59,55,87,33,31,23,50,6,11,10,14,9,4,Medium,Medium,1,5.0,3.0,2.0,2.0,1.0,3.0,5.0,60.0,2.0,3.0,0.0,3.0,1.0,6.0,0.0,0.0,Bundesliga,26.0
dk DEN,"MF,FW",Eint Frankfurt,22,2000,27,22,"1,679",18.7,7,2,9,7,0,0,2,0,0.38,0.11,0.48,0.38,0.48,5.9,5.9,2.8,8.8,65.0,33.0,136.0,0.32,0.15,0.47,0.32,0.47,28000000.0,Jesper Lindstrøm,142,J. Lindstrøm,22,77,83,182,66,Right,79,MF,6,17000000,25000,313,62,76,44,73,58,350,83,62,57,67,81,410,88,87,83,70,82,328,75,52,75,55,71,320,75,40,75,78,52,129,46,44,39,58,11,12,14,13,8,3,High,Medium,1,26.0,11.0,15.0,7.0,4.0,7.0,22.0,31.8,15.0,25.0,3.0,22.0,9.0,35.0,9.0,0.0,Bundesliga,40.0
de GER,MF,Augsburg,23,1999,30,24,"1,960",21.8,5,1,6,5,0,0,3,0,0.23,0.05,0.28,0.23,0.28,1.6,1.6,1.8,3.4,32.0,66.0,77.0,0.07,0.08,0.16,0.07,0.16,6500000.0,Arne Maier,310,A. Maier,23,74,80,186,79,Right,77,MF,6,6500000,21000,295,66,57,49,80,43,331,76,53,48,77,77,348,64,69,68,75,72,350,72,57,78,77,66,315,61,70,69,77,38,214,71,73,70,49,14,10,10,8,7,3,High,High,1,31.0,22.0,17.0,11.0,3.0,10.0,18.0,55.6,8.0,21.0,0.0,21.0,15.0,46.0,22.0,0.0,Bundesliga,70.0
de GER,"FW,MF",Köln,23,1999,33,27,"2,239",24.9,3,7,10,3,0,0,1,0,0.12,0.28,0.4,0.12,0.4,4.6,4.6,5.9,10.5,90.0,61.0,173.0,0.19,0.24,0.42,0.19,0.42,6000000.0,Linton Maina,304,L. Maina,23,74,80,173,70,Right,75,MF,6,6500000,21000,312,74,67,44,69,58,318,76,66,43,60,73,419,89,86,85,71,88,291,62,55,73,47,54,254,44,24,67,72,47,82,29,28,25,55,14,12,14,7,8,4,Medium,Medium,1,18.0,12.0,5.0,11.0,2.0,7.0,30.0,23.3,23.0,19.0,0.0,19.0,5.0,23.0,9.0,0.0,Bundesliga,24.0
km COM,"FW,MF",Hertha BSC,23,1999,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,9.0,0.0,0.22,0.22,0.0,0.22,1500000.0,Myziane Maolida,467,M. Maolida,23,71,76,181,78,Right,73,MF,5,2800000,16000,315,56,67,61,69,62,316,77,66,41,57,75,377,79,75,79,69,75,326,69,65,63,64,65,260,39,24,71,65,61,59,21,17,21,47,9,10,7,13,8,3,Medium,Low,1,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Bundesliga,24.0
de GER,MF,Köln,20,2002,29,23,"2,019",22.4,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,1.7,1.7,0.8,2.5,17.0,72.0,46.0,0.08,0.04,0.11,0.08,0.11,9000000.0,Eric Martel,420,E. Martel,20,72,84,188,81,Right,74,MF,12,5500000,13000,267,52,42,67,71,35,287,66,46,43,63,69,337,65,67,67,69,69,333,53,73,80,72,55,288,75,73,50,52,38,218,71,74,73,48,5,10,13,5,15,3,Medium,Medium,1,66.0,41.0,29.0,30.0,7.0,30.0,60.0,50.0,30.0,29.0,9.0,20.0,33.0,99.0,49.0,0.0,Bundesliga,73.0
