Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
cd COD,MF,Standard Liège,21,1999,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,William Balikwisha,2709,W. Balikwisha,21,63,72,173,68,Right,65,MF,9,1100000,3000,259,60,48,40,64,47,294,70,53,48,55,68,365,78,73,82,65,67,294,59,79,51,51,54,220,38,24,49,56,53,70,34,16,20,49,9,14,9,6,11,3,Medium,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,24.0
cd COD,MF,Standard Liège,23,1996,25,25,"2,143",23.8,4,1,5,4,0,0,2,0,0.17,0.04,0.21,0.17,0.21,,,,,,,,,,,,,4500000.0,Samuel Bastien,1479,S. Bastien,23,73,78,175,75,Right,75,MF,5,4600000,12000,336,70,68,54,76,68,370,77,73,68,73,79,365,74,68,74,73,76,365,69,81,78,64,73,336,68,71,67,63,67,188,67,64,57,39,8,7,9,7,8,3,High,Medium,1,,19.0,,,,,,,,,,,27.0,,,,BelgianProLeague,71.0
be BEL,"MF,DF",Oostende,21,1999,31,29,"2,568",28.5,1,4,5,1,0,0,11,2,0.04,0.14,0.18,0.04,0.18,,,,,,,,,,,,,2800000.0,Jelle Bataille,1601,J. Bataille,21,71,79,181,71,Right,71,MF,8,4000000,6000,301,71,49,58,67,56,308,71,53,48,67,69,380,81,81,75,69,74,325,58,70,80,65,52,291,53,64,55,63,56,191,62,67,62,53,14,12,6,7,14,3,High,Medium,1,,45.0,,,,,,,,,,,42.0,,,,BelgianProLeague,64.0
de GER,MF,Oostende,20,2000,19,10,881,9.8,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,,,,,,,,,,,,,800000.0,Nick Bätzner,2025,N. Bätzner,20,67,76,175,63,Right,69,MF,9,2200000,3000,287,66,56,37,75,53,335,70,67,56,68,74,357,76,68,78,54,81,302,57,63,68,52,62,244,41,31,52,66,54,100,28,41,31,43,9,8,12,7,7,3,Medium,Medium,1,,10.0,,,,,,,,,,,4.0,,,,BelgianProLeague,31.0
ma MAR,MF,Charleroi,22,1998,17,7,774,8.6,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23,,,,,,,,,,,,,750000.0,Amine Benchaib,2019,A. Benchaib,22,67,73,181,71,Right,69,MF,6,1600000,5000,285,56,64,36,66,63,332,73,65,62,61,71,366,78,74,80,63,71,309,58,74,59,59,59,272,55,36,65,58,58,121,28,48,45,41,14,6,6,6,9,4,High,Medium,1,,11.0,,,,,,,,,,,8.0,,,,BelgianProLeague,36.0
fr FRA,"DF,MF",Cercle Brugge,20,2000,18,17,"1,550",17.2,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,1300000.0,Giulian Biancone,1891,G. Biancone,20,68,78,187,79,Right,68,MF,10,2500000,11000,254,72,28,57,62,35,295,69,66,38,53,69,315,68,75,55,60,57,349,69,60,77,77,66,282,69,55,62,49,47,194,56,69,69,50,8,14,11,8,9,4,High,Medium,1,,37.0,,,,,,,,,,,22.0,,,,BelgianProLeague,55.0
rw RWA,MF,Waasland-Bev,23,1996,6,3,311,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Djihad Bizimana,2388,D. Bizimana,23,65,70,180,77,Right,66,MF,5,1000000,2000,316,63,58,61,66,68,316,61,60,64,68,63,314,64,56,69,57,68,335,74,72,59,64,66,317,74,64,59,62,58,189,64,63,62,41,6,12,8,7,8,3,Medium,Medium,1,,3.0,,,,,,,,,,,5.0,,,,BelgianProLeague,64.0
be BEL,"FW,MF",Oostende,21,1999,10,2,271,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Indy Boonen,2555,I. Boonen,21,64,71,178,67,Left,66,MF,7,1200000,2000,307,63,68,53,64,59,290,66,50,48,58,68,349,68,70,71,64,76,305,66,66,59,54,60,272,61,24,60,60,67,93,22,35,36,53,12,7,15,5,14,4,High,Medium,1,,6.0,,,,,,,,,,,0.0,,,,BelgianProLeague,24.0
eng ENG,"DF,MF",Beerschot,19,2000,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,George Broadbent,3137,G. Broadbent,19,60,71,175,68,Right,62,MF,11,525000,3000,221,46,45,37,60,33,256,59,36,41,56,64,338,70,66,73,56,73,286,57,67,61,52,49,272,58,59,51,67,37,185,59,65,61,47,12,7,11,10,7,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,59.0
dk DEN,"FW,MF",Anderlecht,21,1998,9,4,328,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5500000.0,Jacob Bruun Larsen,1474,J. Bruun Larsen,21,73,80,183,75,Right,74,MF,7,6000000,22000,331,67,72,58,72,62,356,72,73,70,67,74,384,83,86,75,72,68,340,76,73,58,71,62,310,68,59,73,66,44,154,56,54,44,53,14,6,11,11,11,4,Medium,Medium,1,,4.0,,,,,,,,,,,5.0,,,,BelgianProLeague,59.0
dk DEN,"FW,MF",Anderlecht,21,1998,9,4,328,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5500000.0,Jacob Bruun Larsen,1474,J. Bruun Larsen,21,73,80,183,75,Right,74,MF,7,6000000,22000,331,67,72,58,72,62,356,72,73,70,67,74,384,83,86,75,72,68,340,76,73,58,71,62,310,68,59,73,66,44,154,56,54,44,53,14,6,11,11,11,4,Medium,Medium,1,,6.0,,,,,,,,,,,9.0,,,,Netherlands,59.0
gh GHA,"FW,MF",Gent,21,1998,25,18,"1,616",18.0,4,3,7,4,0,0,3,0,0.22,0.17,0.39,0.22,0.39,,,,,,,,,,,,,2500000.0,Osman Bukari,1600,O. Bukari,21,71,78,170,68,Right,72,MF,7,3800000,11000,294,61,63,46,66,58,307,78,61,48,47,73,406,90,83,86,63,84,335,62,83,68,58,64,284,61,28,63,71,61,81,21,31,29,47,13,6,14,7,7,5,High,Medium,1,,11.0,,,,,,,,,,,7.0,,,,BelgianProLeague,28.0
pt POR,MF,Antwerp,23,1997,19,10,"1,059",11.8,0,3,3,0,0,0,7,0,0.0,0.25,0.25,0.0,0.25,,,,,,,,,,,,,3500000.0,Aurélio Buta,1476,Aurélio Buta,23,73,77,172,72,Right,75,MF,4,4400000,15000,282,71,52,42,68,49,307,72,63,41,61,70,429,95,90,90,69,85,363,70,91,81,59,62,338,73,67,69,68,61,208,67,71,70,46,9,5,13,9,10,4,High,High,1,,15.0,,,,,,,,,,,15.0,,,,BelgianProLeague,67.0
nz NZL,"MF,DF",Sint-Truiden,19,2000,27,27,"2,422",26.9,0,2,2,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,1200000.0,Liberato Cacace,1535,L. Cacace,19,72,83,184,81,Left,72,MF,11,4800000,6000,297,62,61,56,67,51,329,70,65,62,64,68,368,80,82,65,65,76,366,67,75,85,77,62,338,69,72,71,65,61,197,65,67,65,54,12,11,10,9,12,4,High,Medium,1,,29.0,,,,,,,,,,,42.0,,,,BelgianProLeague,72.0
be BEL,"MF,DF",Gent,23,1997,31,31,"2,624",29.2,6,1,7,6,0,2,4,0,0.21,0.03,0.24,0.21,0.24,,,,,,,,,,,,,5000000.0,Alessio Castro-Montes,1482,A. Castro-Montes,23,73,79,175,67,Right,74,MF,6,4800000,16000,334,71,68,66,71,58,355,73,69,71,71,71,366,74,72,76,69,75,363,75,74,85,58,71,324,69,68,68,71,48,206,66,70,70,56,8,13,15,11,9,4,High,High,1,,43.0,,,,,,,,,,,40.0,,,,BelgianProLeague,68.0
ge GEO,"MF,FW",Gent,20,1999,3,2,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2700000.0,Giorgi Chakvetadze,1684,G. Chakvetadze,20,70,79,183,78,Right,72,MF,9,3500000,9000,308,69,64,39,72,64,351,75,76,59,67,74,353,74,70,78,60,71,320,75,70,42,63,70,263,38,30,67,70,58,102,29,41,32,52,10,8,13,8,13,3,Medium,Medium,1,,3.0,,,,,,,,,,,3.0,,,,BelgianProLeague,30.0
ml MLI,MF,Beerschot,19,2000,22,17,"1,640",18.2,5,0,5,5,0,0,4,0,0.27,0.0,0.27,0.27,0.27,,,,,,,,,,,,,3000000.0,Ismaila Cheick Coulibaly,1781,I. Coulibaly,19,69,80,183,68,Right,72,MF,11,3000000,9000,286,51,63,44,71,57,314,74,59,48,64,69,371,77,81,78,67,68,341,72,62,83,61,63,332,68,69,68,69,58,195,59,69,67,53,6,15,14,9,9,4,High,High,1,,36.0,,,,,,,,,,,28.0,,,,BelgianProLeague,69.0
cw CUW,"FW,MF",Waasland-Bev,22,1998,4,0,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Jeremy Cijntje,2561,J. Cijntje,22,64,70,183,78,Right,65,MF,6,950000,2000,285,57,58,57,57,56,284,69,53,47,49,66,375,85,90,86,55,59,283,70,41,55,65,52,217,29,19,60,50,59,82,25,28,29,50,6,10,14,7,13,3,High,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,19.0
ar ARG,"MF,FW",Sint-Truiden,20,2000,31,17,"1,524",16.9,2,3,5,2,0,0,5,0,0.12,0.18,0.3,0.12,0.3,,,,,,,,,,,,,1200000.0,Facundo Colidio,2024,F. Colidio,20,67,76,179,68,Right,70,MF,9,2300000,21000,333,57,72,69,70,65,303,70,54,55,52,72,341,70,66,69,63,73,292,63,66,58,39,66,252,34,19,66,67,66,58,21,21,16,52,6,9,13,12,12,3,High,Low,1,,21.0,,,,,,,,,,,13.0,,,,BelgianProLeague,19.0
be BEL,"MF,FW",Oostende,21,1999,22,15,"1,241",13.8,1,0,1,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,1500000.0,Robbie D'Haese,1889,R. D'Haese,21,68,75,180,64,Right,71,MF,7,2500000,5000,299,67,62,38,68,64,298,70,44,46,66,72,370,79,77,78,63,73,285,63,70,72,42,38,246,37,32,69,60,48,130,52,36,42,48,6,10,7,11,14,3,Medium,Medium,1,,26.0,,,,,,,,,,,12.0,,,,BelgianProLeague,32.0
be BEL,"FW,MF",Club Brugge,19,2001,32,20,"2,001",22.2,3,4,7,3,0,0,0,0,0.13,0.18,0.31,0.13,0.31,,,,,,,,,,,,,16000000.0,Charles De Ketelaere,1438,C. De Ketelaere,19,74,85,192,79,Left,76,MF,11,9000000,14000,366,73,73,71,77,72,365,75,71,68,72,79,340,67,75,72,71,55,348,70,61,76,72,69,319,57,59,73,72,58,177,64,59,54,49,11,8,14,8,8,4,High,High,1,,30.0,,,,,,,,,,,17.0,,,,BelgianProLeague,59.0
be BEL,MF,Antwerp,23,1996,5,1,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1800000.0,Alexis De Sart,1592,A. De Sart,23,71,76,180,66,Right,73,MF,5,2800000,12000,331,65,59,66,74,67,349,69,73,66,71,70,348,68,66,71,70,73,344,72,63,78,62,69,335,66,70,69,72,58,204,67,70,67,63,14,12,12,15,10,3,High,High,1,,2.0,,,,,,,,,,,6.0,,,,BelgianProLeague,70.0
be BEL,MF,Zulte Waregem,20,2000,8,3,281,3.1,1,3,4,1,0,0,0,0,0.32,0.96,1.28,0.32,1.28,,,,,,,,,,,,,400000.0,Mathieu De Smet,3140,M. De Smet,20,60,71,183,67,Left,61,MF,11,550000,2000,256,61,49,39,60,47,292,64,54,52,59,63,313,65,62,68,47,71,268,50,64,61,41,52,225,41,29,51,56,48,93,36,29,28,50,12,8,14,7,9,3,Medium,Medium,1,,0.0,,,,,,,,,,,4.0,,,,BelgianProLeague,29.0
be BEL,"DF,MF",Cercle Brugge,22,1998,16,15,"1,315",14.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Robbe Decostere,2214,R. Decostere,22,66,73,180,68,Left,66,MF,7,1600000,3000,252,58,36,56,63,39,276,65,51,37,58,65,352,72,76,69,61,74,288,62,55,65,64,42,277,68,62,44,53,50,194,63,65,66,47,9,13,6,12,7,4,High,High,1,,20.0,,,,,,,,,,,18.0,,,,BelgianProLeague,62.0
be BEL,MF,Cercle Brugge,20,1999,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Calvin Dekuyper,2864,C. Dekuyper,20,62,71,180,68,Right,63,MF,9,825000,2000,232,42,37,58,66,29,272,58,45,41,67,61,309,65,63,62,50,69,273,48,63,59,62,41,261,61,62,32,58,48,179,55,64,60,50,12,14,8,9,7,3,Low,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,62.0
be BEL,"FW,MF",Cercle Brugge,20,2000,9,8,576,6.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Olivier Deman,2556,O. Deman,20,64,74,181,70,Left,66,MF,10,1300000,2000,299,56,59,57,65,62,291,68,58,48,48,69,340,74,72,74,52,68,324,73,70,64,60,57,232,37,26,66,58,45,81,29,25,27,53,10,15,5,10,13,3,Medium,Medium,1,,14.0,,,,,,,,,,,4.0,,,,BelgianProLeague,26.0
ng NGA,"FW,MF",Club Brugge,22,1997,9,6,432,4.8,0,2,2,0,0,0,2,0,0.0,0.42,0.42,0.0,0.42,,,,,,,,,,,,,5000000.0,Emmanuel Dennis,310,E. Dennis,22,74,79,175,66,Right,76,MF,5,6500000,21000,344,67,73,74,64,66,311,76,62,41,58,74,429,93,92,88,77,79,374,78,94,71,63,68,260,68,13,69,54,56,110,38,45,27,55,13,7,11,11,13,3,Medium,Low,1,,4.0,,,,,,,,,,,2.0,,,,BelgianProLeague,13.0
sn SEN,"FW,MF",Club Brugge,21,1999,19,17,"1,498",16.6,9,2,11,9,0,0,0,0,0.54,0.12,0.66,0.54,0.66,,,,,,,,,,,,,18000000.0,Krépin Diatta,147,K. Diatta,21,77,85,175,69,Right,78,MF,8,23500000,35000,338,68,71,62,69,68,331,83,62,42,66,78,427,92,95,91,72,77,393,78,94,88,60,73,301,57,48,68,69,59,137,55,32,50,52,10,8,11,11,12,4,High,Medium,1,,19.0,,,,,,,,,,,15.0,,,,BelgianProLeague,48.0
be BEL,"MF,FW",Anderlecht,18,2002,7,7,605,6.7,2,3,5,2,0,0,1,0,0.3,0.45,0.74,0.3,0.74,,,,,,,,,,,,,22000000.0,Jeremy Doku,303,J. Doku,18,74,86,171,60,Right,74,MF,12,10000000,16000,284,63,63,37,67,54,312,85,60,44,48,75,435,94,90,95,68,88,341,73,75,69,65,59,253,58,18,65,61,51,75,22,28,25,50,11,10,8,9,12,3,High,Medium,1,,6.0,,,,,,,,,,,1.0,,,,BelgianProLeague,18.0
de GER,MF,Gent,22,1998,29,23,"2,075",23.1,3,1,4,2,1,2,6,0,0.13,0.04,0.17,0.09,0.13,,,,,,,,,,,,,8000000.0,Niklas Dorsch,1442,N. Dorsch,22,74,80,177,76,Right,75,MF,6,6000000,16000,326,63,66,61,78,58,339,74,53,63,73,76,374,74,64,80,72,84,346,68,75,73,69,61,346,78,70,62,74,62,216,72,73,71,40,12,9,5,9,5,3,Medium,Medium,1,,65.0,,,,,,,,,,,33.0,,,,BelgianProLeague,70.0
us USA,MF,Sint-Truiden,20,2000,28,20,"1,985",22.1,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,,,,,,,,,,,,,1000000.0,Chris Durkin,2022,C. Durkin,20,67,76,182,75,Right,70,MF,9,2200000,4000,290,65,56,52,69,48,324,66,64,60,66,68,299,53,64,49,66,67,342,63,74,78,63,64,310,69,70,58,63,50,191,69,65,57,55,11,8,12,9,15,3,Medium,High,1,,34.0,,,,,,,,,,,41.0,,,,BelgianProLeague,70.0
us USA,"FW,MF",Waasland-Bev,23,1996,26,12,"1,175",13.1,2,4,6,2,0,0,1,0,0.15,0.31,0.46,0.15,0.46,,,,,,,,,,,,,500000.0,Joe Efford,2221,J. Efford,23,66,70,176,72,Right,69,MF,4,1200000,3000,304,56,66,53,67,62,304,64,63,58,56,63,380,78,82,74,70,76,366,68,79,87,69,63,269,52,24,68,61,64,73,23,24,26,42,10,5,9,8,10,4,High,High,1,,6.0,,,,,,,,,,,3.0,,,,BelgianProLeague,24.0
ma MAR,"MF,FW",Excel Mouscron,21,1999,27,11,"1,140",12.7,1,3,4,1,0,0,0,0,0.08,0.24,0.32,0.08,0.32,,,,,,,,,,,,,500000.0,Imad Faraj,2390,I. Faraj,21,65,72,177,64,Right,66,MF,7,1500000,2000,272,59,58,39,64,52,309,70,62,53,56,68,350,67,68,74,63,78,245,63,46,51,30,55,241,41,19,63,61,57,84,27,30,27,43,6,5,13,7,12,3,Medium,Medium,1,,23.0,,,,,,,,,,,13.0,,,,BelgianProLeague,19.0
be BEL,"DF,MF",Waasland-Bev,21,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Daam Foulon,740,D. Foulon,21,66,75,180,78,Left,67,MF,9,1800000,4000,232,72,24,49,63,24,316,64,60,62,65,65,342,74,70,68,62,68,281,42,71,67,65,36,271,65,60,55,57,34,189,60,64,65,48,8,7,11,10,12,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,60.0
ml MLI,"FW,MF",Cercle Brugge,23,1996,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1300000.0,Alimani Gory,2106,A. Gory,23,67,73,182,72,Right,69,MF,6,1600000,5000,300,59,65,66,59,51,286,71,53,44,48,70,378,80,90,82,57,69,318,65,73,59,70,51,229,28,11,69,54,67,53,22,18,13,39,7,8,11,8,5,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,11.0
be BEL,"MF,FW",Anderlecht,18,2002,22,16,"1,406",15.6,3,0,3,3,0,0,2,0,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,6000000.0,Anouar Ait El Hadj,1773,A. Ait El Hadj,18,69,83,169,70,Right,72,MF,14,3200000,4000,283,63,57,32,73,58,348,76,65,63,68,76,386,78,68,83,65,92,331,66,73,83,53,56,267,62,44,57,68,36,132,46,48,38,50,6,14,9,13,8,3,Medium,Medium,1,,11.0,,,,,,,,,,,5.0,,,,BelgianProLeague,44.0
jp JPN,"DF,MF",Sint-Truiden,21,1999,6,5,477,5.3,0,3,3,0,0,0,1,0,0.0,0.57,0.57,0.0,0.57,,,,,,,,,,,,,1000000.0,Daiki Hashioka,1888,D. Hashioka,21,68,76,182,73,Right,69,MF,8,2600000,4000,299,66,58,56,66,53,301,61,63,53,61,63,329,71,74,58,67,59,353,62,71,86,74,60,296,63,56,64,63,50,194,66,66,62,40,11,6,10,7,6,2,High,Medium,1,,6.0,,,,,,,,,,,12.0,,,,BelgianProLeague,56.0
be BEL,"MF,FW",Waasland-Bev,21,1999,30,25,"2,139",23.8,8,5,13,8,0,0,4,0,0.34,0.21,0.55,0.34,0.55,,,,,,,,,,,,,1000000.0,Daan Heymans,2039,D. Heymans,21,67,74,193,79,Right,70,MF,7,2100000,3000,328,57,69,66,68,68,330,66,67,62,67,68,309,57,65,62,66,59,339,72,60,72,68,67,314,65,62,71,64,52,153,42,59,52,50,5,13,14,12,6,3,Medium,High,1,,11.0,,,,,,,,,,,15.0,,,,BelgianProLeague,62.0
