Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Óscar Rivas,es ESP,"DF,MF",Alcorcón,23,2000,32,24,"2,265",25.2,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04
Rodri,es ESP,MF,Villarreal B,20,2003,35,21,"1,851",20.6,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05
Enol Rodríguez,es ESP,FW,Oviedo,22,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Víctor Rofino,gw GNB,DF,Valladolid,21,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leo Román,es ESP,GK,Oviedo,23,2000,42,42,"3,780",42.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Carlos Romero,es ESP,"MF,DF",Villarreal B,21,2001,22,20,"1,712",19.0,0,4,4,0,0,0,4,0,0.00,0.21,0.21,0.00,0.21
Iván Romero,es ESP,"FW,MF",Levante,22,2001,20,8,865,9.6,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10
Diego Rosales,es ESP,DF,CD Mirandés,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Guillermo Rosas,es ESP,"DF,MF",Sporting Gijón,23,2000,29,14,"1,574",17.5,1,3,4,1,0,0,2,0,0.06,0.17,0.23,0.06,0.23
Rubén,es ESP,DF,CD Mirandés,22,2001,21,19,"1,595",17.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Rubén,es ESP,MF,Espanyol,22,2001,5,1,125,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Omar Sadik,ma MAR,FW,Espanyol,19,2004,2,2,120,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Sala,es ESP,FW,Valladolid,20,2003,11,5,465,5.2,2,1,3,2,0,0,3,0,0.39,0.19,0.58,0.39,0.58
Eddie Salcedo,it ITA,MF,Eldense,21,2001,11,2,276,3.1,2,1,3,1,1,1,1,0,0.65,0.33,0.98,0.33,0.65
José Salinas,es ESP,"DF,MF",Elche,22,2000,21,10,986,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Carlos Sanchez,es ESP,DF,Cartagena,22,2001,2,2,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Diego Sánchez,es ESP,DF,Sporting Gijón,20,2003,16,13,"1,201",13.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Marcos Sánchez,es ESP,MF,Villarreal B,19,2003,5,0,46,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Buba Sangaré,es ESP,DF,Levante,15,2007,2,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pau Sans,es ESP,FW,Zaragoza,18,2004,3,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Álvaro Santamaría,es ESP,FW,Racing Sant,21,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alvaro Sanz,es ESP,MF,CD Mirandés,22,2001,41,28,"2,501",27.8,1,2,3,1,0,1,2,0,0.04,0.07,0.11,0.04,0.11
