Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Jérémy Jacquet,fr FRA,DF,Clermont Foot,18,2005,6,2,253,2.8,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,5,15,4,0.00,0.36,0.36,0.00,0.36,0.08,0.12,0.19,0.08,0.19
Ismail Jakobs,sn SEN,DF,Monaco,23,1999,22,16,"1,466",16.3,1,2,3,1,0,0,0,0,1.3,1.3,1.8,3.1,44,56,133,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19
Danley Jean-Jacques,ht HAI,MF,Metz,23,2000,33,30,"2,682",29.8,0,0,0,0,0,0,5,0,2.9,2.9,0.6,3.5,35,84,53,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
Jeffinho,br BRA,"FW,MF",Lyon,23,1999,10,3,308,3.4,1,1,2,1,0,0,0,0,1.0,1.0,0.6,1.6,15,14,36,0.29,0.29,0.58,0.29,0.58,0.30,0.18,0.48,0.30,0.48
Antoine Joujou,fr FRA,"FW,MF",Le Havre,20,2003,23,6,779,8.7,0,2,2,0,0,0,1,0,1.1,1.1,0.6,1.8,35,22,82,0.00,0.23,0.23,0.00,0.23,0.13,0.07,0.20,0.13,0.20
Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,17,2006,30,11,"1,084",12.0,5,3,8,5,0,0,1,0,3.5,3.5,1.8,5.3,10,12,63,0.42,0.25,0.66,0.42,0.66,0.29,0.15,0.44,0.29,0.44
Yaya Kader Fofana,ml MLI,"MF,DF",Reims,19,2004,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Arnaud Kalimuendo,fr FRA,FW,Rennes,21,2002,30,25,"2,139",23.8,10,1,11,8,2,2,6,0,9.0,7.4,2.7,10.1,27,37,181,0.42,0.04,0.46,0.34,0.38,0.38,0.11,0.49,0.31,0.43
Waren Kamanzi,no NOR,"DF,FW",Toulouse,22,2000,24,12,"1,187",13.2,0,3,3,0,0,0,1,0,0.8,0.8,2.5,3.4,35,56,55,0.00,0.23,0.23,0.00,0.23,0.06,0.19,0.26,0.06,0.26
Lee Kang-in,kr KOR,"FW,MF",Paris S-G,22,2001,23,18,"1,464",16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,50,103,150,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23
