Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Beñat Turrientes,es ESP,MF,Real Sociedad,21,2002,29,19,"1,687",18.7,0,1,1,0,0,0,4,0,1.2,1.2,0.5,1.8,26,51,31,0.00,0.05,0.05,0.00,0.05,0.06,0.03,0.09,0.06,0.09
Borja Vázquez,es ESP,FW,Cádiz,18,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,1.70,1.70,0.00,1.70
Jesus Vazquez,es ESP,"DF,MF",Valencia,20,2003,20,6,716,8.0,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.3,13,15,29,0.13,0.00,0.13,0.13,0.13,0.15,0.02,0.16,0.15,0.16
Gabriel Veiga,es ESP,FW,Celta Vigo,21,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alejo Véliz,ar ARG,FW,Sevilla,19,2003,6,0,35,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58
Arthur Vermeeren,be BEL,MF,Atlético Madrid,18,2005,5,2,162,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Ricardo Visus,es ESP,DF,Betis,22,2001,3,1,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nico Williams,es ESP,FW,Athletic Club,21,2002,31,29,"2,263",25.1,5,11,16,5,0,0,6,1,6.0,6.0,5.7,11.7,143,66,302,0.20,0.44,0.64,0.20,0.64,0.24,0.22,0.46,0.24,0.46
Antal Yaakobishvili,hu HUN,DF,Girona,19,2004,1,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37
Lamine Yamal,es ESP,FW,Barcelona,16,2007,37,22,"2,201",24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,123,80,350,0.20,0.20,0.41,0.20,0.41,0.21,0.25,0.47,0.21,0.47
Arsen Zakharyan,ru RUS,"MF,FW",Real Sociedad,20,2003,29,15,"1,228",13.6,1,2,3,1,0,0,1,0,2.4,2.4,2.1,4.5,28,47,88,0.07,0.15,0.22,0.07,0.22,0.18,0.15,0.33,0.18,0.33
Bryan Zaragoza,es ESP,"MF,FW",Granada,22,2001,21,18,"1,638",18.2,6,2,8,5,1,1,5,0,3.8,3.0,3.3,6.3,100,36,127,0.33,0.11,0.44,0.27,0.38,0.21,0.18,0.39,0.16,0.35
