Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1
Frans Krätzig,de GER,DF,Bayern Munich,20,2003,4,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,0.0,7.0,7.0,0.42,0.42,0.84,0.42,0.84
Tom Krauß,de GER,MF,Mainz 05,22,2001,29,13,"1,346",15.0,1,2,3,1,0,0,5,0,0.07,0.13,0.2,0.07,0.2,0.8,0.8,0.4,1.2,12.0,68.0,29.0,0.05,0.03,0.08,0.05,0.08
Mahmut Kücüksahin,,MF,Augsburg,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxence Lacroix,fr FRA,DF,Wolfsburg,23,2000,28,27,"2,362",26.2,4,1,5,4,0,0,5,3,0.15,0.04,0.19,0.15,0.19,0.8,0.8,0.8,1.7,5.0,79.0,5.0,0.03,0.03,0.06,0.03,0.06
Hugo Larsson,se SWE,MF,Eint Frankfurt,19,2004,29,21,"1,886",21.0,2,1,3,2,0,0,1,0,0.1,0.05,0.14,0.1,0.14,1.3,1.3,1.4,2.7,26.0,68.0,42.0,0.06,0.07,0.13,0.06,0.13
Jamie Leweling,de GER,"FW,MF",Stuttgart,22,2001,34,17,"1,523",16.9,4,4,8,4,0,0,3,0,0.24,0.24,0.47,0.24,0.47,6.1,6.1,3.2,9.3,65.0,35.0,172.0,0.36,0.19,0.55,0.36,0.55
Matthijs de Ligt,nl NED,DF,Bayern Munich,23,1999,22,16,"1,390",15.4,2,0,2,2,0,0,5,0,0.13,0.0,0.13,0.13,0.13,1.7,1.7,0.1,1.9,16.0,98.0,6.0,0.11,0.01,0.12,0.11,0.12
Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,23,2000,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,1.0,9.0,0.2,0.0,0.2,0.2,0.2
Castello Lukeba,fr FRA,DF,RB Leipzig,20,2002,32,24,"2,191",24.3,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.1,0.9,23.0,107.0,9.0,0.03,0.01,0.04,0.03,0.04
Ian Maatsen,nl NED,DF,Dortmund,21,2002,16,15,"1,264",14.0,2,2,4,2,0,0,5,0,0.14,0.14,0.28,0.14,0.28,0.9,0.9,1.4,2.3,41.0,80.0,49.0,0.07,0.1,0.17,0.07,0.17
Jordy Makengo,fr FRA,DF,Freiburg,21,2001,20,10,"1,026",11.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,27.0,52.0,34.0,0.02,0.02,0.04,0.02,0.04
Julián Malatini,ar ARG,DF,Werder Bremen,22,2001,11,6,602,6.7,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,1.0,1.0,0.2,1.2,9.0,27.0,7.0,0.15,0.04,0.18,0.15,0.18
Lennard Maloney,us USA,MF,Heidenheim,23,1999,29,27,"2,284",25.4,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,1.1,1.8,3.0,62.0,17.0,0.03,0.04,0.07,0.03,0.07
David Mamutovic,de GER,"FW,DF",Mainz 05,22,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Martel,de GER,MF,Köln,21,2002,30,29,"2,457",27.3,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,2.2,2.2,1.1,3.3,21.0,75.0,35.0,0.08,0.04,0.12,0.08,0.12
Roberto Massimo,de GER,"FW,DF",Stuttgart,22,2000,5,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.04,0.04,0.0,0.04
Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,18,2005,8,1,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.0,3.0,22.0,0.0,0.03,0.03,0.0,0.03
Noah Mbamba,be BEL,MF,Leverkusen,18,2005,3,0,16,0.2,0,1,1,0,0,0,0,0,0.0,5.63,5.63,0.0,5.63,0.0,0.0,0.6,0.6,1.0,2.0,1.0,0.14,3.16,3.3,0.14,3.3
Nathanael Mbuku,cd COD,FW,Augsburg,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,4.0,0.56,0.69,1.25,0.56,1.25
Enzo Millot,fr FRA,"MF,FW",Stuttgart,21,2002,31,27,"2,241",24.9,5,4,9,4,1,1,5,0,0.2,0.16,0.36,0.16,0.32,5.3,4.5,3.9,8.4,46.0,127.0,167.0,0.21,0.16,0.37,0.18,0.34
Jovan Milošević,rs SRB,"FW,MF",Stuttgart,18,2005,5,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Marko Mladenović,rs SRB,MF,Eint Frankfurt,18,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mateu Morey,es ESP,DF,Dortmund,23,2000,3,2,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,6.0,4.0,0.03,0.06,0.09,0.03,0.09
Youssoufa Moukoko,de GER,FW,Dortmund,18,2004,20,4,625,6.9,5,0,5,5,0,0,1,0,0.72,0.0,0.72,0.72,0.72,3.9,3.9,0.3,4.2,16.0,15.0,27.0,0.56,0.05,0.61,0.56,0.61
Andreas Müller,de GER,MF,Darmstadt 98,23,2000,11,2,349,3.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,13.0,7.0,0.03,0.01,0.04,0.03,0.04
Marcus Müller,de GER,MF,Mainz 05,20,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.26,0.0,0.26,0.26,0.26
