Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Moura,pt POR,DF,Famalicão,23,1999,33,33,"2,970",33.0,1,4,5,1,0,0,7,0,0.03,0.12,0.15,0.03,0.15
Steve Mvoué,cm CMR,MF,Portimonense,21,2002,3,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Davis Nascimento,br BRA,MF,Portimonense,20,2002,1,0,1,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Diogo Nascimento,pt POR,MF,Vizela,20,2002,34,22,"2,162",24.0,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04
Nathan,br BRA,DF,Famalicão,21,2001,28,21,"1,847",20.5,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00
Mor Ndiaye,sn SEN,MF,Estoril,22,2000,8,3,248,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Alioune Ndour,sn SEN,FW,Estrela,22,2001,9,0,169,1.9,0,1,1,0,0,0,1,0,0.00,0.53,0.53,0.00,0.53
Cher Ndour,it ITA,MF,Braga,19,2004,9,1,211,2.3,1,0,1,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43
Martim Neto,pt POR,MF,Gil Vicente FC,20,2003,29,21,"1,867",20.7,0,2,2,0,0,0,7,0,0.00,0.10,0.10,0.00,0.10
João Neves,pt POR,MF,Benfica,18,2004,33,27,"2,311",25.7,3,1,4,3,0,0,3,0,0.12,0.04,0.16,0.12,0.16
Miguel Nóbrega,pt POR,DF,Rio Ave,23,2000,22,19,"1,622",18.0,1,0,1,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06
Gonçalo Nogueira,pt POR,MF,Vitória,19,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Régis N’Do,bf BFA,FW,Estrela,22,2001,23,8,992,11.0,1,1,2,1,0,0,7,1,0.09,0.09,0.18,0.09,0.18
Tashan Oakley-Boothe,eng ENG,MF,Estrela,23,2000,2,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Hugo Oliveira,pt POR,"DF,MF",Vizela,21,2002,14,4,494,5.5,1,3,4,1,0,0,0,0,0.18,0.55,0.73,0.18,0.73
Pedro Ortiz,es ESP,MF,Vizela,22,2000,15,11,916,10.2,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Pablo,br BRA,MF,Famalicão,19,2004,8,2,197,2.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Raúl Parra,es ESP,DF,Estoril,23,1999,13,7,567,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16
David Pastor,br BRA,DF,Farense,23,2000,30,28,"2,476",27.5,0,2,2,0,0,0,9,1,0.00,0.07,0.07,0.00,0.07
Paulinho,pt POR,FW,Portimonense,23,1999,8,2,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ivan Pavlic,be BEL,MF,Estoril,21,2001,5,3,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gabriel Pereira,br BRA,DF,Gil Vicente FC,23,2000,31,31,"2,777",30.9,4,0,4,4,0,0,8,1,0.13,0.00,0.13,0.13,0.13
Matheus Pereira,br BRA,"DF,MF",Vizela,22,2000,30,22,"2,096",23.3,3,2,5,3,0,0,10,0,0.13,0.09,0.21,0.13,0.21
Wagner Pina,cv CPV,MF,Estoril,20,2002,22,11,"1,100",12.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Pedro Pinho,pt POR,MF,Chaves,23,2000,10,1,248,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36
Dinis Pinto,pt POR,DF,Moreirense,22,2000,13,11,932,10.4,0,2,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19
Diogo Pinto,pt POR,GK,Sporting CP,19,2004,2,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gonçalo Pinto,pt POR,GK,Chaves,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rafael Pontelo,br BRA,DF,Sporting CP,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gianluca Prestianni,ar ARG,FW,Benfica,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Miguel Puche García,es ESP,FW,Arouca,22,2001,23,0,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Eduardo Quaresma,pt POR,DF,Sporting CP,21,2002,20,9,960,10.7,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
Domingos Quina,pt POR,"MF,FW",Vizela,23,1999,13,10,726,8.1,0,3,3,0,0,0,3,0,0.00,0.37,0.37,0.00,0.37
Miguel Rebelo,pt POR,FW,Moreirense,19,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
João Rêgo,pt POR,MF,Benfica,18,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Filipe Relvas,pt POR,DF,Portimonense,23,1999,32,32,"2,795",31.1,2,3,5,2,0,0,4,1,0.06,0.10,0.16,0.06,0.16
Rildo,br BRA,"FW,MF",Portimonense,23,2000,11,5,509,5.7,0,1,1,0,0,1,3,0,0.00,0.18,0.18,0.00,0.18
Pablo Roberto,br BRA,"MF,FW",Casa Pia,23,1999,29,20,"1,662",18.5,3,6,9,3,0,0,6,1,0.16,0.32,0.49,0.16,0.49
Matí­as Rocha,uy URU,DF,Arouca,22,2001,11,8,559,6.2,1,0,1,1,0,0,1,1,0.16,0.00,0.16,0.16,0.16
Afonso Rodrigues,pt POR,MF,Famalicão,20,2002,8,1,236,2.6,1,0,1,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38
Bruno Rodrigues,pt POR,DF,Chaves,22,2001,17,16,"1,352",15.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Benjamín Rollheiser,ar ARG,MF,Benfica,23,2000,9,1,157,1.7,1,0,1,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57
Ronald,br BRA,FW,Estrela,22,2001,17,16,"1,319",14.7,1,2,3,1,0,0,4,0,0.07,0.14,0.20,0.07,0.20
Abel Ruiz,es ESP,FW,Braga,23,2000,30,19,"1,895",21.1,6,2,8,6,0,0,5,0,0.28,0.09,0.38,0.28,0.38
Gustavo sá,pt POR,MF,Famalicão,18,2004,28,24,"1,840",20.4,3,5,8,3,0,0,6,0,0.15,0.24,0.39,0.15,0.39
Helder Sá,pt POR,DF,Rio Ave,20,2002,4,0,42,0.5,0,1,1,0,0,0,0,0,0.00,2.14,2.14,0.00,2.14
Serdar Saatçı,tr TUR,DF,Braga,20,2003,17,17,"1,494",16.6,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12
Leandro Sanca,gw GNB,"FW,MF",Chaves,23,2000,31,13,"1,470",16.3,0,3,3,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18
Hevertton Santos,br BRA,"MF,DF",Estrela,22,2001,29,23,"1,972",21.9,0,1,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05
Luís Santos,pt POR,"DF,MF",Boavista,23,2000,19,4,684,7.6,0,1,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13
Pedro Santos,pt POR,MF,Arouca,22,2000,28,16,"1,448",16.1,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06
Telasco Segovia,ve VEN,MF,Casa Pia,20,2003,16,8,746,8.3,0,1,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12
Artur Serobyan,am ARM,FW,Casa Pia,20,2003,2,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
André Seruca,pt POR,MF,Farense,22,2000,6,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nkanyiso Shinga,za RSA,"MF,DF",Estrela,23,2000,10,6,516,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
António Silva,pt POR,DF,Benfica,19,2003,30,29,"2,616",29.1,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07
Francisco Silva,pt POR,GK,Sporting CP,17,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joel silva,pt POR,MF,Boavista,20,2003,14,2,371,4.1,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24
Jota Silva,pt POR,FW,Vitória,23,1999,33,32,"2,778",30.9,11,5,16,11,0,0,7,0,0.36,0.16,0.52,0.36,0.52
