Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Bae Junho,kr KOR,"FW,MF",Stoke City,19,2003,38,25,"2,392",26.6,2,5,7,2,0,0,2,0,3.0,3.0,4.8,7.8,79,112,222,0.08,0.19,0.26,0.08,0.26,0.11,0.18,0.29,0.11,0.29
David Kasumu,eng ENG,"MF,DF",Huddersfield,23,1999,31,28,"2,349",26.1,1,1,2,1,0,0,6,0,1.4,1.4,0.8,2.1,42,71,51,0.04,0.04,0.08,0.04,0.08,0.05,0.03,0.08,0.05,0.08
Calum Kavanagh,ie IRL,"FW,DF",Middlesbrough,19,2003,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Charlie Kelman,us USA,"MF,FW",QPR,21,2001,11,3,244,2.7,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,2,3,17,0.00,0.00,0.00,0.00,0.00,0.27,0.03,0.30,0.27,0.30
Kaine Kesler-Hayden,eng ENG,"DF,MF",Plymouth Argyle,20,2002,24,19,"1,709",19.0,0,2,2,0,0,0,4,0,1.2,1.2,2.0,3.2,54,79,69,0.00,0.11,0.11,0.00,0.11,0.06,0.11,0.17,0.06,0.17
Josh Key,eng ENG,"DF,FW",Swansea City,23,1999,29,25,"2,192",24.4,2,1,3,2,0,0,1,0,0.9,0.9,2.4,3.3,86,116,155,0.08,0.04,0.12,0.08,0.12,0.04,0.10,0.13,0.04,0.13
Brandon Khela,eng ENG,FW,Birmingham City,18,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liam Kitching,eng ENG,DF,Coventry City,23,1999,28,25,"2,233",24.8,1,1,2,1,0,0,4,3,0.9,0.9,1.5,2.4,11,96,6,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.10,0.04,0.10
Kristoffer Klaesson,no NOR,GK,Leeds United,22,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jason Knight,ie IRL,"MF,FW",Bristol City,22,2001,46,44,"3,835",42.6,4,3,7,4,0,0,4,0,5.7,5.7,2.4,8.1,95,181,165,0.09,0.07,0.16,0.09,0.16,0.13,0.06,0.19,0.13,0.19
