Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Iva Gelashvili,ge GEO,DF,Spezia,22,2001,9,6,408,4.5,1,0,1,1,0,0,3,1,0.4,0.4,0.0,0.4,2,5,0,0.22,0.00,0.22,0.22,0.22,0.10,0.00,0.10,0.10,0.10
Daniele Ghilardi,it ITA,DF,Sampdoria,20,2003,37,35,"3,188",35.4,2,0,2,2,0,0,8,0,1.7,1.7,0.7,2.4,18,82,6,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
Andrea Ghion,it ITA,MF,Catanzaro,23,2000,21,17,"1,584",17.6,1,0,1,1,0,0,3,0,0.4,0.4,1.1,1.5,28,89,34,0.06,0.00,0.06,0.06,0.06,0.03,0.06,0.09,0.03,0.09
Nicholas Gioacchini,us USA,"FW,MF",Como,23,2000,9,1,201,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,4,18,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11
Simone Giordano,it ITA,"DF,MF",Sampdoria,21,2001,28,21,"1,918",21.3,2,1,3,2,0,0,4,1,0.5,0.5,1.6,2.1,19,67,76,0.09,0.05,0.14,0.09,0.14,0.02,0.08,0.10,0.02,0.10
Andrea Giorgini,it ITA,DF,Südtirol,21,2002,32,31,"2,649",29.4,0,1,1,0,0,0,4,0,0.7,0.7,1.1,1.8,11,99,19,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.06,0.02,0.06
Samuel Giovane,it ITA,"MF,DF",Ascoli,20,2003,32,18,"1,544",17.2,0,1,1,0,0,0,7,0,0.4,0.4,1.2,1.6,26,36,45,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09
Romeo Giovannini,it ITA,MF,Modena,21,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0,1,5,0.00,0.00,0.00,0.00,0.00,0.44,0.74,1.19,0.44,1.19
Stefano Girelli,it ITA,"MF,FW",Sampdoria,22,2001,17,3,407,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7,12,7,25,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15
Natan Girma,ch SUI,"MF,FW",Reggiana,21,2001,26,19,"1,544",17.2,5,1,6,5,0,0,9,1,3.1,3.1,0.9,4.0,44,75,112,0.29,0.06,0.35,0.29,0.35,0.18,0.05,0.23,0.18,0.23
Claudio Gomes,fr FRA,MF,Palermo,23,2000,34,30,"2,636",29.3,0,3,3,0,0,0,5,1,0.5,0.5,2.7,3.1,52,142,39,0.00,0.10,0.10,0.00,0.10,0.02,0.09,0.11,0.02,0.11
Facundo González,uy URU,DF,Sampdoria,20,2003,28,26,"2,309",25.7,2,1,3,2,0,0,12,0,0.7,0.7,0.7,1.4,27,101,11,0.08,0.04,0.12,0.08,0.12,0.03,0.03,0.06,0.03,0.06
