Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Matheus Cunha,br BRA,GK,Flamengo,22,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David,br BRA,"MF,FW",Cuiabá,16,2007,5,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,0.96,0.20,1.16,0.96,1.16
Gabriel Delfim,br BRA,GK,Atlético Mineiro,21,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denilson,br BRA,MF,Cuiabá,22,2001,33,25,"2,016",22.4,0,3,3,0,0,0,8,0,1.1,1.1,2.2,3.3,26,96,43,0.00,0.13,0.13,0.00,0.13,0.05,0.10,0.15,0.05,0.15
Matheus Donelli,br BRA,GK,Corinthians,21,2002,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucca Drummond,br BRA,FW,Internacional,20,2004,5,2,159,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,3,1,8,0.00,0.57,0.57,0.00,0.57,0.00,0.17,0.17,0.00,0.17
EDU,br BRA,DF,Vitória,23,2000,12,7,744,8.3,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,2,23,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Alysson Edward,br BRA,"FW,MF",Grêmio,17,2006,3,0,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Eli,br BRA,FW,Atl Goianiense,19,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38
Kauã Elias,br BRA,FW,Fluminense,17,2006,30,16,"1,465",16.3,6,2,8,6,0,0,4,0,5.0,5.0,2.7,7.8,28,33,109,0.37,0.12,0.49,0.37,0.49,0.31,0.17,0.48,0.31,0.48
