Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Brayann Pereira,fr FRA,DF,NEC Nijmegen,20,2003,15,10,788,8.8,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11
Kik Pierie,nl NED,DF,Excelsior,23,2000,5,3,296,3.3,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30
Brian Plat,nl NED,DF,Volendam,23,2000,27,21,"1,982",22.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Ernest Poku,nl NED,MF,AZ Alkmaar,19,2004,21,5,663,7.4,1,3,4,1,0,0,1,0,0.14,0.41,0.54,0.14,0.54
Dirk Proper,nl NED,MF,NEC Nijmegen,21,2002,27,27,"2,299",25.5,5,4,9,5,0,0,4,0,0.20,0.16,0.35,0.20,0.35
Jeffry Puriel,bq BOE,FW,Almere City,20,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Diant Ramaj,de GER,GK,Ajax,21,2001,22,20,"1,824",20.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Youri Regeer,nl NED,"DF,MF",Twente,19,2003,32,18,"1,751",19.5,2,1,3,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15
Gyan de Regt,nl NED,"MF,FW",Vitesse,20,2002,26,13,"1,186",13.2,1,1,2,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15
Eliano Reijnders,id IDN,"MF,DF",Zwolle,22,2000,32,24,"2,076",23.1,3,1,4,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17
Devyne Rensch,nl NED,DF,Ajax,20,2003,28,26,"2,212",24.6,2,4,6,2,0,0,2,1,0.08,0.16,0.24,0.08,0.24
Stije Resink,nl NED,MF,Almere City,20,2003,32,28,"2,578",28.6,1,1,2,1,0,0,8,0,0.03,0.03,0.07,0.03,0.07
